item_type,Product_id,Product_sku
Product,13674,IUE-OLS-R-LED-2-HC-TL-8'-DIM10-MVOLT-35K-85-W
Product,13675,WL-6372100
Product,13676,WL-6372200
Product,13677,WL-6372500
Product,13678,WM-CRLC6-40W-MCTP
Product,13679,WL-6372600
Product,13680,WM-CRLC4-20W-MCT-SA
Product,13681,WM-CRLC4-20W-MCT-S
Product,13682,WL-6372800
Product,13683,WM-CRLC6-15W-MCT
Product,13684,WM-CRLC6-15W-MCT-S
Product,13685,TF-TXFA23RR650SF48LR26W2600LDMV35KWH    
Product,13686,TF-TXF0L23DIAGCAPTIVE-4
Product,13687,WM-SCX2-6FT-60W-MCT4D
Product,13688,PI-PT-TRO-22-3CP
Product,13689,ILP-CVL4-4L-40-FRAL-WHP-EM7
Product,13690,TF-TXF0131A23212
Product,13691,VEQ2021-411 - Type A
Product,13692,VEQ2021-411 - Type AE
Product,13693,VEQ2021-411 - Type D
Product,13694,VEQ2021-411 - Type DE
Product,13695,VEQ2021-411 - Type E
Product,13696,VEQ2021-411 - Type G
Product,13697,VEQ2021-411 - Type HB
Product,13698,VEQ2021-411 - Type HBE
Product,13699,VEQ2021-411 - Type OA
Product,13700,VEQ2021-411 - Type W
Product,13701,VEQ2021-411 - Type WE
Product,13702,VEQ2021-411 - Type X
Product,13703,LED7WMR16/FL/827-DIM-G7
Product,13704,LPA-8UX-100/8CT-WH G2
Product,13705,ATG-WPGP-60-50
Product,13706,WM-CRLC6-15W-MCT-D-
Product,13707,WM-LCFB-3LR-MCT5
Product,13708,WM-LCFB-3LS-MCT5
Product,13709,WM-LLHB4-80-150W-MCTP
Product,13710,WM-LLVT-8FT-100W
Product,13711,WM-LLVT-8FT-65W
Product,13712,WM-LP-2X2-40W-D
Product,13713,WM-LW360-60W-MCT-G2
Product,13714,WM-LCFH-1L-MCT5
Product,13715,ILP-CVL4-6L-U-50-FRAL-WHP-EM7
Product,13716,ILP-CVL2-3L-U-50-FRAL-WHP-EM7
Product,13717,PI-PT-WPH3-LW
Product,13718,TF-LLLSBE96LSA-LLLSBT96L83W24V30K
Product,13719,ELI-E6SLB-3545-D-E-4-8-3550
Product,13720,AEL-LHB21H-40-M-90CRI
Product,13721,AEL-LHB2M-40-M-90CRI
Product,13722,AEL-LHB21H-40-M-80CRI
Product,13723,IUE-CB2-LED-30000L-DIM10-MVOLT-WD-40K-85
Product,13724,IUE-CB2-LED-18000L-DIM10-MVOLT-WD-40K-85
Product,13725,PI-PT-EMG-15W
