ITEMNO.,UPC,WATTS,LUMENS,COLOR TEMP,"NON STOCKING DIST.
OR ANY QUANTITY","STOCKING DIST.
OR
$2500 MIN.","WIP
OR
$5000 MIN.","MSRP
PRICE","IMAP
PRICE"
SCX-L-40K,845060030174,N/A,616LM,4000K,41.98,41.98,41.98,66.78,58.74
SCX-L-50K,845060030181,N/A,660LM,5000K,41.98,41.98,41.98,66.78,58.74
SCX-T-30K,845060035407,N/A,629LM,3000K,52.98,52.98,52.98,84.78,73.74
SCX-T-35K,845060030198,N/A,726LM,3500K,52.98,52.98,52.98,84.78,73.74
SCX-T-40K,845060030204,N/A,787LM,4000K,52.98,52.98,52.98,84.78,73.74
SCX-T-50K,845060030211,N/A,854LM,5000K,52.98,52.98,52.98,84.78,73.74
SCX-X-30K,845060035452,N/A,733LM,3000K,59.98,59.98,59.98,95.78,83.74
SCX-X-35K,845060030228,N/A,863LM,3500K,59.98,59.98,59.98,95.78,83.74
SCX-X-40K,845060030235,N/A,944LM,4000K,59.98,59.98,59.98,95.78,83.74
SCX-X-50K,845060030242,N/A,1037LM,5000K,59.98,59.98,59.98,95.78,83.74
SCX-IC-30K,845060049183,N/A,629LM,3000K,44.98,44.98,44.98,71.78,62.74
SCX-IC-35K,845060049190,N/A,726LM,3500K,44.98,44.98,44.98,71.78,62.74
SCX-IC-40K,845060049206,N/A,787LM,4000K,44.98,44.98,44.98,71.78,62.74
SCX-IC-50K,845060049213,N/A,854LM,5000K,44.98,44.98,44.98,71.78,62.74
SCX-C120-30K,845060054545,N/A,629LM,3000K,65.98,65.98,65.98,104.78,91.74
SCX-C120-35K,845060054552,N/A,726LM,3500K,65.98,65.98,65.98,104.78,91.74
SCX-C120-40K,845060054569,N/A,787LM,4000K,65.98,65.98,65.98,104.78,91.74
SCX-C120-50K,845060054576,N/A,854LM,5000K,65.98,65.98,65.98,104.78,91.74
SCL-RS-12,845060049138,N/A,N/A,N/A,24.64,22.40,22.40,35.78,31.74
SCL-RS-18,845060049145,N/A,N/A,N/A,27.11,24.65,24.65,39.78,34.74
SCL-RS-24,845060049152,N/A,N/A,N/A,28.34,25.77,25.77,40.78,35.74
SCL-RS-36,845060049169,N/A,N/A,N/A,32.06,29.14,29.14,46.78,40.74
SCL-RS-48,845060049176,N/A,N/A,N/A,37.00,33.64,33.64,53.78,46.74
SPL-4FT-40W-50K-D,845060010893,40W,2100LM/2100LM,5000K,169.98,153.94,153.94,244.78,221.74
SPL-4FT-40W-40K-D,845060010909,40W,2100LM/2100LM,4000K,169.98,153.94,153.94,244.78,221.74
SPL-4FT-40W-35K-D,845060010916,40W,2100LM/2100LM,3500K,169.98,153.94,153.94,244.78,221.74
SCLR-4FT-40W-40K-D,845060006162,40W,4400LM,4000K,64.98,64.98,64.98,103.78,93.74
SCLP-4FT-40W-50K-D,845060006148,40W,4600LM,5000K,151.98,134.94,117.90,214.78,194.74
SCLP-4FT-40W-40K-D,845060006131,40W,4600LM,4000K,151.98,134.94,117.90,214.78,194.74
SCLP-4FT-40W-35K-D,845060006124,40W,4600LM,3500K,151.98,134.94,117.90,214.78,194.74
SCLT-4FT-40W-50K-D,845060031683,40W,4600LM,5000K,150.98,133.94,127.90,212.78,192.74
SCLT-4FT-40W-40K-D,845060031690,40W,4600LM,4000K,150.98,133.94,127.90,212.78,192.74
SCLT-4FT-40W-35K-D,845060031706,40W,4600LM,3500K,150.98,133.94,127.90,212.78,192.74
SCLP-CB,845060008401,N/A,N/A,N/A,11.75,11.75,11.75,18.78,16.74
SCLP-UD-4FT-60W-50K-D,845060010923,40W/20W,4400LM/2100LM,5000K,186.98,164.94,164.94,261.78,237.74
SCLP-UD-4FT-60W-40K-D,845060010954,40W/20W,4400LM/2100LM,4000K,186.98,164.94,164.94,261.78,237.74
SCLP-UD-4FT-60W-35K-D,845060010961,40W/20W,4400LM/2100LM,3500K,186.98,164.94,164.94,261.78,237.74
SCLL-UD-4FT-60W-50K-D,845060024821,40W/20W OR 60W,4400LM/2100LM,5000K,186.98,164.94,138.90,261.78,237.74
SCLL-UD-4FT-60W-40K-D,845060024814,40W/20W OR 60W,4400LM/2100LM,4000K,186.98,164.94,138.90,261.78,237.74
SCLL-UD-4FT-60W-35K-D,845060024807,40W/20W OR 60W,4400LM/2100LM,3500K,186.98,164.94,138.90,261.78,237.74
SCPP-UD-4FT-60W-50K-D,845060049343,40W/20W OR 60W,4400LM/2100LM,5000K,186.98,164.94,138.90,261.78,237.74
SCPP-UD-4FT-60W-40K-D,845060049336,40W/20W OR 60W,4400LM/2100LM,4000K,186.98,164.94,138.90,261.78,237.74
SCPP-UD-4FT-60W-35K-D,845060049329,40W/20W OR 60W,4400LM/2100LM,3500K,186.98,164.94,138.90,261.78,237.74
SCPL-UD-4FT-60W-50K-D,845060024791,40W/20W OR 60W,4400LM/2100LM,5000K,180.98,160.94,138.90,255.78,231.74
SCPL-UD-4FT-60W-40K-D,845060024784,40W/20W OR 60W,4400LM/2100LM,4000K,180.98,160.94,138.90,255.78,231.74
SCPL-UD-4FT-60W-35K-D,845060024777,40W/20W OR 60W,4400LM/2100LM,3500K,180.98,160.94,138.90,255.78,231.74
WCLP-UD-2FT-25W-MCT-D,845060053807,25W,2750LM,3000K/4000K/5000K,98.98,86.94,73.90,138.78,125.74
WCLP-UD-4FT-50W-MCT-D,845060053814,50W,5500LM,3000K/4000K/5000K,162.98,144.94,105.90,230.78,208.74
WCPL-UD-2FT-25W-MCT-D,845060053784,25W,2750LM,3000K/4000K/5000K,93.98,82.94,73.90,131.78,119.74
WCPL-UD-4FT-50W-MCT-D,845060053791,50W,5500LM,3000K/4000K/5000K,152.98,135.94,105.90,215.78,195.74
SCR-24D-50K-D,845060026481,50W,5267LM,5000K,316.98,287.94,260.90,457.78,405.74
SCR-24D-40K-D,845060026474,50W,5197LM,4000K,316.98,287.94,260.90,457.78,405.74
SCR-24D-35K-D,845060026467,50W,4771LM,3500K,316.98,287.94,260.90,457.78,405.74
SRPL-40W-35K-D,845060025521,40W,2100LM/2100LM,3500K,188.98,171.94,171.94,273.78,242.74
SRPL-40W-40K-D,845060025538,40W,2100LM/2100LM,4000K,188.98,171.94,171.94,273.78,242.74
SRPL-40W-50K-D,845060025545,40W,2100LM/2100LM,5000K,188.98,171.94,171.94,273.78,242.74
SCL-ALG,845060053555,N/A,N/A,N/A,3.31,3.31,3.31,5.26,4.66
SCL-AH,845060011524,N/A,N/A,N/A,1.85,1.85,1.85,2.94,2.60
SCL-AKHC,845060053562,N/A,N/A,N/A,1.36,1.36,1.36,2.16,1.91
SCL-AYC,845060053517,N/A,N/A,N/A,1.36,1.36,1.36,2.16,1.91
SCL-TG1420,845060054095,N/A,N/A,N/A,2.33,2.33,2.33,3.70,3.28
SCL-ABC,845060053579,N/A,N/A,N/A,2.27,2.27,2.27,3.60,3.20
SCL-ABCH,845060054101,N/A,N/A,N/A,2.91,2.91,2.91,4.62,4.10
SCL-GTY10,845060054026,N/A,N/A,N/A,15.54,15.54,15.54,24.78,21.74
SCL-GTY20,845060054033,N/A,N/A,N/A,20.97,20.97,20.97,33.78,29.74
SCL-GTY210,845060054040,N/A,N/A,N/A,18.02,18.02,18.02,28.78,25.74
SCL-GTY220,845060054057,N/A,N/A,N/A,25.33,25.33,25.33,40.78,35.74
SCL-GS210,845060054064,N/A,N/A,N/A,7.77,7.77,7.77,12.78,10.74
SCL-GS220,845060054071,N/A,N/A,N/A,10.68,10.68,10.68,16.78,15.74
SCL-CS18/5,845060054088,N/A,N/A,N/A,21.98,21.98,21.98,34.78,30.74
FWH-6FT-16/3,845060001051,N/A,N/A,N/A,8.06,8.06,8.06,12.78,11.74
FWH-6FT-16/5,845060001068,N/A,N/A,N/A,12.70,12.70,12.70,20.78,17.74
FWH-6FT-16/6,845060001075,N/A,N/A,N/A,16.39,16.39,16.39,25.78,23.74
SCL-ASC-500FT,845060030341,N/A,N/A,N/A,64.18,64.18,64.18,101.78,90.74
LVB-12-MCT-BN,845060049282,8W,560LM,30K/40K/50K,57.98,52.94,46.90,84.78,72.74
LVB-12-MCT-PC,845060049244,8W,560LM,30K/40K/50K,57.98,52.94,46.90,84.78,72.74
LVB-18-MCT-BN,845060049299,12W,840LM,30K/40K/50K,64.98,57.94,52.90,92.78,79.74
LVB-18-MCT-PC,845060049251,12W,840LM,30K/40K/50K,64.98,57.94,52.90,92.78,79.74
LVB-24-MCT-BN,845060049305,16W,1440LM,30K/40K/50K,73.98,66.94,59.90,106.78,91.74
LVB-24-MCT-PC,845060049268,16W,1440LM,30K/40K/50K,73.98,66.94,59.90,106.78,91.74
LVB-36-MCT-BN,845060049312,24W,1680LM,30K/40K/50K,84.98,75.94,68.90,120.78,103.74
LVB-36-MCT-PC,845060049275,24W,1680LM,30K/40K/50K,84.98,75.94,68.90,120.78,103.74
LVB-48-MCT-BN,845060057546,32W,2240LM,30K/40K/50K,121.98,110.94,99.90,176.78,151.74
LVB-48-MCT-PC,845060057539,32W,2240LM,30K/40K/50K,121.98,110.94,99.90,176.78,151.74
LVL-2FT-17W-30K,845060015584,17W,1900LM,3000K,39.98,35.94,31.90,57.78,49.74
LVL-2FT-17W-40K,845060012842,17W,1900LM,4000K,39.98,35.94,31.90,57.78,49.74
CRL4-27W-30K,845060021738,27W,1800LM, 3000K,68.98,60.94,60.94,96.78,85.74
CRL4-27W-40K,845060021745,27W,1900LM, 4000K,68.98,60.94,60.94,96.78,85.74
CRL4-27W-50K,845060021752,27W,1950LM, 5000K,68.98,60.94,60.94,96.78,85.74
CRL6-18W-30K,845060065015,18W,1639LM, 3000K,78.98,68.94,68.94,109.78,97.74
CRL6-18W-40K,845060065022,18W,1639LM, 4000K,78.98,68.94,68.94,109.78,97.74
CRL6-18W-50K,845060065039,18W,1639LM, 5000K,78.98,68.94,68.94,109.78,97.74
CRL6-27W-30K,845060065046,27W,2387LM, 3000K,83.98,78.94,78.94,125.78,111.74
CRL6-27W-40K,845060065053,27W,2387LM, 4000K,83.98,78.94,78.94,125.78,111.74
CRL6-27W-50K,845060065060,27W,2387LM, 5000K,83.98,78.94,78.94,125.78,111.74
CRL6-40W-30K,845060065077,40W,3447LM, 3000K,89.98,85.94,85.94,136.78,121.74
CRL6-40W-40K,845060065084,40W,3447LM, 4000K,89.98,85.94,85.94,136.78,121.74
CRL6-40W-50K,845060065091,40W,3447LM, 5000K,89.98,85.94,85.94,136.78,121.74
CRL6-54W-30K,845060065107,54W,4500LM, 3000K,118.98,111.94,111.94,177.78,157.74
CRL6-54W-40K,845060065114,54W,4500LM, 4000K,118.98,111.94,111.94,177.78,157.74
CRL6-54W-50K,845060065121,54W,4500LM, 5000K,118.98,111.94,111.94,177.78,157.74
CRL8-18W-30K,845060065138,18W,1639LM, 3000K,80.98,70.94,70.94,112.78,99.74
CRL8-18W-40K,845060065145,18W,1639LM, 4000K,80.98,70.94,70.94,112.78,99.74
CRL8-18W-50K,845060065152,18W,1639LM, 5000K,80.98,70.94,70.94,112.78,99.74
CRL8-27W-30K,845060065169,27W,2387LM, 3000K,85.98,82.94,82.94,131.78,116.74
CRL8-27W-40K,845060065176,27W,2387LM, 4000K,85.98,82.94,82.94,131.78,116.74
CRL8-27W-50K,845060065183,27W,2387LM, 5000K,85.98,82.94,82.94,131.78,116.74
CRL8-40W-30K,845060065190,40W,3447LM, 3000K,93.98,89.94,89.94,142.78,126.74
CRL8-40W-40K,845060065206,40W,3447LM, 4000K,93.98,89.94,89.94,142.78,126.74
CRL8-40W-50K,845060065213,40W,3447LM, 5000K,93.98,89.94,89.94,142.78,126.74
CRL8-54W-30K,845060065220,54W,4500LM, 3000K,121.98,114.94,114.94,182.78,161.74
CRL8-54W-40K,845060065237,54W,4500LM, 4000K,121.98,114.94,114.94,182.78,161.74
CRL8-54W-50K,845060065244,54W,4500LM, 5000K,121.98,114.94,114.94,182.78,161.74
CRL10-18W-30K,845060064896,18W,1639LM, 3000K,85.98,72.94,72.94,115.78,102.74
CRL10-18W-40K,845060064902,18W,1639LM, 4000K,85.98,72.94,72.94,115.78,102.74
CRL10-18W-50K,845060064919,18W,1639LM, 5000K,85.98,72.94,72.94,115.78,102.74
CRL10-27W-30K,845060064926,27W,2387LM, 3000K,89.98,85.94,85.94,136.78,121.74
CRL10-27W-40K,845060064933,27W,2387LM, 4000K,89.98,85.94,85.94,136.78,121.74
CRL10-27W-50K,845060064940,27W,2387LM, 5000K,89.98,85.94,85.94,136.78,121.74
CRL10-40W-30K,845060064957,40W,3447LM, 3000K,97.98,93.94,93.94,149.78,132.74
CRL10-40W-40K,845060064964,40W,3447LM, 4000K,97.98,93.94,93.94,149.78,132.74
CRL10-40W-50K,845060064971,40W,3447LM, 5000K,97.98,93.94,93.94,149.78,132.74
CRL10-54W-30K,845060064988,54W,4500LM, 3000K,125.98,117.94,117.94,187.78,166.74
CRL10-54W-40K,845060064995,54W,4500LM, 4000K,125.98,117.94,117.94,187.78,166.74
CRL10-54W-50K,845060065008,54W,4500LM, 5000K,125.98,117.94,117.94,187.78,166.74
CRL-HSG-4,845060048025,N/A,N/A,N/A,29.94,29.94,29.94,47.78,42.74
CRL-HSG-6,845060048032,N/A,N/A,N/A,35.29,35.29,35.29,56.78,49.74
CRL-HSG-8,845060048049,N/A,N/A,N/A,39.57,39.57,39.57,62.78,55.74
CRL-HSG-10,845060048056,N/A,N/A,N/A,43.85,43.85,43.85,69.78,61.74
CRLC-EGN-15W-30K-D,845060025408,15W,1200LM,3000K,40.98,36.94,32.90,58.78,52.74
CRLC-EGN-15W-40K-D,845060025415,15W,1245LM,4000K,40.98,36.94,32.90,58.78,52.74
CRLC-EGN-15W-50K-D,845060025422,15W,1275LM,5000K,40.98,36.94,32.90,58.78,52.74
CRLC-EGN-20W-30K-D,845060025439,20W,1600LM,3000K,50.98,44.94,40.90,71.78,63.74
CRLC-EGN-20W-40K-D,845060025446,20W,1640LM,4000K,50.98,44.94,40.90,71.78,63.74
CRLC-EGN-20W-50K-D,845060025453,20W,1720LM,5000K,50.98,44.94,40.90,71.78,63.74
CRLC-EGN-15W-MCT-D,845060057584,15W,1200LM,3000K/4000K/5000K,40.98,36.94,32.90,58.78,52.74
CRLC-EGN-20W-MCT-D,845060057492,20W,1600LM,3000K/4000K/5000K,50.98,44.94,40.90,71.78,71.74
CRLC-TRM-4,845060025460,N/A,N/A,N/A,8.59,8.59,8.59,13.78,12.74
CRLC-TRM-6,845060025477,N/A,N/A,N/A,11.05,11.05,11.05,17.78,15.74
CRLC-TRM-8,845060025484,N/A,N/A,N/A,14.74,14.74,14.74,23.78,20.74
CRLC-TRM-4-WH,845060025491,N/A,N/A,N/A,9.82,9.82,9.82,15.78,13.74
CRLC-TRM-6-WH,845060025507,N/A,N/A,N/A,13.51,13.51,13.51,21.78,19.74
CRLC-TRM-8-WH,845060025514,N/A,N/A,N/A,15.98,15.98,15.98,25.78,22.74
CRLC4-15W-30K-D,845060065251,15W,1200LM,3000K,49.57,45.53,41.49,72.78,64.74
CRLC4-15W-40K-D,845060065275,15W,1245LM,4000K,49.57,45.53,41.49,93.78,82.74
CRLC4-15W-50K-D,845060065299,15W,1275LM,5000K,49.57,45.53,41.49,93.78,82.74
CRLC4-20W-30K-D,845060065336,20W,1600LM,3000K,59.57,53.53,49.49,85.78,75.74
CRLC4-20W-40K-D,845060065350,20W,1640LM,4000K,59.57,53.53,49.49,105.78,93.74
CRLC4-20W-50K-D,845060065374,20W,1720LM,5000K,59.57,53.53,49.49,105.78,93.74
CRLC6-15W-30K-D,845060065411,15W,1200LM,3000K,52.03,47.99,43.95,76.78,67.74
CRLC6-15W-40K-D,845060065435,15W,1245LM,4000K,52.03,47.99,43.95,76.78,67.74
CRLC6-15W-50K-D,845060065459,15W,1275LM,5000K,52.03,47.99,43.95,76.78,67.74
CRLC6-20W-30K-D,845060065497,20W,1600LM,3000K,62.03,55.99,51.95,88.78,78.74
CRLC6-20W-40K-D,845060065510,20W,1640LM,4000K,62.03,55.99,51.95,88.78,78.74
CRLC6-20W-50K-D,845060065534,20W,1720LM,5000K,62.03,55.99,51.95,88.78,78.74
CRLC8-15W-30K-D,845060065572,15W,1200LM,3000K,55.72,51.68,47.64,82.78,73.74
CRLC8-15W-40K-D,845060065596,15W,1245LM,4000K,55.72,51.68,47.64,82.78,73.74
CRLC8-15W-50K-D,845060065619,15W,1275LM,5000K,55.72,51.68,47.64,82.78,73.74
CRLC8-20W-30K-D,845060065657,20W,1600LM,3000K,65.72,59.68,55.64,95.78,84.74
CRLC8-20W-40K-D,845060065671,20W,1640LM,4000K,65.72,59.68,55.64,95.78,84.74
CRLC8-20W-50K-D,845060065695,20W,1720LM,5000K,65.72,59.68,55.64,95.78,84.74
CRLC4-15W-MCT-D,845060065312,15W,1200LM,MCT,49.57,45.53,41.49,93.78,82.74
CRLC4-20W-MCT-D,845060065398,20W,1600LM,MCT,59.57,53.53,49.49,105.78,93.74
CRLC6-15W-MCT-D,845060065473,15W,1200LM,MCT,52.03,47.99,43.95,76.78,67.74
CRLC6-20W-MCT-D,845060065558,20W,1600LM,MCT,62.03,55.99,51.95,88.78,78.74
CRLC8-15W-MCT-D,845060065633,15W,1200LM,MCT,55.72,51.68,47.64,82.78,73.74
CRLC8-20W-MCT-D,845060065718,20W,1600LM,MCT,65.72,59.68,55.64,95.78,84.74
CRLC4-15W-30K-D-WH,845060065268,15W,1200LM,3000K,50.80,46.76,42.72,74.78,65.74
CRLC4-15W-40K-D-WH,845060065282,15W,1245LM,4000K,50.80,46.76,42.72,93.78,82.74
CRLC4-15W-50K-D-WH,845060065305,15W,1275LM,5000K,50.80,46.76,42.72,93.78,82.74
CRLC4-20W-30K-D-WH,845060065343,20W,1600LM,3000K,60.80,54.76,50.72,86.78,77.74
CRLC4-20W-40K-D-WH,845060065367,20W,1640LM,4000K,60.80,54.76,50.72,105.78,93.74
CRLC4-20W-50K-D-WH,845060065381,20W,1720LM,5000K,60.80,54.76,50.72,105.78,93.74
CRLC6-15W-30K-D-WH,845060065428,15W,1200LM,3000K,54.49,50.45,46.41,79.78,70.74
CRLC6-15W-40K-D-WH,845060065442,15W,1245LM,4000K,54.49,50.45,46.41,79.78,70.74
CRLC6-15W-50K-D-WH,845060065466,15W,1275LM,5000K,54.49,50.45,46.41,79.78,70.74
CRLC6-20W-30K-D-WH,845060065503,20W,1600LM,3000K,64.49,58.45,54.41,93.78,82.74
CRLC6-20W-40K-D-WH,845060065527,20W,1640LM,4000K,64.49,58.45,54.41,93.78,82.74
CRLC6-20W-50K-D-WH,845060065541,20W,1720LM,5000K,64.49,58.45,54.41,93.78,82.74
CRLC8-15W-30K-D-WH,845060065589,15W,1200LM,3000K,56.96,52.92,48.88,84.78,74.74
CRLC8-15W-40K-D-WH,845060065602,15W,1245LM,4000K,56.96,52.92,48.88,84.78,74.74
CRLC8-15W-50K-D-WH,845060065626,15W,1275LM,5000K,56.96,52.92,48.88,84.78,74.74
CRLC8-20W-30K-D-WH,845060065664,20W,1600LM,3000K,66.96,60.92,56.88,96.78,85.74
CRLC8-20W-40K-D-WH,845060065688,20W,1640LM,4000K,66.96,60.92,56.88,96.78,85.74
CRLC8-20W-50K-D-WH,845060065701,20W,1720LM,5000K,66.96,60.92,56.88,96.78,85.74
CRLC4-15W-MCT-D-WH,845060065329,15W,1200LM,MCT,50.80,46.76,42.72,93.78,82.74
CRLC4-20W-MCT-D-WH,845060065404,20W,1600LM,MCT,60.80,54.76,50.72,105.78,93.74
CRLC6-15W-MCT-D-WH,845060065480,15W,1200LM,MCT,54.49,50.45,46.41,79.78,70.74
CRLC6-20W-MCT-D-WH,845060065565,20W,1600LM,MCT,64.49,58.45,54.41,93.78,82.74
CRLC8-15W-MCT-D-WH,845060065640,15W,1200LM,MCT,56.96,52.92,48.88,84.78,74.74
CRLC8-20W-MCT-D-WH,845060065725,20W,1600LM,MCT,66.96,60.92,56.88,96.78,85.74
TR1-R-10W-WH-30K,845060046939,10W,657LM,3000K,45.98,41.94,37.90,66.78,59.74
TR1-R-10W-WH-40K,845060046946,10W,691LM,4000K,45.98,41.94,37.90,66.78,59.74
TR1-R-10W-WH-50K,845060046953,10W,702LM,5000K,45.98,41.94,37.90,66.78,59.74
TR1-S-10W-WH-30K,845060046977,10W,681LM,3000K,45.98,41.94,37.90,66.78,59.74
TR1-S-10W-WH-40K,845060046984,10W,706LM,4000K,45.98,41.94,37.90,66.78,59.74
TR1-S-10W-WH-50K,845060046991,10W,732LM,5000K,45.98,41.94,37.90,66.78,59.74
TR1-R-10W-BK-30K,845060022315,10W,657LM,3000K,45.98,41.94,37.90,66.78,59.74
TR1-R-10W-BK-40K,845060022322,10W,691LM,4000K,45.98,41.94,37.90,66.78,59.74
TR1-S-10W-BK-30K,845060022346,10W,681LM,3000K,45.98,41.94,37.90,66.78,59.74
TR1-S-10W-BK-40K,845060022353,10W,706LM,4000K,45.98,41.94,37.90,66.78,59.74
TR1-REFL-13D,845060047011,N/A,N/A,N/A,8.54,8.54,8.54,13.78,12.74
TR1-REFL-38D,845060047028,N/A,N/A,N/A,8.54,8.54,8.54,13.78,12.74
T8-EZ5-GS-4FT-18W-30K-C,845060050707,18W,2000LM,3000K,5.20,5.20,5.20,8.78,7.74
T8-EZ5-GS-4FT-18W-30K-F,845060050714,18W,2000LM,3000K,5.20,5.20,5.20,8.78,7.74
T8-EZ5-GS-4FT-18W-35K-F,845060050738,18W,2000LM,3500K,5.20,5.20,5.20,8.78,7.74
T8-EZ5-GS-4FT-18W-50K-C,845060050769,18W,2100LM,5000K,5.20,5.20,5.20,8.78,7.74
T8-EZ5-GS-4FT-15W-30K-C,845060050783,15W,1800LM,3000K,4.98,4.98,4.98,7.92,6.82
T8-EZ5-GS-4FT-15W-30K-F,845060050790,15W,1800LM,3000K,4.98,4.98,4.98,7.92,6.82
T8-EZ5-GS-4FT-15W-35K-C,845060050806,15W,1800LM,3500K,4.98,4.98,4.98,7.92,6.82
T8-EZ5-GS-4FT-15W-35K-F,845060050813,15W,1800LM,3500K,4.98,4.98,4.98,7.92,6.82
T8-EZ5-GS-4FT-15W-40K-C,845060050820,15W,1900LM,4000K,4.98,4.98,4.98,7.92,6.82
T8-EZ5-GS-4FT-15W-50K-C,845060050844,15W,1900LM,5000K,4.98,4.98,4.98,7.92,6.82
T8-EZ5-GS-4FT-15W-50K-F,845060050851,15W,1900LM,5000K,4.98,4.98,4.98,7.92,6.82
T8-EZ5-GS-2FT-8W-30K-C,845060050868,8W,900LM,3000K,4.86,4.86,4.86,7.71,6.64
T8-EZ5-GS-2FT-8W-30K-F,845060050875,8W,900LM,3000K,4.86,4.86,4.86,7.71,6.64
T8-EZ5-GS-2FT-8W-35K-C,845060050882,8W,900LM,3500K,4.86,4.86,4.86,7.71,6.64
T8-EZ5-GS-2FT-8W-35K-F,845060050899,8W,900LM,3500K,4.86,4.86,4.86,7.71,6.64
T8-EZ5-GS-2FT-8W-40K-C,845060050905,8W,1000LM,4000K,4.86,4.86,4.86,7.71,6.64
T8-EZ5-GS-2FT-8W-50K-C,845060050929,8W,1000LM,5000K,4.86,4.86,4.86,7.71,6.64
T8-EZ4-18W-40K-C,845060037951,18W,2200LM,4000K,4.60,4.60,4.60,7.30,6.29
T8-EZ4-HL-15W-30K-C,845060008609,15W,2100LM,3000K,4.47,4.47,4.47,7.09,6.11
T8-EZ4-HL-15W-35K-C,845060008623,15W,2150LM,3500K,4.47,4.47,4.47,7.09,6.11
T8-EZ4-HL-15W-35K-F,845060008630,15W,2200LM,3500K,4.47,4.47,4.47,7.09,6.11
T8-EZ4-HL-15W-40K-C,845060004212,15W,2100LM,4000K,4.47,4.47,4.47,7.09,6.11
T8-EZ3-4FT-18W-50K-C,845060037098,18W,2212LM,5000K,9.45,9.45,9.45,15.78,12.74
T8-EZ3-4FT-18W-40K-C,845060037074,18W,2212LM,4000K,9.45,9.45,9.45,15.78,12.74
T8-EZ3-4FT-18W-35K-C,845060002201,18W,2200LM,3500K,10.45,10.45,10.45,16.78,14.74
T8-EZ3-4FT-18W-30K-C,845060037111,18W,2100LM,3000K,10.45,10.45,10.45,16.78,14.74
T8-EZ3-4FT-18W-30K-F,845060002393,18W,2100LM,3000K,10.45,10.45,10.45,16.78,14.74
T8-EZ3-2FT-15W-30K-C,845060037173,15W,2000LM,3000K,11.45,11.45,11.45,18.78,15.74
T8-EZ3-2FT-15W-40K-C,845060037180,15W,2032LM,4000K,11.45,11.45,11.45,18.78,15.74
T8-U2F-EZ3-15W-35K-C,845060074697,15W,1410LM,3500K,20.22,20.22,20.22,32.78,27.74
T8-U2F-EZ3-15W-41K-C,845060000597,15W,1450LM,4100K,15.28,15.28,15.28,24.78,20.74
T8-U2F-EZ3-15W-50K-C,845060000603,15W,1500LM,5000K,15.28,15.28,15.28,24.78,20.74
T8-4FT-18W-35K-D-F,845060002249,18W,1900LM,3500K,12.50,12.50,12.50,19.78,17.74
T8-4FT-18W-50K-D-F,845060037265,18W,2150LM,5000K,12.50,12.50,12.50,19.78,17.74
T8-4FT-18W-50K-D-C,845060036138,18W,2150LM,5000K,12.50,12.50,12.50,19.78,17.74
T8-4FT-DIM-18W-35K-C,845060000900,18W,1900LM,3500K,12.98,11.98,10.50,19.78,16.74
T8-4FT-DIM-18W-35K-F,845060000894,18W,1900LM,3500K,12.98,11.98,10.50,19.78,16.74
T8-4FT-DIM-18W-40K-C,845060000917,18W,2150LM,4000K,12.98,11.98,10.50,19.78,16.74
T8-4FT-DIM-18W-40K-F,845060000931,18W,2150LM,4000K,12.98,11.98,10.50,19.78,16.74
T8-4FT-DIM-18W-50K-C,845060000948,18W,2150LM,5000K,12.98,11.98,10.50,19.78,16.74
T8-4FT-DIM-18W-50K-F,845060000962,18W,2150LM,5000K,12.98,11.98,10.50,19.78,16.74
T8-8FT-40W-40K-C,845060036442,40W,4800LM,4000K,17.98,17.98,17.98,28.78,24.74
T-RFG-5FT-22W-50K-C,845060006643,22W,3100LM,5000K,34.98,28.94,28.94,45.78,39.74
T-RFG-6FT-30W-50K-C,845060006674,30W,4200LM,5000K,37.98,30.94,30.94,49.78,42.74
T5-TYPA-27W-40K-F,845060052282,27W,3200LM,4000K,13.89,11.68,11.68,18.78,15.74
T5-TYPA-27W-50K-F,845060052299,27W,3200LM,5000K,13.89,11.68,11.68,18.78,15.74
T5-TYPB-25W-40K-F,845060052305,25W,3200LM,4000K,14.96,12.78,12.78,20.78,17.74
T5-TYPB-25W-50K-F,845060052312,25W,3200LM,5000K,14.96,12.78,12.78,20.78,17.74
RSL3-27K,845060012453,6W,400LM,2700K,8.45,8.45,8.45,13.78,11.74
RSL3-50K,845060012484,6W,420LM,5000K,8.45,8.45,8.45,13.78,11.74
RSL3-30K-ORB,845060012552,6W,400LM,3000K,10.59,10.59,10.59,16.78,14.74
RSL4-30K-BN,845060012521,9W,630LM,3000K,9.52,9.52,9.52,15.78,13.74
RSL6-30K-BN,845060012569,15W,1125LM,3000K,9.52,9.52,9.52,15.78,13.74
RSL6-30K-ORB,845060012576,15W,1125LM,3000K,9.52,9.52,9.52,15.78,13.74
SSL4-30K,845060005325,9W,630LM,3000K,9.52,9.52,9.52,15.78,13.74
SSL4-50K,845060005387,9W,650LM,5000K,8.45,8.45,8.45,13.78,11.74
SSL6-27K,845060005394,15W,1125LM,2700K,10.59,10.59,10.59,16.78,14.74
SSL6-30K,845060005424,15W,1125LM,3000K,10.59,10.59,10.59,16.78,14.74
SSL6-40K,845060005431,15W,1125LM,4000K,10.59,10.59,10.59,16.78,14.74
SSL6-50K,845060005448,15W,1125LM,5000K,10.59,10.59,10.59,16.78,14.74
RSL3-RI,845060012583,N/A,N/A,N/A,6.14,6.14,6.14,9.78,8.74
