ITEMNO.,UPC,WATTS,LUMENS,COLOR TEMP,"NON STOCKING DIST.
OR ANY QUANTITY","STOCKING DIST.
OR
$2500 MIN.","WIP
OR
$5000 MIN.","MSRP
PRICE","IMAP
PRICE"
WML-HL-100W-30K,845060050165,100W,14800LM,3000K,143.98,127.94,101.90,203.78,177.74
WML-HL-100W-40K,845060050172,100W,14800LM,4000K,143.98,127.94,101.90,203.78,177.74
WML-HL-120W-30K,845060050196,120W,17100LM,3000K,161.98,144.94,128.90,230.78,201.74
LMW-12W-30K,845060048919,12W,1300LM,3000K,47.98,40.94,39.90,65.78,58.74
LMW-12W-40K,845060048933,12W,1300LM,4000K,47.98,40.94,39.90,65.78,58.74
LMW-12W-50K,845060048957,12W,1300LM,5000K,47.98,40.94,39.90,65.78,58.74
LMW-12W-30K-WH,845060048926,12W,1300LM,3000K,63.98,54.94,52.90,87.78,79.74
LMW-12W-40K-WH,845060048940,12W,1300LM,4000K,63.98,54.94,52.90,87.78,79.74
LMW-12W-50K-WH,845060048964,12W,1300LM,5000K,63.98,54.94,52.90,87.78,79.74
WMV-20W-50K,845060016536,20W,2000LM,5000K,77.98,69.94,63.90,111.78,97.74
WMV-20W-40K,845060016529,20W,1900LM,4000K,77.98,69.94,63.90,111.78,97.74
WMV-20W-30K,845060016512,20W,1800LM,3000K,77.98,69.94,63.90,111.78,97.74
LESW-12W-50K-P,845060016550,12W,1300LM,5000K,22.98,22.98,22.98,36.78,31.74
LESW-12W-30K-P,845060016543,12W,1225LM,3000K,22.98,22.98,22.98,36.78,31.74
LESW-15W-30K-P,845060048834,15W,1675LM,3000K,26.98,23.94,21.29,38.78,33.74
LESW-15W-50K-P,845060048841,15W,1875LM,5000K,26.98,23.94,21.29,38.78,33.74
LESW-20W-30K-P,845060048872,20W,2300LM,3000K,29.98,26.94,23.90,42.78,37.74
LESW-20W-50K-P,845060048889,20W,2500LM,5000K,29.98,26.94,23.90,42.78,37.74
LESW-15W-30K-P-WH,845060048858,15W,1675LM,3000K,26.98,23.94,21.29,38.78,33.74
LESW-15W-50K-P-WH,845060048865,15W,1875LM,5000K,26.98,23.94,21.29,38.78,33.74
LESW-20W-30K-P-WH,845060048896,20W,2300LM,3000K,29.98,26.94,23.90,42.78,37.74
LESW-20W-50K-P-WH,845060048902,20W,2500LM,5000K,29.98,26.94,23.90,42.78,37.74
LESW-15-30W-MCTP-P,845060074611,15W/20W/30W,135LM/W,3000K/4000K/5000K,51.98,43.94,36.90,69.78,60.74
LESW-15-30W-MCTP-P-WH,845060074628,15W/20W/30W,135LM/W,3000K/4000K/5000K,51.98,43.94,36.90,69.78,60.74
LSW-22NW-PC,845060043006,20W,2050LM,4000K,56.98,51.94,45.90,82.78,72.74
LSW-30NW-PC,845060043112,30W,2800LM,4000K,73.98,66.94,59.90,106.78,92.74
LTW-50CW,845060045604,50W,4400LM,5000K,128.98,119.94,117.90,190.78,166.74
LTW-50NW,845060039405,50W,4400LM,4000K,128.98,119.94,117.90,190.78,166.74
LTW-50WW,845060045611,50W,4400LM,3000K,128.98,119.94,117.90,190.78,166.74
LFCO-50W-50K,845060031492,50W,6900LM,5000K,118.98,103.94,94.90,165.78,144.74
LFCO-80W-50K,845060031508,80W,10800LM,5000K,121.98,105.94,96.90,168.78,147.74
LFCO-150W-50K,845060031522,150W,19900LM,5000K,150.98,130.94,118.90,207.78,181.74
LFCO-50W-40K,845060032116,50W,6900LM,4000K,118.98,103.94,94.90,165.78,144.74
LFCO-80W-40K,845060032123,80W,10800LM,4000K,121.98,105.94,96.90,168.78,147.74
LFCO-100W-40K,845060032130,100W,14000LM,4000K,129.98,112.94,102.90,179.78,156.74
LFCO-150W-40K,845060032147,150W,19900LM,4000K,150.98,130.94,118.90,207.78,181.74
LFCO-HL-600W-50K-TR,845060031607,600W,86000LM,5000k,1030.98,923.94,859.90,1467.78,1282.74
LFCO-SA,845060031560,N/A,N/A,N/A,30.98,30.98,30.98,49.78,43.74
LFCO-SF,845060031553,N/A,N/A,N/A,33.98,33.98,33.98,53.78,47.74
LFCO-TR1,845060031577,N/A,N/A,N/A,15.41,15.41,15.41,24.78,21.74
LFCO-TR2,845060031584,N/A,N/A,N/A,18.30,18.30,18.30,29.78,25.74
LFCO-YK,845060031591,N/A,N/A,N/A,15.41,15.41,15.41,24.78,21.74
LF3-HL-100W-30K,845060017694,100W,13000LM,3000K,105.98,105.98,105.98,168.78,149.74
LF3-HL-150W-30K,845060017724,150W,19700LM,3000K,113.98,113.98,113.98,181.78,160.74
LF3-HL-150W-40K,845060025231,150W,20680LM,4000K,163.98,142.94,138.90,226.78,201.74
LF3-HL-150W-50K,845060017717,150W,20680LM,5000K,163.98,142.94,138.90,226.78,201.74
LF3-HL-100W-40K-480V,845060025217,100W,13200LM,4000K,161.98,161.98,161.98,257.78,228.74
LF3-HL-150W-40K-480V,845060025248,150W,20680LM,4000K,331.98,279.94,256.90,444.78,394.74
LF3-HL-230W-40K-480V,845060025279,230W,31000LM,4000K,204.98,204.98,204.98,325.78,288.74
LF3-HL-80W-40K-TR,845060025330,80W,10700LM,4000K,153.98,135.94,134.90,215.78,191.74
LF3-HL-SF,845060017786,N/A,N/A,N/A,30.98,30.98,30.98,49.78,43.74
LF3-HL-RSF,845060022247,N/A,N/A,N/A,38.98,38.98,38.98,61.78,54.74
LF3-HL-FSF,845060022230,N/A,N/A,N/A,31.98,31.98,31.98,50.78,45.74
LF3-HL-YK-100W/150W/230W,845060017793,N/A,N/A,N/A,18.30,18.30,18.30,29.78,25.74
LF3-HL-YK-300W,845060017809,N/A,N/A,N/A,18.30,18.30,18.30,29.78,25.74
LF3-HL-RA,845060074673,N/A,N/A,N/A,38.98,38.98,38.98,61.78,54.74
LF3-HL-EXTARM,845060017779,N/A,N/A,N/A,42.98,42.98,42.98,68.78,60.74
LF3-HL-ASA,845060025385,N/A,N/A,N/A,42.98,42.98,42.98,68.78,60.74
LF3-HL-PMR1,845060022278,N/A,N/A,N/A,23.98,23.98,23.98,38.78,33.74
LF3-HL-PMR2,845060022285,N/A,N/A,N/A,35.98,35.98,35.98,57.78,50.74
LF3-HL-PMS1,845060022254,N/A,N/A,N/A,23.98,23.98,23.98,38.78,33.74
LF3-HL-PMS2,845060022261,N/A,N/A,N/A,47.98,47.98,47.98,76.78,67.74
LF3-SH3,845060022698,N/A,N/A,N/A,28.98,28.98,28.98,46.78,40.74
LF3-SH4,845060022711,N/A,N/A,N/A,34.98,34.98,34.98,55.78,49.74
LF3-SH5,845060022735,N/A,N/A,N/A,37.98,37.98,37.98,60.78,53.74
LF3-SH3FG,845060022681,N/A,N/A,N/A,36.98,36.98,36.98,58.78,52.74
LF3-SH4FG,845060022704,N/A,N/A,N/A,42.98,42.98,42.98,68.78,60.74
LF3-SH5FG,845060022728,N/A,N/A,N/A,47.98,47.98,47.98,76.78,67.74
LF3-WG3,845060022742,N/A,N/A,N/A,18.17,18.17,18.17,28.78,25.74
LF3-WG4,845060022759,N/A,N/A,N/A,20.31,20.31,20.31,32.78,28.74
LF3-WG5,845060022766,N/A,N/A,N/A,22.98,22.98,22.98,36.78,32.74
LF3-HL-TYPEII-100W,845060022179,N/A,N/A,N/A,18.17,18.17,18.17,28.78,25.74
LF3-HL-TYPEII-150W/230W/300W,845060022186,N/A,N/A,N/A,18.17,18.17,18.17,28.78,25.74
LF3-HL-TYPEIII-100W,845060022193,N/A,N/A,N/A,18.17,18.17,18.17,28.78,25.74
LF3-HL-TYPEIII-150W/230W/300W,845060022209,N/A,N/A,N/A,18.17,18.17,18.17,28.78,25.74
LF3-HL-TYPEIV-100W,845060022216,N/A,N/A,N/A,18.17,18.17,18.17,28.78,25.74
LF3-HL-TYPEIV-150W/230W/300W,845060022223,N/A,N/A,N/A,18.17,18.17,18.17,28.78,25.74
LF3-HL-30W-40K-D-KN,845060030617,30W,3600LM,4000K,33.98,33.98,33.98,53.78,47.74
LF3-HL-30W-50K-D-KN,845060030624,30W,3600LM,5000K,33.98,33.98,33.98,53.78,47.74
LF3-HL-50W-30K-D-KN,845060030631,50W,6100LM,3000K,48.98,48.98,48.98,77.78,68.74
LF3-HL-50W-40K-D-KN,845060030648,50W,6100LM,4000K,48.98,48.98,48.98,77.78,68.74
LF3-15NW-KN,845060025170,15W,1700LM,4000K,20.22,20.22,20.22,32.78,28.74
LF3-30NW-KN,845060031621,30W,3600LM,4000K,30.98,30.98,30.98,49.78,43.74
LF3-50NW-KN,845060031638,50W,6100LM,4000K,42.98,42.98,42.98,68.78,60.74
LF3-15CW-TR,845060044904,15W,1700LM,5000K,21.98,21.98,21.98,34.78,30.74
LF3-15NW-TR,845060025187,15W,1700LM,4000K,20.98,20.98,20.98,33.78,29.74
LF3-15WW-TR,845060044911,15W,1700LM,3000K,21.98,21.98,21.98,34.78,30.74
LF3-30NW-TR,845060031645,30W,3600LM,4000K,30.98,30.98,30.98,49.78,43.74
LF3-50NW-TR,845060031652,50W,6100LM,4000K,42.98,42.98,42.98,68.78,60.74
LF3-50WW-TR,845060044959,50W,6100LM,3000K,48.98,48.98,48.98,77.78,68.74
LF3-WH-15CW-KN,845060047202,15W,1600LM,5000K,36.98,33.94,31.90,53.78,47.74
LF3-WH-15WW-KN,845060047219,15W,1500LM,3000K,36.98,33.94,31.90,53.78,47.74
LF3-WH-30WW-KN,845060047233,30W,3600LM,3000K,53.98,51.94,48.90,82.78,73.74
LF3-WH-50CW-KN,845060047240,50W,6100LM,5000K,72.98,65.94,61.90,104.78,92.74
LF3-WH-50WW-KN,845060047257,50W,6100LM,3000K,72.98,65.94,61.90,104.78,92.74
FLH-10W-30K-BR,845060031423,10W,1000LM,3000K,23.98,21.34,20.22,33.78,29.74
FLH-10W-50K-BR,845060031447,10W,1000LM,5000K,23.98,21.34,20.22,33.78,29.74
FLH-10W-30K-WH,845060031430,10W,1000LM,3000K,23.98,21.34,20.22,33.78,29.74
FLH-10W-50K-WH,845060031454,10W,1000LM,5000K,23.98,21.34,20.22,33.78,29.74
FLS-10W-30K-BR,845060048162,10W,950LM,3000K,23.98,21.34,20.22,33.78,29.74
FLS-10W-50K-BR,845060048179,10W,950LM,5000K,23.98,21.34,20.22,33.78,29.74
FLS-10W-30K-WH,845060048186,10W,950LM,3000K,23.98,21.34,20.22,33.78,29.74
FLS-10W-50K-WH,845060048193,10W,950LM,5000K,23.98,21.34,20.22,33.78,29.74
SFX-G5-600W-30D-50K,845060030976,600W,90000LM,5000K,1747.98,1519.94,1381.90,2413.78,2185.74
SFX-G5-1000W-30D-50K,845060030983,1000W,150000LM,5000K,2571.98,2236.94,2032.90,3552.78,3216.74
SFX-G5-SH1,845060030990,N/A,N/A,N/A,43.98,37.94,34.90,60.78,54.74
SFX-G5-SH2,845060031003,N/A,N/A,N/A,52.98,45.94,41.90,72.78,66.74
SFX-G5-SF,845060031010,N/A,N/A,N/A,62.98,54.94,49.90,87.78,79.74
SFX-G5-RB,845060031027,N/A,N/A,N/A,75.98,65.94,59.90,104.78,94.74
SFX-POINTER,845060031034,N/A,N/A,N/A,90.98,78.94,71.90,125.78,113.74
LF4-12CW-KN,845060004007,12W,1300LM,5000K,28.98,28.98,28.98,46.78,40.74
LF4-30CW-KN,845060004045,30W,3300LM,5000K,49.98,49.98,49.98,79.78,70.74
LF4-50CW-KN,845060004106,50W,5600LM,5000K,64.98,64.98,64.98,103.78,91.74
LF4-50WW-KN,845060004113,50W,5400LM,3000K,64.98,64.98,64.98,103.78,91.74
LF4-80CW-SF,845060004144,80W,9500LM,5000K,110.98,110.98,110.98,176.78,156.74
LF4-80WW-SF,845060004151,80W,9500LM,3000K,110.98,110.98,110.98,176.78,156.74
LF4-100CW-SF,845060004182,100W,11200LM,5000K,129.98,129.98,129.98,206.78,183.74
LF4-100WW-SF,845060004199,100W,11200LM,3000K,129.98,129.98,129.98,206.78,183.74
LF4-150CW-SF,845060004663,150W,17000LM,5000K,135.98,135.98,135.98,215.78,191.74
LF4-150WW-SF,845060004656,150W,17000LM,3000K,135.98,135.98,135.98,215.78,191.74
LF4-12CW-TR,845060004021,12W,1300LM,5000K,28.98,28.98,28.98,46.78,40.74
LF4-30CW-TR,845060004069,30W,3300LM,5000K,44.98,44.98,44.98,71.78,63.74
LF4-30WW-TR,845060004076,30W,3100LM,3000K,44.98,44.98,44.98,71.78,63.74
LF4-50CW-TR,845060004083,50W,5600LM,5000K,63.98,63.98,63.98,101.78,90.74
LF4-80CW-TR,845060004120,80W,9500LM,5000K,107.98,107.98,107.98,171.78,152.74
LF4-80WW-TR,845060004137,80W,9500LM,3000K,107.98,107.98,107.98,171.78,152.74
LF4-100CW-TR,845060004168,100W,11200LM,5000K,128.98,128.98,128.98,204.78,181.74
LF4-100WW-TR,845060004175,100W,11200LM,3000K,128.98,128.98,128.98,204.78,181.74
LF4-150CW-TR,845060004687,150W,17000LM,5000K,130.98,130.98,130.98,207.78,184.74
LF4-150WW-TR,845060004670,150W,17000LM,3000K,130.98,130.98,130.98,207.78,184.74
LF5-380CW-480V,845060006933,380W,46000LM,5000K,342.98,342.98,342.98,544.78,482.74
LF-AD-SF,845060043747,N/A,N/A,N/A,38.98,38.98,38.98,61.78,54.74
LF5-EXTARM,845060006926,N/A,N/A,N/A,10.70,10.70,10.70,16.78,15.74
EXPF-30W-60K,845060031461,30W,3450LM,6000K,253.98,229.94,208.90,365.78,323.74
EXPF-100W-60K,845060031478,100W,11500LM,6000K,486.98,441.94,401.90,701.78,622.74
EXPF-180W-60K,845060031485,180W,20700LM,6000K,798.98,725.94,659.90,1152.78,1022.74
LF-AD-SF-GY,845060033090,N/A,N/A,N/A,75.98,75.98,75.98,120.78,106.74
SOLF-17W-50K,845060012279,17W,1600LM,5000K,363.98,330.94,300.90,525.78,475.74
SOLF-36W-50K,845060012286,36W,4000LM,5000K,717.98,652.94,592.90,1036.78,938.74
SOLF-54W-50K,845060012293,54W,6000LM,5000K,977.98,889.94,807.90,1413.78,1279.74
SOLF-SFA,845060012309,N/A,N/A,N/A,56.98,56.98,56.98,90.78,81.74
SOLF-WM-17W,845060012330,N/A,N/A,N/A,21.38,21.38,21.38,33.78,30.74
SOLF-WM-36W/54W,845060012781,N/A,N/A,N/A,32.98,32.98,32.98,52.78,47.74
SOLF-PMR-17W,845060012316,N/A,N/A,N/A,28.98,28.98,28.98,46.78,41.74
SOLF-PMR-36W/54W,845060012798,N/A,N/A,N/A,54.98,54.98,54.98,87.78,79.74
SOLF-PMS-17W,845060012323,N/A,N/A,N/A,28.98,28.98,28.98,46.78,41.74
SOLF-PMS-36W/54W,845060012804,N/A,N/A,N/A,54.98,54.98,54.98,87.78,79.74
SOLF-RC,845060018967,N/A,N/A,N/A,44.98,44.98,44.98,71.78,64.74
STL2-30W-30K,845060053036,30W,3900LM,3000K,113.98,102.94,102.94,163.78,148.74
STL2-30W-50K,845060053043,30W,3900LM,5000K,113.98,102.94,102.94,163.78,148.74
STL2-50W-30K,845060045574,50W,6750LM,3000K,148.98,134.94,134.94,214.78,189.74
STL3-50W-50K,845060088977,50W,6750LM,5000K,148.98,134.94,134.94,214.78,189.74
STL2-80W-30K,845060045628,80W,10800LM,3000K,205.98,186.94,186.94,296.78,263.74
STL2-80W-50K,845060045598,80W,10800LM,5000K,205.98,186.94,186.94,296.78,263.74
STL2-100W-30K,845060045581,100W,13500LM,3000K,216.98,195.94,195.94,311.78,275.74
STL2-100W-50K,845060033120,100W,13500LM,5000K,216.98,195.94,195.94,311.78,275.74
STL2-150W-30K,845060045635,150W,21000LM,3000K,300.98,272.94,272.94,433.78,384.74
STL3-150W-50K,845060072907,150W,21000LM,5000K,300.98,272.94,272.94,433.78,384.74
STL2-200W-30K,845060045727,200w,27000LM,3000K,350.98,318.94,318.94,506.78,449.74
STL3-200W-50K,845060072914,200W,27000LM,5000K,350.98,318.94,318.94,506.78,449.74
STL2-90W-50K-480V,845060033137,90W,13500LM,5000K,246.98,223.94,223.94,355.78,315.74
STL2-150W-50K-480V,845060033151,150W,21000LM,5000K,391.98,355.94,355.94,565.78,501.74
STL2-200W-50K-480V,845060033205,200W,27000LM,5000K,433.98,393.94,393.94,625.78,554.74
STL2-WMA,845060035483,N/A,N/A,N/A,38.98,38.98,38.98,61.78,54.74
GS-CANOPY-150W-50K,845060046892,150W,20558LM,5000K,172.98,172.98,172.98,274.78,243.74
GS-CANOPY-SMB,845060008272,N/A,N/A,N/A,96.98,96.98,96.98,154.78,136.74
CDX-35W-35K-BR,845060053609,35W,4600LM,3500K,100.98,90.94,82.90,144.78,130.74
CDX-35W-35K-WH,845060053630,35W,4600LM,3500K,100.98,90.94,82.90,144.78,130.74
CDX-35W-40K-BR,845060053616,35W,4600LM,4000K,100.98,90.94,82.90,144.78,130.74
CDX-35W-40K-WH,845060053647,35W,4600LM,4000K,100.98,90.94,82.90,144.78,130.74
CDX-35W-50K-BR,845060053623,35W,4600LM,5000K,100.98,90.94,82.90,144.78,130.74
CDX-35W-50K-WH,845060053654,35W,4600LM,5000K,100.98,90.94,82.90,144.78,130.74
CDX-55W-35K-BR,845060053661,55W,7250LM,3500K,111.98,100.94,90.90,160.78,145.74
CDX-55W-35K-WH,845060053692,55W,7250LM,3500K,111.98,100.94,90.90,160.78,145.74
CDX-55W-40K-BR,845060053678,55W,7250LM,4000K,111.98,100.94,90.90,160.78,145.74
CDX-55W-40K-WH,845060053708,55W,7250LM,4000K,111.98,100.94,90.90,160.78,145.74
CDX-55W-50K-BR,845060053685,55W,7250LM,5000K,111.98,100.94,90.90,160.78,145.74
CDX-55W-50K-WH,845060053715,55W,7250LM,5000K,111.98,100.94,90.90,160.78,145.74
CDL2-25CW,845060034042,25W,2880LM,5000K,50.98,50.98,50.98,80.78,70.74
CDL2-60NW,845060003284,60W,7100LM,4000K,96.98,96.98,96.98,154.78,134.74
CDL2-60WW,845060004427,60W,7100LM,3000K,96.98,96.98,96.98,154.78,134.74
CDL2-45CW-M,845060004649,45W,2880LM,5000K,91.98,91.98,91.98,146.78,127.74
CGL-40W-50K,845060026290,40W,5200LM,5000K,67.98,58.94,53.90,93.78,81.74
CGL-40W-40K,845060026306,40W,5200LM,4000K,67.98,58.94,53.90,93.78,81.74
CGL-55W-50K,845060026313,55W,7100LM,5000K,79.98,69.94,63.90,111.78,97.74
CGL-55W-40K,845060026320,55W,7100LM,4000K,79.98,69.94,63.90,111.78,97.74
CGL-75W-50K,845060026337,75W,9700LM,5000K,90.98,82.94,74.90,131.78,115.74
CGL-75W-40K,845060026344,75W,9700LM,4000K,90.98,82.94,74.90,131.78,115.74
CGL-100W-50K,845060026351,100W,13000LM,5000K,123.98,111.94,100.90,177.78,155.74
CGL-100W-40K,845060026368,100W,13000LM,4000K,123.98,111.94,100.90,177.78,155.74
CGL-FL1,845060026375,N/A,N/A,N/A,14.96,12.78,11.66,20.78,17.74
CGL-FL2,845060026382,N/A,N/A,N/A,16.03,12.78,11.66,20.78,17.74
LR2-50NW-P,845060008395,50W,5050LM,4000K,91.98,79.94,72.90,126.78,112.74
LR2-80CW-P,845060035810,80W,9500LM,5000K,151.98,145.94,145.94,231.78,205.74
LR-ECO-20W-50K-P,845060015799,20W,2400LM,5000K,35.98,32.94,28.90,52.78,46.74
LR-ECO-20W-30K-P,845060015782,20W,2400LM,3000K,35.98,32.94,28.90,52.78,46.74
LR-ECO-ARM,845060015805,N/A,N/A,N/A,9.61,9.61,9.61,15.78,13.74
GL-12V-12W-30K-BR,845060059021,12W,960LM,3000K,53.98,48.94,43.90,77.78,70.74
GL-12V-12W-40K-BR,845060059038,12W,960LM,4000K,53.98,48.94,43.90,77.78,70.74
GL-12V-12W-50K-BR,845060059045,12W,960LM,5000K,53.98,48.94,43.90,77.78,70.74
GL-12V-24W-30K-BR,845060059052,24W,1920LM,3000K,69.98,63.94,56.90,101.78,91.74
GL-12V-24W-40K-BR,845060059069,24W,1920LM,4000K,69.98,63.94,56.90,101.78,91.74
GL-12V-24W-50K-BR,845060059076,24W,1920LM,5000K,69.98,63.94,56.90,101.78,91.74
GL-12W-30K-BR,845060059083,12W,960LM,3000K,51.98,45.94,41.90,72.78,66.74
GL-12W-40K-BR,845060059090,12W,960LM,4000K,51.98,45.94,41.90,72.78,66.74
GL-12W-50K-BR,845060059106,12W,960LM,5000K,51.98,45.94,41.90,72.78,66.74
GL-24W-30K-BR,845060059113,24W,1920LM,3000K,66.98,59.94,54.90,95.78,86.74
GL-24W-40K-BR,845060059120,24W,1920LM,4000K,66.98,59.94,54.90,95.78,86.74
GL-24W-50K-BR,845060059137,24W,1920LM,5000K,66.98,59.94,54.90,95.78,86.74
GL-MCTP-BK,845060059151,20W MAX.,1400LM MAX.,3000K~5700K,86.98,78.94,70.90,125.78,113.74
GL-MCTP-BR,845060059144,20W MAX.,1400LM MAX.,3000K~5700K,86.98,78.94,70.90,125.78,113.74
GL-MCTP-WH,845060059168,20W MAX.,1400LM MAX.,3000K~5700K,90.98,82.94,74.90,131.78,119.74
FLD2-15CW-KN-WH,845060008302,15W,1650LM,5000K,45.98,43.94,37.90,69.78,61.74
FLD2-15CW-KN-GRN,845060004397,15W,1650LM,5000K,45.98,43.94,37.90,69.78,61.74
FLD2-15WW-KN-GRN,845060004403,15W,1530LM,3000K,45.98,43.94,37.90,69.78,61.74
FLD2-50CW-KN,845060005004,50W,5200LM,5000K,112.98,101.94,92.90,161.78,143.74
