product_id,parent_sku
11044,RP-8041
11046,FL-WSD-CP
11047,RP-7588
11048,RP-7587
11049,RP-7586
11050,RP-7584
11055,FL-E2-RWP-
11061,FL-E2-RWP
11072,TPZ-F-VTC24-79
11074,CTL-LB100A-3WAY
11079,CTL-LWP30TUPDN-BZ
11095,HL-DTDU35LED41MV
11102,TPZ-F-BL
11104,JI-ZY-P4-40W
11106,TPZ-F-FL/70
11110,TPZ- F-FL/90
11111,TPZ-F-WP
11117,TPZ-F-CPS/40W
11122,TPZ-F-CPR
11135,GL-IHB-212
11156,TPZ-LA21/25W
11204,TPZ-LA19/6W
11205,TPZ-LA19/9W
11211,GL-LOC-D-12-120-830
11213,GL-OWS-9-120-830
11214,EX-DBAL-50W
11215,EX-WPG-40W
11216,EX-BLRD
11217,EX-DCAL-50W
11218,EX-FL-70W
11219,EX-PTL-200W
11220,EX-FLL-150W
11224,EX-EXL-4FT
11225,EX-BLSQ
11226,EX-CPS-28W-G
11227,EX-LHB-ECO-110W
11233,EX-LHB-ECO-160W
11234,EX-PTL-300W
11235,EX-FL-50W
11236,EX-FLL-200W
11237,EX-WPS-120W
11239,EX-PTL-150W
11240,EX-CPS-40W-G
11241,EX-CPS-70W-G
11242,EX-DBAL-80W
11244,EX-DCAL-80W
11245,EX-DDAL-200W
11246,EX-WPC-80W
11247,EX-WPG-60W
11249,EX-FL-100W
11251,EX-ST-1200W
11252,EX-DBAL-200W
11253,EX-WPS-35W
11254,TPZ-LPLT9D
11255,EX-EXL-8FT
11256,EX-LRK-4FT
11257,EX-FP22
11258,EX-FP14=
11259,EX-ST-500W
11260,EX-PTS-50W
11261,EX-PTS-100W
11262,EX-FL-30W
11263,EX-LRK-8FT
11264,EX-LHB-ECO-220W
11268,EX-ST-800W
11269,EX-LHB-ECO-320W
11270,EX-FL-15W
11271,EX-DDAL-150W
11272,EX-DCAL-200W
11292,PI-PT-LSFA-4F
11293,PI-PT-LSFA-8F
11294,PI-PT-WA1-4F7I-40W
11296,TPZ-LA19/12
11298,PI-PT-VT1-4F-45W
11299,PI-PT-T8-2FB-8W
11301,PI-PT-T8-4FB-12W
11311,TPZ-LBR40/13
11312,PI-PT-T8I-4F-30W
11313,TPZ-LBR40
11327,TPZ-LP20/7
11328,TPZ-LP30/10
11332,PI-PT-T8-4FB-22W
11333,PI-PT-T8I-8F-60W
11337,TPZ-LA19/12W
11340,PI-PT-DLSM-S-5I-10W-3CCT
11341,PI-PT-DLSM-R-5I-10W-3CCT
11346,PI-PT-DLSM-S-7I-15W-3CCT
11347,PI-PT-DLSM-R-7I-15W-3CCT
11348,PI-PT-DLSM-S-9I-18W-3CCT
11349,PI-PT-DLSM-R-9I-18W-3CCT
11357,LOD-12WT83FT
11359,LOD-T88FT-38W
11361,LOD-EXT82FD-10W
11369,LOD-2FTSL22WDF
11371,TPZ-SDL4/12
11372,LOD-RGAL-100W-50KD
11384,LOD-MTRT-2FT25WX2
11385,LOD-MTRT-4FT
11397,LOD-U2FT-15W
11400,LOD-GDHB
11402,LOD-DL4EB-10W
11405,LOD-G1 120V-40W_PAR56-DIM 15D/25D 25D
11408,BL-WLE-4FT-40L
11410,BL-BLED2N-AT-QN
11411,BL-BRK-4-BW
11412,BL-BRK-56-BW-9L
11413,BL-BRK-56-BW-15L
11416,BL-BRK-LED6ICN9.5W
11417,BL-BRK-LED6ICN-GR-11W
11418,GC-6.5MR16DIM
11419,BL-BRK-LED2ICN-GR-6.5W
11422,GC-2.5MR11
11423,GC-9BR30DIM
11424,GC-17T8U6
11425,GC-8.5PLV
11426,BL-LED-FSP-WH4
11427,BL-LED-FRP-WH6
11428,BL-UTDR-4-7L
11430,BL-DR-T525W
11431,GC-15.5PAR38
11433,BL-BOL-R-27L
11434,GC-6.5MR16
11435,BL-BOL-S-27L
11436,GC-11.5T5HO/2F
11437,BL-CYL-UPDN-2L
11438,BL-WPE-3L
11440,GC-13T8/4F/DIM
11441,BL-PDL-4L
11442,BL-WPA-3L
11444,BL-LED-FSP-WH6
11445,BL-UTDR-6-9L
11449,BL-PTFR-7L
11450,GC-10.5T5HO/2F
11451,BL-CPLED-3
11452,BL-WPT-6L
11453,GC-22T5HO
11454,GC-11PAR30
11455,GC-13.5PAR38DIM
11456,GC-12PAR38DIM
11457,BL-WPA-11L
11459,BL-CPLED-5
11460,BL-PTFR-10L
11461,BL-PDL-9L
11462,BL-WPA-8L
