product_id,parent_sku
8647,TF-UCPF232X1SGB15W
8649,TF-UCPF332X1SGB15W
8651,TF-RDI217X1LN15W
8653,TF-RDI317X1LN15W
8654,BL-LEDPNL2X2-32W
8655,TF-RDI232X1LN18W
8656,BL-BCBLED24-40W
8657,TF-RDI332X1LN18W
8658,BL-BWALED4FT-40
8659,TF-SES25RFSF117X1WHLN15W
8661,TF-SES25RFSF132X1WHLN18W
8662,GC-8PAR20DIM
8663,TF-SES25RFSF1328X1WHLN18W
8664,TF-PLIN2328X1WHLN18W
8665,ILP-CHB-190WLED-UNIV
8671,ILP-CHB-120WLED-UNIV
8672,TF-LVS62328X1
8673,TF-LVS6232X1
8675,TF-SES25FR132X1LN18W
8676,TF-SES25FR1328X118W
8678,TF-153A23212X1LN18W
8679,TF-153A217X1LN18W
8680,TF-153A317X1LN18W
8681,TF-153A417X1LN18W
8682,ILP-LANCE22-24L-U
8683,TF-153A232X1LN18W
8684,TF-153A332X1LN18W
8685,TF-153A432X1LN18W
8686,ILP-LANCE14-23L-U
8696,ILP-WPCM
8699,TF-SHUCPF23212X1LN18W
8700,TF-SHUCPF217X1LN18W
8701,TF-SHUCPF317X1LN18W
8702,TF-SHUCPF232X1LN18W
8703,TF-SHUCPF332X1LN18W
8704,ILP-WPCS
8705,TF-SHUDPF217X1LN15W
8707,TF-SHUDPF232X1LN18W
8709,ILP-WPMO-70WLED-UNIV
8710,TF-PUF23211X1LN18W
8711,TF-PUF41717X1LN15W
8713,TF-PUF43217X1LN18W
8718,ILP-CVL4
8721,ILP-CVL2
8722,TF-HBC632M23X1LN18W
8723,TF-HBC832M23X1LN18W
8725,TF-HBC1032M23X1LN18W
8726,ILP-CV4
8727,TF-HBG432M23X1LN18W
8728,TF-HBG632M23X1LN18W
8729,ILP-CV2
8730,TF-HBG832M23X1LN18W
8731,TF-HBG1032M23X1LN18W
8732,ILP-FWS8
8733,TF-HBG1232M23X1LN18W
8734,TF-H6L4328M23X1LN18W
8735,ILP-FWS
8736,TF-H6L432M23X1LN18W
8737,TF-H6L6328M23X1LN18W
8738,TF-H6L632M23X1LN18W
8739,ILP-SQ8
8740,TF-H2L132M23X1LN18W
8741,TF-H2L232M23X1LN18W
8742,ILP-SQ4
8743,TF-FHBL232X1LN18W
8744,TF-FHBL332X1LN18W
8745,TF-FHBL432X1LN18W
8746,ILP-SQ2
8747,TF-FHBL2328X1LN18W
8748,TF-FHBL3328X1LN18W
8749,ILP-WTZ8
8750,TF-207A217X1LN15W
8751,TF-207A232X1LN18W
8752,TF-207A332X1LN18W
8753,ILP-WTZ
8754,TF-207A432X1LN18W
8755,TF-209A232AX1LN18W
8756,TF-200A217X1LN15W
8758,TF-200A232X1LN18W
8760,TF-200A2328X1LN18W
8762,TF-200A432X1LN18W
8763,ILP-UFO
8764,TF-200A4328X1LN18W
8766,TF-201A117X1LN18W
8767,TF-201A132X1LN18W
8769,TF-159A117X1LN18W
8771,TF-159A132X1LN18W
8773,TF-159A1328X1LN18W
8775,TF-C217X1LI18W
8777,TF-C317X1LI18W
8779,TF-C232X1LI18W
8782,TF-C332X1LI18W
8784,TF-C2328X1LI18W
8786,TF-S117X1LI18W
8788,TF-S132X1LI18W
8790,TF-S1328X1LI18W
8792,TF-KDST8117X1LI18W
8794,TF-KDST8132X1LI18W
8796,TF-LLS132X1LI18W
8798,TF-SM117X1LI15W
8800,TF-SM217X1LI18W
8802,TF-SM132X1LI18W
8804,TF-SM232X1LI18W
8808,TF-IND332W30X1LI18W
8810,TF-IND2328W30X1LI18W
8812,TF-IND3328W30X1LI18W
8814,TF-ITB132X1LI18W
8817,TF-ITB232X1LI18W
8820,TF-ITB1328X1LI18W
8822,TF-ITB2328X1LI18W
8825,TF-CITCL232X1LN18W
8828,TF-CITLB2328X1LN18W
8830,TF-CITOL332 SBA3X1LN18W
8833,TF-CITOL332 SBA3X1LN
8835,TF-555MW232X1LN18W
8838,TF-44WSF117X1WHLN15W
8840,TF-44WSF217X1WHLN15W
8843,TF-44WSF132X1WHLN18W
8845,TF-44WSF232X1WHLN18W
8847,TF-44WSF1328X1WHLN18W
8848,TF-44WSF2328X1WHLN18W
8850,TF-66WMW117X1WHLN15W
8852,TF-66WMW217X1WHLN15W
8854,TF-66WMW132X1WHLN18W
8856,TF-66WMW232X1WHLN18W
8857,TF-66WMW1328X1WHLN18W
8861,TF-215A1U1D17DFX1LN15W
8862,TF-215A1U1D32DFX1LN18W
8864,TF-215A1U2D17DFX1LN15W
8866,TF-215A1U2D32DFX1LN18W
8868,TF-215A2U1D17DFX1LN15W
8870,TF-215A2U1D32DFX1LN18W
8871,TF-215A2U2D17DFX1LN15W
8873,TF-215A2U2D32DFX1LN18W
8876,TF-WPU217X1LN15W
8878,TF-WPU232X1LN18W
8880,TF-SKB132B4L11X1LI18W
8882,TF-SKB232B4L11X1LI18W
8885,TF-SKB1328B4L11X1LI18W
8887,TF-SKB2328B4L11X1LI18W
8888,TF-SKB132B5L11X1LI18W
8890,TF-SKB232B5L11X1LI18W
8892,TF-SKB1328B5L11X1LI18W
8894,TF-SKB2328B5L11X1LI18W
8896,TF-SKR132W10L11X1LI18W
8898,TF-SKR232W10L11X1LI18W
8899,TF-SKR1328W10L11X1LI18W
8901,TF-SKR2328W10L11X1LI18W
8903,TF-SKR132M20L11X1LI18W
8905,TF-SKR232M20L11X1LI18W
8906,TF-SKR1328M20L11X1LI18W
8907,ILP-WPLO
8908,TF-SKR2328M20L11X1LI18W
8913,TF-F1302L23W1900LD120
8916,TF-F1302L22W1824LMV
8918,TF-CEOL13W1000LD120WH
8920,TF-CEOL11W912LMVWH
8922,TF-EOINCLPLED
8928,TF-EOSINCLPLED
8930,TF-CEOSL13W1000LD120
8932,TF-CEOSL11W912LMV
8934,TF-ERLINCLPLED
8936,TF-CERL23W1900LD120
8937,TF-CERL22W1824LMV
8938,ILP-H3-10T8
8939,TF-ERGINCLPLED
8940,ILP-H3-8T8
8941,TF-CERGL23W1900LD120
8942,ILP-H3-6T8
8943,TF-CERGL22W1824LMV
8944,ILP-H3-4T8
8945,ILP-H3-3T8
8946,TF-ERCINCLPLED
8948,TF-CERCL23W1900LD120
8950,TF-CERCL22W1824LMV
8957,TF-BRPINCLPLED
8958,TF-BRPL13W1000LD120
8959,ILP-CL4-2T5
8960,TF-BRWINCLPLED
8961,ILP-CL4-1T5
8962,TF-BRWL13W1000LD120
8964,ILP-CL2-2T5
8965,TF-TOPL13W1000LD120BK
8966,ILP-CL2-1T5
8969,ILP-C4-2T5
8971,ILP-C4-1T5
8973,TF-LTOPINCLPLED
8974,ILP-C2-2T5
8975,TF-LTOPL13W1000LD120
8976,ILP-C2-1T5
8977,TF-LTOLINCLPLED
8978,ILP-CL4-2T8-
8979,TF-LTOLL13W1000LD120
8982,ILP-WPLP
8983,ILP-CL2-2T8-
8986,ILP-BIF24
8988,ILP-AL-56WU
8990,ILP-C4--2T8
8994,ILP-C4-1T8
8997,ILP-C2--2T8
8999,HL-MLCWP
9004,TF-22C2M20BL11X1LI15W
9005,ILP-CL4-2T8
9006,TF-22C2W10BL11X1LI15W
9007,TF-22C3M20BL11X1LI15W
9008,TF-22C3W10BL11X1LI15W
9009,TF-24C2M20BL11X1LI18W
9010,TF-24C2W10BL11X1LI18W
9011,TF-24C3M20BL11X1LI18W
