Product_sku,Light_Source,Fixture_Size,"Listings and Ratings","Ballast and Voltage","Color Rendering Index (CRI)","Driver Type","Lumen Output","L70 Expected Life (hours)","L90 Expected Life (hours)","Color Temperature","Total Input Watt","Total Input Watts","Pack Size","Luminaire Efficacy Rating (LER)","Color Temperature (CCT)","Max Ambient Temp","Lamp Count",Lens,Socket,Application,"Insulation Rating",__alsobought,"Rated Life","Max Ambient"
T1-SLED-848,LED,Other,,,80+,"Dimmable 120-277V","6,520lm","50,000hrs",,5000K,,48,,,,,,,,,,,,
T1-SLED-436,LED,Other,,,80+,"Dimmable 120-277V","4,620lm","50,000hrs",,5000K,,36,,,,,,,,,,,,
LT-MMT‐S301,LED,Other,,,90,"24V DC","60 lm",,,4000K,,1,,"60 lm/W",,,,,,,,,,
LT-MMT‐S302,LED,Other,,,90,"24V DC",120lm,,,4000K,,1,,"60 lm/W",,,,,,,,,,
LT-MMT‐S303,LED,Other,,,90,"24V DC",120lm,,,4000K,,2,,"60 lm/W",,,,,,,,,,
LT-MMT‐S304,LED,Other,,,90,"24V DC",120lm,,,4000K,,2,,60lm/W,,,,,,,,,,
LT-MMT‐S305,LED,Other,,,90,"24V DC",60lm,,,4000K,,1,,60lm/W,,,,,,,,,,
LT-MMT‐S306,LED,Other,,,90,"24V DC","120 lm",,,4000K,,2,,60lm/W,,,,,,,,,,
LT-MMT‐S307,LED,Other,,,90,"24V DC","180 lm",,,4000K,,3,,60lm/W,,,,,,,,,,
LT-MMT‐S308,LED,Other,,,90,"24V DC","280 lm",,,4000K,,4,,70lm/W,,,,,,,,,,
BL-LEDRA-14,LED,Other,,,>80,120VAC,"1,600lm",,,4000K,,20,,87lm/w,,,,,,,,,,
T1-IHBLED4-B/481,LED,Other,,,"> 80",120V-277V,"62,674 lumens","> 200,000 hrs",,,,481,,130,5000K,,,,,,,,,
T1-IHBLED4-B/321,LED,Other,,,>80,120V-277V,"38,428.8","> 200,000 hrs",,5000K,321,,,130,,,,,,,,,,
T1-IHBLED4-B/281,LED,Other,,,>80,120V-277V,"34,419lm","> 200,000 hrs",,5000K,281,,,130,,,,,,,,,,
SP-FL2106D-B,LED,Other,,,80,120V-277V,"4,590lm",,,4000K,,48,,,,,,,,,,,,
SP-FL2105D-B,LED,Other,,,80,120V-277V,"4,025lm",,,4000K,36,,,,,,,,,,,,,
GL-DCF-14-17-120D-930,LED,Other,,,90,"120V, Triac Dimming","1,700lm","50,000hrs",,3000K,,17,,,,,,,,,,,,
TPZ-SMD-5/RND/17,LED,"7 Round",,,90,"120V, 60Hz","1,250lm","50,000",,5000K,17,,,"Up to 74 LPW",,,,,,,,,,
SP-DC618D,LED,Other,,,80,120-277V,"2,900lm",,,4000K,,35,,,,,,,,,,,,
SP-DC614D,LED,Other,,,80,120-277V,"2,100lm",,,4000K,,24,,,,,,,,,,,,
SP-C034-65,LED,Other,,,80,120-277V,"2,450lm",,,5000K,,34,,,,,,,,,,,,
SP-646STD-HO,LED,Other,,,"> 80",120-277v,"2,190lm",,,5000K,,20,,,,,,,,,,,,
SP-634STD-HO,LED,Other,,,"> 80",120-277v,"1,540l,",,,5000K,,15,,,,,,,,,,,,
SP-624STD-36W,"T8 LED",Other,,,,120-277v,"4,000lm",,,5000K,,36,,,,,,,,,,,,
SP-FL2106D,LED,Other,,,80,120-277v,"4,590lm",,,4000K,,46,,,,,,,,,,,,
SP-FL2105D,LED,Other,,,80,120-277v,"4,025lm",,,4000K,36,,,,,,,,,,,,,
ML-ABL3-96LED52DDV07BSF,LED,Other,,,80,"120-277V Multivolt 0-10V Dimmable","5,200-9,000","> 50,000 hrs",,5000K,,90,,,,,,,,,,,,
ML-ABL3-72LED39DDV07BSF,LED,Other,,,80,"120-277V Multivolt 0-10V Dimmable","3,900-6,800","> 50,000 hrs",,5000K,,68,,,,,,,,,,,,
ML-ABL3-48LED26DDV07BSF,LED,Other,,,80,"120-277V Multivolt 0-10V Dimmable","2,600-4,500","> 50,000 hrs",,5000K,45,,,,,,,,,,,,,
SP-3-0615D,LED,Other,,,80,120V,"1,260lm",,,4000K,,15,,,,,,,,,,,,
TF-SBR-24X48,LED,Other,,,>80,"0-10 Volt dimmable 120-277V","12,000lm","50,000",,5000K,,95,,,,,,,,,,,,
TF-SBR-24X24,LED,Other,,,>80,"0-10 Volt dimmable 120-277V","50,000",,,5000K,,40,,,,,,,,,,,,
TF-MAX3FR-24L,LED,Other,,,>80,120-277V,"10,000lm-20,000lm","50,000",,5000K,,164,,,,,,,,,,,,
