Product_sku,Light_Source,Fixture_Size,"Listings and Ratings","Ballast and Voltage","Color Rendering Index (CRI)","Driver Type","Lumen Output","L70 Expected Life (hours)","L90 Expected Life (hours)","Color Temperature","Total Input Watt","Total Input Watts","Pack Size","Luminaire Efficacy Rating (LER)","Color Temperature (CCT)","Max Ambient Temp","Lamp Count",Lens,Socket,Application,"Insulation Rating",__alsobought,"Rated Life","Max Ambient"
E-F17T8,"T8 Fluorescent","2' Linear",,,83,,1400,,,5000K,,17,,,,,,,,,,,,
TF-LINPF2328MV,"T8 Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINPF232MV,"T8 Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINPF2548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINPF3548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINPF354MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINLV2548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINLV254MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINLV3548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINLV354MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW2328MV,"T8 Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW232MV,"T8 Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW2548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW254MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW3548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW354MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-PLIN2328MV,"T8 Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-PLIN232MV,"T8 Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-PLIN2548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-PLIN254MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-PLIN3548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,"T5HO Fluorescent","4' Linear","Class P,HPF,IP67 (Certified-immersion at 1m for 30 min),Non PCB,NSF (Splash Zone Certified),Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-CV8001,"T8 Fluorescent","4' Linear","Class P,HPF,Thermally protected,UL Listed,Wet Area","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-CV8002,"T8 Fluorescent","4' Linear","Class P,HPF,Thermally protected,UL Listed,Wet Area","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-ECLMW217S,"T8 Fluorescent","2' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Residential 120V Ballast",,,,,,,,,,,,,,,,,,,,
TF-ECLMW232S,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Residential 120V Ballast",,,,,,,,,,,,,,,,,,,,
TF-ECLMW417S,"T8 Fluorescent","2' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Residential 120V Ballast",,,,,,,,,,,,,,,,,,,,
TF-ECLMW432S,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Residential 120V Ballast",,,,,,,,,,,,,,,,,,,,
TF-ECLA217S,"T8 Fluorescent","2' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Residential 120V Ballast",,,,,,,,,,,,,,,,,,,,
TF-ECLA232S,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Residential 120V Ballast",,,,,,,,,,,,,,,,,,,,
TF-ECLRE417S,"T8 Fluorescent","2' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Residential 120V Ballast",,,,,,,,,,,,,,,,,,,,
TF-ECLRE432S,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Residential 120V Ballast",,,,,,,,,,,,,,,,,,,,
TF-WLINLV2328MV,"T8 Fluorescent","8' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-WLINLV232MV,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-BKRA117MV,"T8 Fluorescent","2' Linear","UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-WLINLV2548MV,"T5HO Fluorescent","8' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-WLINLV254MV,"T5HO Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-WLINMW2328MV,"T8 Fluorescent","8' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-WLINMW232MV,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-WLINMW2548MV,"T5HO Fluorescent","8' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-WLINMW254MV,"T5HO Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-WLINPF2328MV,"T8 Fluorescent","8' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-WLINPF232MV,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-WLINPF254MV,"T5HO Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-VAN,"T8 Fluorescent","4' Linear","UL Listed","Electronic, 120V",,,,,,,,,,,,,,,,,,,,
TF-BKRA125MV,"T8 Fluorescent","3' Linear","UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-BKRA132MV,"T8 Fluorescent","4' Linear","UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-24C2,"T8 Fluorescent",2x4,,,,,,,,,,,,,,,,,,,,,,
BL-RELXTE1RCAEM-SDT,LED,,"UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
BL-LEDCXTEU,LED,,"UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
AT-CPPG,LED,,,,NO,,"4000-8500 lumens",,,,,,,,,,,,,,,,,
NL-TP260,LED,Other,,,>80,100-277V,"2,400-4,200lm","100,000hrs",,5000K,,20,,130lm/w,,,,,,,,,,
ILP-SS8-12L-U,LED,"8' Linear",,,NO,120-277V,"11,466lm","100,000hrs",,5000K,,90W,,132lm/w,,,,,,,,,,
TL-TECBTA-24,LED,2X4,,,Ra>80,AC100-277V,,,,5000K,,40,,125lm/w,,,,,,,,,,
TL-TECBTA-22,LED,2X2,,,Ra>80,AC100-277V,,,,5000K,,40,,125lm/w,,,,,,,,,,
NL-NBQL,LED,Other,,,>70,"100-277V, 347-480V","11,250-45,000lm","100,000hrs",,5000K,,300,,150lm/w,,,,,,,,,,
BL-DBEL,LED,,"UL Listed,Wet Area","Electronic, 120/277V",,,,,,,,,,,,,1,,,,,,,
BL-DXR,Incandescent,,"UL Listed","Electronic, 120/277V",,,,,,,,,,,,,,,,,,,,
BL-LEDR5HO,LED,,"UL Listed","Electronic, 120/277V",,,,,,,,,,,,,,,,,,,,
PI-PT-HBL4,LED,Other,,,82,120V-277V,"13,906-40,470","50,000",,5000K,,300,,138L/W,,,,,,,,,,
BL-PAR-1,Incandescent,,"UL Listed","Electronic, 120/277V",,,,,,,,,,,,,,,,,,,,
ILP-AL-375WU,LED,Other,,,"> 70",120-277V,"50,500","100,000 hrs",,5000K,,320,,,,,,,,,,,,
ILP-AL-225WU,LED,Other,,,"> 70",120-277V,"29,500","100,000 hrs",,5000K,,225,,,,,,,,,,,,
ILP-AL-90WU,LED,Other,,,"> 70",120-277V,"12,500","> 100,000 hrs",,5000K,,90,,,,,,,,,,,,
ILP-BLFT-15WLED-UNIV-4000K,LED,Other,,,"> 80",120-277V,"1,402 lm","50,000 hrs",,4000K,,15,,"83 lm/W",,,,,,,,,,
EL-EB30-11W,LED,,,,,,850,,,4000K,,,,,,,,,,,,,,
EL-EA21-22W,LED,,,,,,"2,550",,,5000K,,,,,,,,,,,,,,
EL-ET5-2,LED,,,,83,,"3,200",,,5000K,,,,,,,,,,,,,,
DG-HLV4AOQ,LED,Other,,,NO,NO,"13,500 - 20,000",NO,,,,112-136W,,NO,NO,NO,,,,,,,,
DG-DTRBQF1X15UHA,LED,Other,,,-,"120-277V, 50/60Hz or 347V, 50/60Hz","1,250",-,,,,15W,,-,"3000K, 4000K, 5000K",-,,,,,,,,
DG-HLV2AOQ,LED,Other,,,-,"120-277V, 50/60Hz or 347-480V, 50/60Hz","5,700 - 10,300",-,,,,47-66W,,-,"4000K, 5000K",-,,,,,,,,
TF-131A14L,LED,1X4,,,,0-10V,"4,100 & 5,400",,,5000K,,35,,,,,,,,,,,,
TF-131A22L,LED,2X2,,,,0-10V,"3,200-3,900",,,5000K,,35W,,,,,,,,,,,,
BL-RH-WP,Incandescent,,,,,,,,,,,,,,,,,,,,,,,
TF-128A24L,LED,2X4,,,,0-10V,"3450, 4800, 5400 Delivered Lumens",,,4000K,,57,,,,,,,,,,,,
TF-128A14L,LED,1X4,,,,"0-10V Driver","4,300-5,800lm",,,4000K,,48,,,,,,,,,,,,
TF-153A14L,LED,1X4,,,,0-10V,"4300 or 5800",,,5000K,,"35W or 48W",,,,,,,,,,,,
TF-153A22L,LED,2X2,,,,0-10V,2400-3200,,,5000K,,35,,,,,,,,,,,,
TF-153A24L,LED,2X4,,,,0-10V,3650-6050,,,5000K,,57,,,,,,,,,,,,
EN-880111,,,,,,,,,,,,,10,,,,,,,,,,,
TF-200A224LS28W3300LDMV,LED,"2' Linear",,,,0-10V,3300,,,5000K,,28,,,,,,,,,,,,
EN-8661,,,,,,,,,,,,,10,,,,,,,,,,,
EN-84150,,,,,,,,,,,,,10,,,,,,,,,,,
DG-HLF25QF1X132U,LED,Other,,,-,"120-277V, 50/60Hz","15,500",-,,,,132W,,-,"4000K, 5000K",-,,,,,,,,
TF-200A424LS48W6000LDMV,LED,"2' Linear",,,,0-10V,"4800 lm",,,5000K,,48,,,,,,,,,,,,
TF-200A248L,LED,"4' Linear",,,,0-10V,"4800 lm",,,5000K,,48,,,,,,,,,,,,
TF-200A296L,LED,"8' Linear",,,,0-10V,"11200 or 13000",,,5000K,,97,,,,,,,,,,,,
TF-201A48L,LED,"4' Linear",,,,0-10V,2400-7200,,,5000K,,72,,,,,,,,,,,,
TF-201A96L,LED,"8' Linear",,,,0-10V,5600-11400,,,5000K,,97,,,,,,,,,,,,
TF-209A48L,LED,"4' Linear",,,,"0-10V Dimming","3450 or 5100",,,5000K,,35,,,,,,,,,,,,
TF-UCLL22L,LED,2X2,,,,0-10V,"3,150-4,300",,,5000K,,42,,,,,,,,,,,,
TF-UCLL24L,LED,2X4,,,,0-10V,"4,350-6,800",,,5000K,,57,,,,,,,,,,,,
TF-UCLL14L,LED,1X4,,,,0-10V,"4,000 or 6,000",,,5000K,,30,,,,,,,,,,,,
TF-VLT22LJ36W3700LDMV,LED,2X2,,,,0-10V,"3700 lm",,,5000K,,36,,,,,,,,,,,,
TF-VLT24L,LED,2X4,,,,0-10V,"5,500 or 6,000",,,5000K,,48,,,,,,,,,,,,
EN-83200,,,,,,,,,,,,,10,,,,,,,,,,,
TF-LXT22LZ36W4200LDMV,LED,2X2,,,,"0-10V Dimmable",4200,,,5000K,,36,,,,,,,,,,,,
EN-83150L,,,,,,,,,,,,,10,,,,,,,,,,,
EN-83150,,,,,,,,,,,,,10,,,,,,,,,,,
TF-LXT24LZ50W6450LDMV,LED,2X4,,,,0-10V,"6450 lm",,,4000K,,50,,,,,,,,,,,,
EN-82150L,,,,,,,,,,,,,10,,,,,,,,,,,
TF-CRVRL24L,LED,2X4,,,,0-10V,"3450, 4800, or 5400",,,5000K,,57,,,,,,,,,,,,
TF-CRVRL22L,LED,2X2,,,,0-10V,"3,500 or 4,200",,,5000K,,28,,,,,,,,,,,,
TF-EWW24L,LED,Other,,,>80,0-10V,2400,"60,000 hrs",,5000K,,24,,,,,,,,,,,,
TF-EWW48L,LED,"4' Linear",,,>80,0-10V,"3500 or 4000","60,000 hrs",,5000K,,48,,,,,,,,,,,,
TF-SKDFR48L,LED,"4' Linear",,,,0-10V,"2700 or 3400","50,000+ hrs",,5000K,,28,,,,,,,,,,,,
TF-SKDFR96L,LED,"8' Linear",,,,0-10V,"5400 or 7000","50,000+ hrs",,5000K,,57,,,,,,,,,,,,
TF-SKDWBFR24LJ35W3400LDMV,LED,"2' Linear",,,,0-10V,"3400 lm","50,000+ hrs",,5000K,,35,,,,,,,,,,,,
TF-SKDWBFR48L,LED,"4' Linear",,,,0-10V,"4000 or 7000","50,000+ hrs",,5000K,,40,,,,,,,,,,,,
TF-SKDWBFR96L,LED,"8' Linear",,,,0-10V,"8000 or 10800","50,000+ hrs",,5000K,,80,,,,,,,,,,,,
TF-LVS648L,LED,"4' Linear",,,,0-10V,3800-6000,,,5000K,,72,,,,,,,,,,,,
TF-LVS696L,LED,"8' Linear",,,,0-10V,4000-12000,,,5000K,,144,,,,,,,,,,,,
TF-ECLMW424LS48W4000LDMV,LED,"2' Linear",,,,0-10V,"4000 lm",,,5000K,,48,,,,,,,,,,,,
TF-ECLMW224L,LED,"2' Linear",,,,0-10V,"2,000-2,900lm",,,5000K,,36,,,,,,,,,,,,
TF-ECLMW448LS96W8000LDMV,LED,"4' Linear",,,,0-10V,"8000 lm",,,5000K,,96,,,,,,,,,,,,
TF-ECLMW248L,LED,"4' Linear",,,,0-10V,"2,900-5,800lm",,,5000K,,57,,,,,,,,,,,,
DG-PF80Q,LED,Other,,,,"120-277V, 50/60Hz or 347-480V, 50/60Hz","7,700",,,5000K,,100,,,,,,,,,,,,
DG-PF70Q,LED,Other,,,,"120-277V, 50/60Hz or 347-480V, 50/60Hz","2,620-8,400",,,5000K,,84,,,,,,,,,,,,
TF-PUF22L,LED,2X2,,,,0-10V,"1800 or 2900",,,5000K,,24,,,,,,,,,,,,
TF-CLMMW248L,LED,"4' Linear",,,,0-10V,3450-5400,,,5000K,,57,,,,,,,,,,,,
TF-CLMMW448L,LED,"4' Linear",,,,0-10V,"7200 or 9600",,,5000K,,72,,,,,,,,,,,,
DG-AFR31Q,LED,Other,,,,"120-277V, 50/60Hz or 347-480V, 50/60Hz","4,700-19,500",,,5000K,,140,,,,,,,,,,,,
TF-C24LFR,LED,"2' Linear",,,,0-10V,"3000 or 3400",,,4000K,,"24W, 30W",,,,,,,,,,,,
TF-C48LFR,LED,"4' Linear",,,,0-10V,4500-7100,,,4000K,,57,,,,,,,,,,,,
TF-C96LFR,LED,"8' Linear",,,,0-10V,9100-14200,,,4000K,,118,,,,,,,,,,,,
TF-KDS48L,LED,"4' Linear",,,,0-10V,2800-4000,,,5000K,,35,,,,,,,,,,,,
TF-KDS96L,LED,"8' Linear",,,,0-10V,5650-8000,"50,000+ hrs",,5000K,,72,,,,,,,,,,,,
TF-IND48L,LED,"4' Linear",,,,0-10V,"4050, 5650 & 6400 Delivered Lumens","50,000+ hrs",,5000K,,57,,,,,,,,,,,,
TF-IND96L,LED,"8' Linear",,,,0-10V,7800-12400,"50,000+ hrs",,5000K,,114,,,,,,,,,,,,
DG-FTRBQ,LED,Other,,,,"120-277V, 50/60Hz or 347V, 50/60Hz","470-1,870",,,5000K,,22,,,,,,,,,,,,
DG-AFS30Q,LED,Other,,,,"120-277V, 50/60Hz or 347-480V, 50/60Hz","100-21,000",,,5000K,,140,,,,,,,,,,,,
DG-AFS32Q,LED,Other,,,,"120-277V, 50/60Hz or 347-480V, 50/60Hz","4,600-18,000",,,5000K,,140,,,,,,,,,,,,
TF-CITE48L,LED,"4' Linear",,,,0-10V,4500-7000,,,5000K,,72,,,,,,,,,,,,
TF-CITE96L,LED,"8' Linear",,,,0-10V,"9,200-11,200",,,5000K,,97,,,,,,,,,,,,
TF-UDLL22L,LED,2X2,,,,0-10V,"2700 & 3200 lm",,,5000K,,28,,,,,,,,,,,,
TF-UDLL24L,LED,2X4,,,,0-10V,"6000, 7100 lm",,,5000K,,"48W, 57W",,,,,,,,,,,,
TF-215A24L,LED,"2' Linear",,,,"0-10V Dimming",2400-4800,,,5000K,,48,,,,,,,,,,,,
TF-215A48L,LED,"4' Linear",,,,"0-10V Dimming",4800-9600,,,5000K,,97,,,,,,,,,,,,
DG-AFR30Q,LED,Other,,,,"120-277V, 50/60Hz or 347-480V, 50/60Hz","5,100-21,000",,,5000K,,140,,,,,,,,,,,,
DG-AFS31Q,LED,Other,,,,"120-277V, 50/60Hz or 347-480V, 50/60Hz","4,600-18,000",,,5000K,,140,,,,,,,,,,,,
TF-44RSF48L,LED,"4' Linear",,,,"0-10V Dimming","2400 or 4800",,,5000K,,24,,,,,,,,,,,,
TF-44RSF96L,LED,"8' Linear",,,,"0-10V Dimming","4800 or 9600",,,5000K,,48,,,,,,,,,,,,
TF-44RFSF96L,LED,"8' Linear",,,,0-10V,4800-10800,,,5000K,,114,,,,,,,,,,,,
TF-44WSF48L,LED,"4' Linear",,,>80,120-277V,,"50,000",,5000K,,,,,,,,,,,,,,
TF-44WSF96L,LED,"4' Linear",,,,0-10V,"4800 or 9600",,,5000K,,48,,,,,,,,,,,,
TF-66RSF48LR48W4800LDMV,LED,"4' Linear",,,,"0-10V Dimming","4800 lm",,,5000K,,48,,,,,,,,,,,,
TF-66RSF96L,LED,"8' Linear",,,,"0-10V Dimming","4800 or 9600",,,5000K,,48,,,,,,,,,,,,
TF-AO,LED,Other,,,,"120V, Dimmable","1000 Delivered Lumens","50,000+ hrs",,4000K,,13,,,,,,,,,,,,
TF-BKAMW48L,LED,"4' Linear",,,,0-10V,"4500, 5100 Delivered Lumens",,,4000K,,57,,,,,,,,,,,,
TF-BKRMW24L,LED,"2' Linear",,,,0-10V,"2200 Delivered Lumens",,,4000K,,12,,,,,,,,,,,,
TF-BKRMW48L,LED,"4' Linear",,,,0-10V,"2200 Delivered Lumens",,,4000K,,24,,,,,,,,,,,,
TF-BKSMW48L,LED,"4' Linear",,,,0-10V,"2200 Delivered Lumens",,,4000K,,24,,,,,,,,,,,,
TF-BR,LED,Other,,,,"120V, Dimmable","1000 Lumens",,,4000K,,13,,,,,,,,,,,,
TF-CIRDC11L,LED,"11 Round",,,,,"900 & 1350",,,3000K,,13,,,,,,,,,,,,
TF-CIRDC14L,LED,Other,,,,,"1350 or 1850",,,3000K,,14,,,,,,,,,,,,
TF-FHBL48L,LED,"4' Linear",,,,0-10V,4050-8200,,,5000K,,72,,,,,,,,,,,,
TF-FHBL96L,LED,"8' Linear",,,,0-10V,"10800 or 12000",,,5000K,,97,,,,,,,,,,,,
TF-HBC22L,LED,"2' Linear",,,,0-10V,"9000, 16000, 20000 Delivered Lumens","50,000+ hrs",,5000K,,144,,,,,,,,,,,,
DG-SBQ,LED,Other,,,-,"120-277V, 50/60Hz or 347V, 50/60Hz (15w Only)","770-1,870",-,,,,10-22W,,-,"3000K, 4000K, 5000K",-,,,,,,,,
TF-HOTCE11L,LED,"11 Round",,,,120V,"900 or 1350","50,000 hrs",,4000K,,13,,,,,,,,,,,,
TF-HOTCE14L,LED,Other,,,,120V,"1350 or 1850","50,000 hrs",,4000K,,14,,,,,,,,,,,,
TF-LINMW48L,LED,"4' Linear",,,,0-10V,"3600 or 5400",,,5000K,,,,,,,,,,,,,,
TF-LINMW96L,LED,"8' Linear",,,,0-10V,"7200 or 10800",,,5000K,,48,,,,,,,,,,,,
TF-LLLRA48L35W,LED,"4' Linear",,,,0-10V,"2,246lm",,,4000K,,35,,,,,,,,,,3452,,
TF-LLLSA48L23W1500L,LED,"4' Linear",,,,,"1,500lm",,,4000K,,23,,,,,,,,,,,,
TF-LLLSB47L42W,LED,"4' Linear",,,,0-10V,"2,488lm",,,4000K,,42,,,,,,,,,,3452,,
TF-APWINCLPLED,"High Pressure Sodium",Other,,,,"120V Dimmable",,"50,000 hrs",,4000K,,9.5,,,,,,,,,,,,
TF-CITE24LFR,LED,"2' Linear",,,,0-10V,"2700 or 3300",,,5000K,,24,,,,,,,,,,,,
TF-CITE48LFR,LED,"4' Linear",,,,0-10V,"5600 or 6800",,,5000K,,48,,,,,,,,,,,,
TF-CITE96LFR,LED,"8' Linear",,,,0-10V,"11200 or 13600",,,5000K,,97,,"82 Im/W",,,,,,,,,,
TF-EOS,LED,Other,,,82+,120V,900-1900,"50,000+ hrs",,4000K,,22,,,,,,,,,,,,
TF-LLLSC48L58W,LED,"4' Linear",,,,0-10V,"3,456lm",,,4000K,,58,,,,,,,,,,,,
TF-PLIN48L,LED,"4' Linear",,,,0-10V,"5900, 6400",,,4000K,,48,,,,,,,,,,,,
TF-PLIN96L,LED,"8' Linear",,,,0-10V,"11300, 12800",,,4000K,,97,,,,,,,,,,,,
TF-VAN24L,LED,"2' Linear",,,,0-10V,"2250 or 2550",,,5000K,,24,,,,,,,,,,,,
TF-VAN48L,LED,"4' Linear",,,,0-10V,2850-4500,,,5000K,,57,,,,,,,,,,,,
TF-SS213A24L,LED,"2' Linear",,,,"Step Dimming","2050 or 3000",,,5000K,,15,,,,,,,,,,,,
TF-SS213A48L,LED,"4' Linear",,,,"Step Dimming","4800 or 5700",,,5000K,,48,,,,,,,,,,,,
DG-B9Q,LED,Other,,,-,"120-277V, 50/60Hz","2,420",-,,,,18W,,-,"3000K, 4000K, 5000K",-,,,,,,,,
DG-PF80QC1X176,LED,Other,,,-,"120-277V, 50/60Hz or 347-480V, 50/60Hz","19,500",-,,,,176W,,-,"3000K, 4000K, 5000K",-,,,,,,,,
JI-ZY-T8-15W1200,"T8 LED","4' Linear",,,,,1900,,,5000K,,,30,,,,,,,,,,,
JI-ZY-T8-18W1200,"T8 LED","4' Linear",,,,,2200,,,5000K,,,30,,,,,,,,,,,
LT-LEDH-3110ICA,LED,"3.5 Round",,,80,,555lm,"50,000",,4000K,,9,,"61.7 lm/W",,,,,,,,,,
LT-LEDH-3110,LED,"3.5 Round",,,80,,555lm,"50,000",,4000K,,9,,"61.7 lm/W",,,,,,,,,,
LT-LEDH-3110ICAR,LED,Other,,,80,,555lm,"50,000",,4000K,,9,,"61.7 lm/W",,,,,,,,,,
LT-LEDH-3110R,LED,Other,,,80,,"555 lm","50,000 hrs",,4000K,,9,,"61.7 lm/W",,,,,,,,,,
LT-LED-AFC4,LED,Other,,,80,,"560 & 650 lm","50,000",,4000K,,10,,"56 & 54 lm/W",,,,,,,,,,
LT-LED-AFC6,LED,"6 Round",,,"80, 90",,"885 lm","50,000hrs",,4000K,,12.5,,"70.8 lm/W",,,,,,,,,,
DG-PB2D,LED,Other,,,-,"120-277V, 50/60Hz or 347-480V, 50/60Hz","5,500 - 6,700",-,,,,37-84W,,-,4000K,-,,,,,,,,
DG-PB2S,LED,Other,,,-,"120-277V, 50/60Hz or 347-480V, 50/60Hz","5,500 - 6,700",-,,,,24-84W,,-,4000K,-,,,,,,,,
LT-LEDH-NCR4ICA,LED,Other,,,"80, 90",,625lm,"50,000hrs",,4000K,,10,,"62.5 lm/W",,,,,,,,,,
DG-AS301Q,LED,Other,,,-,"120-277V, 50/60Hz or 347-480V, 50/60Hz","2,990 - 9,700",-,,,,37-84W,,-,"3000K, 4000K, 5000K",-,,,,,,,,
LT-LED-AFR4,LED,Other,,,"80 CRI, 90 CRI",,"600 lm, 480 lm","50,000",,4000K,,10,,"60 lm/W, 48 lm/W",,,,,,,,,,
LT-LEDH-NCR5ICA,LED,Other,,,"80, 90",,"895 lm","50,000hrs",,4000K,,12.5,,"71.6 lm/W",,,,,,,,,,
LT-LED-AFR56,LED,"6 Round",,,85,,"895 lm","50,000hrs",,4000K,,12.5,,"71.6 lm/W",,,,,,,,,,
LT-LED-AF6E,LED,"6 Round",,,"80, 90 CRI",,"820 lm","50,000hrs",,4000K,,12.5,,"65.6 lm/W",,,,,,,,,,
LT-LED-AF6AD,LED,"6 Round",,,"80,90 CRI",,"900 lm","50,000hrs",,4000K,,12.5,,"72.0 lm/W",,,,,,,,,,
LT-LED-ARFK4-UTD,LED,"4 Round",,,"80, 90","120V~277V Triac Dimming (Standard)","950 lm & 1740 lm","50,000",,4000K,,14,,"67.9 lm/W & 75.6 lm/W",,,,,,,,,,
LT-LEDT-R44-HC,,"4 Round",,,,,,,,,,,,,,,,,,,,,,
LT-LEDT-R64-HC,,"6 Round",,,,,,,,,,,,,,,,,,,,,,
LT-LEDT-R436-HC,,"4 Round",,,,,,,,,,,,,,,,,,,,,,
LT-LEDT-R636,,"6 Round",,,,,,,,,,,,,,,,,,,,,,
LT-LEDT-R836,,"8 Round",,,,,,,,,,,,,,,,,,,,,,
LT-LEDT-R440,,"4 Round",,,,,,,,,,,,,,,,,,,,,,
LT-LED-ARFK4-UZTD,LED,"4 Round",,,"80, 90","UZTD: 120V~277V 0~10V Dimming","950 lm & 1740 lm","50,000",,4000K,,14,,"67.9 lm/W & 75.6 lm/W",,,,,,,,,,
LT-LED-ARFK6-UTD,LED,"6 Round",,,"80, 90","120V~277V Triac Dimming (Standard)","950 lm, 1790 lm, 2235 lm, & 3220 lm","50,000",,4000K,,30,,"67.9 lm/W, 77.8 lm/W, 74.5 lm/W, 71.5 lm/W",,,,,,,,,,
LT-ARFK6-UZTD,LED,"6 Round",,,"80 CRI","UZTD: 0~10V Dimming","947 lm, 1573 lm, 2078 lm & 2886 lm","50,000",,4000K,,45,,"67.6 lm/W, 68.4 lm/W, 69.3 lm/W & 65.3",,,,,,,,,,
LT-ARFK8-UTD,LED,"8 Round",,,"80 CRI","120V~277V Triac Dimming (Standard)","947 lm, 1573 lm & 2078 lm","50,000",,4000K,,30,,"67.6 lm/W, 68.4 lm/W & 69.3 lm/W",,,,,,,,,,
