sku,parent,finish_options,price,cost_price,Retail_price,sale_price
TF-PLIN2328MV-RDHC401WH,TF-PLIN2328MV,Red,675.72,0,,
TF-PLIN2328MV-INHC401WH,TF-PLIN2328MV,Iron,675.72,0,,
TF-PLIN232MV-WHHC401WH,TF-PLIN232MV,White,350,0,,
TF-PLIN232MV-SLHC401WH,TF-PLIN232MV,Metallic,397.15,0,,
TF-PLIN232MV-RDHC401WH,TF-PLIN232MV,Red,397.15,0,,
TF-PLIN232MV-INHC401WH,TF-PLIN232MV,Iron,397.15,0,,
TF-PLIN2548MV-WHHC401WH,TF-PLIN2548MV,White,675.72,0,,
TF-PLIN2548MV-SLWHC401WH,TF-PLIN2548MV,Metallic,742.86,0,,
TF-PLIN254MV-WHHC401WH,TF-PLIN254MV,White,397.15,0,,
TF-PLIN254MV-SLHC401WH,TF-PLIN254MV,Metallic,444.3,0,,
TF-PLIN3548MV-WHHC401WH,TF-PLIN3548MV,White,744.3,0,,
TF-PLIN3548MV-SLHC401WH,TF-PLIN3548MV,Metallic,814.3,0,,
TF-WLINLV2328MV-WH,TF-WLINLV2328MV,White,674.3,0,,
TF-WLINLV2328MV-BK,TF-WLINLV2328MV,Black,735.72,0,,
TF-WLINLV2328MV-SL,TF-WLINLV2328MV,Silver,735.72,0,,
TF-WLINLV2328MV-IN,TF-WLINLV2328MV,Iron,735.72,0,,
TF-WLINLV232MV-WH,TF-WLINLV232MV,White,371.43,0,,
TF-WLINLV232MV-BK,TF-WLINLV232MV,Black,407.15,0,,
TF-WLINLV232MV-SL,TF-WLINLV232MV,Silver,407.15,0,,
TF-WLINLV232MV-IN,TF-WLINLV232MV,Iron,407.15,0,,
TF-BKRA117MV-WH,TF-BKRA117MV,White,77.15,0,,
TF-BKRA117MV-CHE,TF-BKRA117MV,White,77.15,0,,
TF-BKRA117MV-CH,TF-BKRA117MV,Chrome,77.15,0,,
TF-WLINLV2548MV-WH,TF-WLINLV2548MV,White,747.15,0,,
TF-WLINLV2548MV-BK,TF-WLINLV2548MV,Black,807.15,0,,
TF-WLINLV2548MV-SL,TF-WLINLV2548MV,Silver,807.15,0,,
TF-WLINLV2548MV-IN,TF-WLINLV2548MV,Iron,807.15,0,,
TF-WLINLV254MV-WH,TF-WLINLV254MV,White,404.3,0,,
TF-WLINLV254MV-BK,TF-WLINLV254MV,Black,438.6,0,,
TF-WLINLV254MV-SL,TF-WLINLV254MV,Silver,438.6,0,,
TF-WLINLV254MV-IN,TF-WLINLV254MV,Iron,438.6,0,,
TF-WLINMW2328MV-WH,TF-WLINMW2328MV,White,478.6,0,,
TF-WLINMW2328MV-BK,TF-WLINMW2328MV,Black,602.86,0,,
TF-WLINMW2328MV-SL,TF-WLINMW2328MV,Silver,602.86,0,,
TF-WLINMW2328MV-IN,TF-WLINMW2328MV,Iron,602.86,0,,
TF-WLINMW232MV-WH,TF-WLINMW232MV,White,270,0,,
TF-WLINMW232MV-BK,TF-WLINMW232MV,Black,354.3,0,,
TF-WLINMW232MV-SL,TF-WLINMW232MV,Silver,354.3,0,,
TF-WLINMW232MV-IN,TF-WLINMW232MV,Iron,354.3,0,,
TF-WLINMW2548MV-WH,TF-WLINMW2548MV,White,548.6,0,,
TF-WLINMW2548MV-BK,TF-WLINMW2548MV,Black,622.86,0,,
TF-WLINMW2548MV-SL,TF-WLINMW2548MV,Silver,622.86,0,,
TF-WLINMW2548MV-IN,TF-WLINMW2548MV,Iron,622.86,0,,
TF-WLINMW254MV-WH,TF-WLINMW254MV,White,301.43,0,,
TF-WLINMW254MV-BK,TF-WLINMW254MV,Black,337.15,0,,
TF-WLINMW254MV-SL,TF-WLINMW254MV,Silver,337.15,0,,
TF-WLINMW254MV-IN,TF-WLINMW254MV,Iron,337.15,0,,
