parent_sku,child_sku,color_temprature
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-TO,5000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-IM,5000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-WM,5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-WH,3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-SL,3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-BM,3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-TO,3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-IM,3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-WM,3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-WH,3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-SL,3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-BM,3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-TO,3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-IM,3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-WM,3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-WH,4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-SL,4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-BM,4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-TO,4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-IM,4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-WM,4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-WH,5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-SL,5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-BM,5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-TO,5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-IM,5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-WM,5000K
TF-66RSF48LR48W4800LDMV,TF-66RSF48LR48W4800LDMV-30KWH,3000K
TF-66RSF48LR48W4800LDMV,TF-66RSF48LR48W4800LDMV-35KWH,3500K
TF-66RSF48LR48W4800LDMV,TF-66RSF48LR48W4800LDMV-40KWH,4000K
TF-66RSF48LR48W4800LDMV,TF-66RSF48LR48W4800LDMV-50KWH,5000K
TF-LLLRA48L35W,TF-LLLRA48L35W2246L30KSA,3000K
TF-LLLRA48L35W,TF-LLLRA48L35W2246L40KSA,4000K
TF-LLLSA48L23W1500L,TF-LLLSA48L23W-1500L30KSA,3000K
TF-LLLSA48L23W1500L,TF-LLLSA48L23W-1500L40KSA,4000K
TF-LLLSB47L42W,TF-LLLSB47L42W2488L-30KSA,3000K
TF-LLLSB47L42W,TF-LLLSB47L42W2488L-40KSA,4000K
TF-LLLSC48L58W,TF-LLLSC48L58W3456L-30KSA,3000K
