sku,parent,Color_Temperature,price,cost_price,Retail_price,sale_price
TF-LINMW354MV-INHC301WH,TF-LINMW354MV,5000K,521.43,0,,
TF-PLIN2328MV-WHHC401WH,TF-PLIN2328MV,5000K,607.15,0,,
TF-PLIN2328MV-SLHC401WH,TF-PLIN2328MV,5000K,675.72,0,,
TF-PLIN2328MV-RDHC401WH,TF-PLIN2328MV,5000K,675.72,0,,
TF-PLIN2328MV-INHC401WH,TF-PLIN2328MV,5000K,675.72,0,,
TF-PLIN232MV-WHHC401WH,TF-PLIN232MV,5000K,350,0,,
TF-PLIN232MV-SLHC401WH,TF-PLIN232MV,5000K,397.15,0,,
TF-PLIN232MV-RDHC401WH,TF-PLIN232MV,5000K,397.15,0,,
TF-PLIN232MV-INHC401WH,TF-PLIN232MV,5000K,397.15,0,,
TF-PLIN2548MV-WHHC401WH,TF-PLIN2548MV,5000K,675.72,0,,
TF-PLIN2548MV-SLWHC401WH,TF-PLIN2548MV,5000K,742.86,0,,
TF-PLIN254MV-WHHC401WH,TF-PLIN254MV,5000K,397.15,0,,
TF-PLIN254MV-SLHC401WH,TF-PLIN254MV,5000K,444.3,0,,
TF-PLIN3548MV-WHHC401WH,TF-PLIN3548MV,5000K,744.3,0,,
TF-PLIN3548MV-SLHC401WH,TF-PLIN3548MV,5000K,814.3,0,,
TF-CITLB254MV-LI835-CS08,TF-CITLB254MV,5000K,116.3,0,,
TF-CITLB254MV-LI835-CS,TF-CITLB254MV,5000K,117.8,0,,
TF-CITLB254MV-LI835-CS10,TF-CITLB254MV,5000K,117,0,,
TF-CITLB254MV-LI835-CS11,TF-CITLB254MV,5000K,120.55,0,,
TF-CITLB254MV-LI835-CS12,TF-CITLB254MV,5000K,123.45,0,,
TF-CITLB254MV-LI841-CS08,TF-CITLB254MV,5000K,116.3,0,,
TF-CITLB254MV-LI841-CS,TF-CITLB254MV,5000K,117.8,0,,
TF-CITLB254MV-LI841-CS10,TF-CITLB254MV,5000K,117,0,,
TF-CITLB254MV-LI841-CS11,TF-CITLB254MV,5000K,120.55,0,,
TF-CITLB254MV-LI841-CS12,TF-CITLB254MV,5000K,123.45,0,,
TF-CITLB254MV-LI850-CS08,TF-CITLB254MV,5000K,116.3,0,,
TF-CITLB254MV-LI850-CS,TF-CITLB254MV,5000K,117.8,0,,
TF-CITLB254MV-LI850-CS10,TF-CITLB254MV,5000K,117,0,,
TF-CITLB254MV-LI850-CS11,TF-CITLB254MV,5000K,120.55,0,,
TF-CITLB254MV-LI850-CS12,TF-CITLB254MV,5000K,123.45,0,,
TF-CV8001-17MV,TF-CV8001,5000K,305.72,0,,
TF-CV8001-32MV,TF-CV8001,5000K,305.72,0,,
TF-CV8002-17MV,TF-CV8002,5000K,311.43,0,,
TF-CV8002-32MV,TF-CV8002,5000K,311.43,0,,
TF-ECLMW217S-WH,TF-ECLMW217S,5000K,94.3,0,,
TF-ECLMW217S-WM,TF-ECLMW217S,5000K,94.3,0,,
