parent_sku,child_sku,Wattage_Options
TF-153A24L,TF-153A24L-J35W4600LDMV-35K,"35 Watts"
TF-153A24L,TF-153A24L-J35W4600LDMV-40K,"35 Watts"
TF-153A24L,TF-153A24L-J35W4600LDMV-50K,"35 Watts"
TF-153A24L,TF-153A24L-J48W6300LDMV-30K,"48 Watts"
TF-153A24L,TF-153A24L-J48W6300LDMV-35K,"48 Watts"
TF-153A24L,TF-153A24L-J48W6300LDMV-40K,"48 Watts"
TF-153A24L,TF-153A24L-J48W6300LDMV-50K,"48 Watts"
TF-153A24L,TF-153A24L-J57W7100LDMV-30K,"57 Watts"
TF-153A24L,TF-153A24L-J57W7100LDMV-35K,"57 Watts"
TF-153A24L,TF-153A24L-J57W7100LDMV-40K,"57 Watts"
TF-153A24L,TF-153A24L-J57W7100LDMV-50K,"57 Watts"
TF-200A248L,TF-200A248L-S48W5600LDMV-30K,"48 Watts"
TF-200A248L,TF-200A248L-S48W5600LDMV-35K,"48 Watts"
TF-200A248L,TF-200A248L-S48W5600LDMV-40K,"48 Watts"
TF-200A248L,TF-200A248L-S48W5600LDMV-50K,"48 Watts"
TF-200A248L,TF-200A248L-S57W6500LDMV-30K,"57 Watts"
TF-200A248L,TF-200A248L-S57W6500LDMV-35K,"57 Watts"
TF-200A248L,TF-200A248L-S57W6500LDMV-40K,"57 Watts"
TF-200A248L,TF-200A248L-S57W6500LDMV-50K,"57 Watts"
TF-200A296L,TF-200A296L-S97W11200LDMV-30K,"97 Watts"
TF-200A296L,TF-200A296L-S97W11200LDMV-35K,"97 Watts"
TF-200A296L,TF-200A296L-S97W11200LDMV-40K,"97 Watts"
TF-200A296L,TF-200A296L-S97W11200LDMV-50K,"97 Watts"
TF-200A296L,TF-200A296L-S114W13000LDMV-30K,"114 Watts"
TF-200A296L,TF-200A296L-S114W13000LDMV-35K,"114 Watts"
TF-200A296L,TF-200A296L-S114W13000LDMV-40K,"114 Watts"
TF-200A296L,TF-200A296L-S114W13000LDMV-50K,"114 Watts"
TF-201A48L,TF-201A48L-S24W2800LDMV-30K,"24 Watts"
TF-201A48L,TF-201A48L-S24W2800LDMV-35K,"24 Watts"
TF-201A48L,TF-201A48L-S24W2800LDMV-40K,"24 Watts"
TF-201A48L,TF-201A48L-S24W2800LDMV-50K,"24 Watts"
TF-201A48L,TF-201A48L-S32W4000LDMV-30K,"32 Watts"
TF-201A48L,TF-201A48L-S32W4000LDMV-35K,"32 Watts"
TF-201A48L,TF-201A48L-S32W4000LDMV-40K,"32 Watts"
TF-201A48L,TF-201A48L-S32W4000LDMV-50K,"32 Watts"
TF-201A48L,TF-201A48L-S48W5700LDMV-30K,"48 Watts"
TF-201A48L,TF-201A48L-S48W5700LDMV-35K,"48 Watts"
TF-201A48L,TF-201A48L-S48W5700LDMV-40K,"48 Watts"
TF-201A48L,TF-201A48L-S48W5700LDMV-50K,"48 Watts"
TF-201A48L,TF-201A48L-H72W8700LDMV-30K,"72 Watts"
TF-201A48L,TF-201A48L-H72W8700LDMV-35K,"72 Watts"
TF-201A48L,TF-201A48L-H72W8700LDMV-40K,"72 Watts"
TF-201A48L,TF-201A48L-H72W8700LDMV-50K,"72 Watts"
TF-201A96L,TF-201A96L-S48W5600LDMV-30K,"48 Watts"
TF-201A96L,TF-201A96L-S48W5600LDMV-35K,"48 Watts"
TF-201A96L,TF-201A96L-S48W5600LDMV-40K,"48 Watts"
TF-201A96L,TF-201A96L-S48W5600LDMV-50K,"48 Watts"
TF-201A96L,TF-201A96L-S65W8000LDMV-30K,"65 Watts"
TF-201A96L,TF-201A96L-S65W8000LDMV-35K,"65 Watts"
TF-201A96L,TF-201A96L-S65W8000LDMV-40K,"65 Watts"
TF-201A96L,TF-201A96L-S65W8000LDMV-50K,"65 Watts"
TF-201A96L,TF-201A96L-S97W11400LDMV-30K,"97 Watts"
TF-201A96L,TF-201A96L-S97W11400LDMV-35K,"97 Watts"
TF-201A96L,TF-201A96L-S97W11400LDMV-40K,"97 Watts"
TF-201A96L,TF-201A96L-S97W11400LDMV-50K,"97 Watts"
TF-209A48L,TF-209A48L-F32W3450LDMV-30K,"32 Watts"
TF-209A48L,TF-209A48L-F32W3450LDMV-35K,"32 Watts"
TF-209A48L,TF-209A48L-F32W3450LDMV-40K,"32 Watts"
TF-209A48L,TF-209A48L-F32W3450LDMV-50K,"32 Watts"
TF-209A48L,TF-209A48L-F48W4800LDMV-30K,"48 Watts"
TF-209A48L,TF-209A48L-F48W4800LDMV-35K,"48 Watts"
TF-209A48L,TF-209A48L-F48W4800LDMV-40K,"48 Watts"
TF-209A48L,TF-209A48L-F48W4800LDMV-50K,"48 Watts"
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-30K,"28 Watts"
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-35K,"28 Watts"
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-40K,"28 Watts"
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-50K,"28 Watts"
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-30K,"32 Watts"
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-35K,"32 Watts"
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-40K,"32 Watts"
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-50K,"32 Watts"
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-30K,"42 Watts"
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-35K,"42 Watts"
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-40K,"42 Watts"
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-50K,"42 Watts"
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-30K,"32 Watts"
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-35K,"32 Watts"
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-40K,"32 Watts"
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-50K,"32 Watts"
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-30K,"48 Watts"
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-35K,"48 Watts"
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-40K,"48 Watts"
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-50K,"48 Watts"
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-30K,"57 Watts"
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-35K,"57 Watts"
