parent_sku,child_sku,Voltage_Options,Wattage_Options
DG-B2Q,DG-B2QF1X23-C-3K-L-B,"347v @23w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-C-4K-C-Z,"347v @23w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-C-4K-C-B,"347v @23w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-C-4K-L-Z,"347v @23w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-C-4K-L-B,"347v @23w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-H-3K-C-Z,"347v-480v @34w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-H-3K-C-B,"347v-480v @34w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-H-3K-L-Z,"347v-480v @34w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-H-3K-L-B,"347v-480v @34w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-H-4K-C-Z,"347v-480v @34w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-H-4K-C-B,"347v-480v @34w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-H-4K-L-Z,"347v-480v @34w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-H-4K-L-B,"347v-480v @34w Only","23 Watts"
DG-B2Q,DG-B2QF1X34-U-3K-C-Z,120-277v,"34 Watts"
DG-B2Q,DG-B2QF1X34-U-3K-C-B,120-277v,"34 Watts"
DG-SWPQ,DG-SWPQ-F1X16-U-3K-CZ,120-277v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-U-3K-SZ,120-277v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-U-4K-CZ,120-277v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-U-4K-SZ,120-277v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-U-5K-CZ,120-277v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-U-5K-SZ,120-277v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-H-3K-CZ,347-480v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-H-3K-SZ,347-480v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-H-4K-CZ,347-480v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-H-4K-SZ,347-480v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-H-5K-CZ,347-480v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X16-H-5K-SZ,347-480v,"16 Watts"
DG-SWPQ,DG-SWPQ-F1X23-U-3K-CZ,120-277v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-U-3K-SZ,120-277v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-U-4K-CZ,120-277v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-U-4K-SZ,120-277v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-U-5K-CZ,120-277v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-U-5K-SZ,120-277v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-H-3K-CZ,347-480v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-H-3K-SZ,347-480v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-H-4K-CZ,347-480v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-H-4K-SZ,347-480v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-H-5K-CZ,347-480v,"23 Watts"
DG-SWPQ,DG-SWPQ-F1X23-H-5K-SZ,347-480v,"23 Watts"
DG-HB30C3,DG-HB30C3-6X20-U-5K-GW,120-277v,120W
DG-HB30C3,DG-HB30C3-6X20-U-5K-CW,120-277v,120W
DG-HB30C3,DG-HB30C3-6X20-U-5K-DW,120-277v,120W
DG-HB30C3,DG-HB30C3-6X20-U-5K-BW,120-277v,120W
DG-HB30C3,DG-HB30C3-6X20-U-5K-NW,120-277v,120W
DG-HB30C3,DG-HB30C3-6X20-H-5K-GW,347-480v,120W
DG-HB30C3,DG-HB30C3-6X20-H-5K-CW,347-480v,120W
DG-HB30C3,DG-HB30C3-6X20-H-5K-DW,347-480v,120W
DG-HB30C3,DG-HB30C3-6X20-H-5K-BW,347-480v,120W
DG-HB30C3,DG-HB30C3-6X20-H-5K-NW,347-480v,120W
DG-HB30C3,DG-HB30C3-10X20-U-5K-GW,120-277v,200W
DG-HB30C3,DG-HB30C3-10X20-U-5K-CW,120-277v,200W
DG-HB30C3,DG-HB30C3-10X20-U-5K-DW,120-277v,200W
DG-HB30C3,DG-HB30C3-10X20-U-5K-BW,120-277v,200W
DG-HB30C3,DG-HB30C3-10X20-U-5K-NW,120-277v,200W
DG-HB30C3,DG-HB30C3-10X20-H-5K-GW,347-480v,200W
DG-HB30C3,DG-HB30C3-10X20-H-5K-CW,347-480v,200W
DG-HB30C3,DG-HB30C3-10X20-H-5K-DW,347-480v,200W
DG-HB30C3,DG-HB30C3-10X20-H-5K-BW,347-480v,200W
DG-HB30C3,DG-HB30C3-10X20-H-5K-NW,347-480v,200W
