parent_sku,child_sku,Voltage_Options,Wattage_Options
DG-PF71Q,DG-PF71QF1X65-U-4K-L-Z,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-5K-C-B,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-5K-C-Z,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-5K-L-B,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-5K-L-Z,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-3K-C-B,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-3K-C-Z,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-3K-L-B,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-3K-L-Z,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-4K-C-B,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-4K-C-Z,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-4K-L-B,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-4K-L-Z,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-5K-C-B,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-5K-C-Z,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-5K-L-B,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-5K-L-Z,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X84-U-3K-C-B,120-277v,"84 Watts"
DG-PF71Q,DG-PF71QF1X84-U-3K-C-Z,120-277v,"84 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-U-3KL-Z,120-277v,"12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-U-3KL-W,120-277v,"12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-U-4KL-Z,120-277v,"12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-U-4KL-W,120-277v,"12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-U-5KL-Z,120-277v,"12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-U-5KL-W,120-277v,"12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-C-3KL-Z,"347v @12w\, 17w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-C-3KL-W,"347v @12w\, 17w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-C-4KL-Z,"347v @12w\, 17w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-C-4KL-W,"347v @12w\, 17w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-C-5KL-Z,"347v @12w\, 17w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-C-5KL-W,"347v @12w\, 17w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-U-3KL-Z,120-277v,"17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-U-3KL-W,120-277v,"17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-U-4KL-Z,120-277v,"17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-U-4KL-W,120-277v,"17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-U-5KL-Z,120-277v,"17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-U-5KL-W,120-277v,"17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-C-3KL-Z,"347v @12w\, 17w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-C-3KL-W,"347v @12w\, 17w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-C-4KL-Z,"347v @12w\, 17w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-C-4KL-W,"347v @12w\, 17w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-C-5KL-Z,"347v @12w\, 17w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-C-5KL-W,"347v @12w\, 17w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-U-3KL-Z,120-277v,"25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-U-3KL-W,120-277v,"25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-U-4KL-Z,120-277v,"25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-U-4KL-W,120-277v,"25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-U-5KL-Z,120-277v,"25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-U-5KL-W,120-277v,"25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-C-3KL-Z,"347v @12w\, 17w Only","25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-C-3KL-W,"347v @12w\, 17w Only","25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-C-4KL-Z,"347v @12w\, 17w Only","25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-C-4KL-W,"347v @12w\, 17w Only","25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-C-5KL-Z,"347v @12w\, 17w Only","25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-C-5KL-W,"347v @12w\, 17w Only","25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-H-3KL-Z,"347-480v @25w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-H-3KL-W,"347-480v @25w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-H-4KL-Z,"347-480v @25w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-H-4KL-W,"347-480v @25w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-H-5KL-Z,"347-480v @25w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X12-H-5KL-W,"347-480v @25w Only","12 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-H-3KL-Z,"347-480v @25w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-H-3KL-W,"347-480v @25w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-H-4KL-Z,"347-480v @25w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-H-4KL-W,"347-480v @25w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-H-5KL-Z,"347-480v @25w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X17-H-5KL-W,"347-480v @25w Only","17 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-H-3KL-Z,"347-480v @25w Only","25 Watts"
DG-WPR25OFQ,DG-WPR25OFQ-F1X25-H-3KL-W,"347-480v @25w Only","25 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-U-3KL-Z,120-277v,"12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-U-3KL-W,120-277v,"12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-U-4KL-Z,120-277v,"12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-U-4KL-W,120-277v,"12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-U-5KL-Z,120-277v,"12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-U-5KL-W,120-277v,"12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-C-3KL-Z,"347v @12w\, 17w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-C-3KL-W,"347v @12w\, 17w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-C-4KL-Z,"347v @12w\, 17w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-C-4KL-W,"347v @12w\, 17w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-C-5KL-Z,"347v @12w\, 17w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-C-5KL-W,"347v @12w\, 17w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-H-3KL-Z,"347-480v @ 25w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-H-3KL-W,"347-480v @ 25w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-H-4KL-Z,"347-480v @ 25w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-H-4KL-W,"347-480v @ 25w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-H-5KL-Z,"347-480v @ 25w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X12-H-5KL-W,"347-480v @ 25w Only","12 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-U-3KL-Z,120-277v,"17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-U-3KL-W,120-277v,"17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-U-4KL-Z,120-277v,"17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-U-4KL-W,120-277v,"17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-U-5KL-Z,120-277v,"17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-U-5KL-W,120-277v,"17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-C-3KL-Z,"347v @12w\, 17w Only","17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-C-3KL-W,"347v @12w\, 17w Only","17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-C-4KL-Z,"347v @12w\, 17w Only","17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-C-4KL-W,"347v @12w\, 17w Only","17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-C-5KL-Z,"347v @12w\, 17w Only","17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-C-5KL-W,"347v @12w\, 17w Only","17 Watts"
DG-WPR25HCQ,DG-WPR25HCQ-F1X17-H-3KL-Z,"347-480v @ 25w Only","17 Watts"
