sku,Price,"Cost Price","Retail Price","Sale Price"
TF-201A48L-S24W2800LDMV-35K,154.3,0,,
TF-201A48L-S24W2800LDMV-40K,154.3,0,,
TF-201A48L-S24W2800LDMV-50K,154.3,0,,
TF-201A48L-S32W4000LDMV-30K,160,0,,
TF-201A48L-S32W4000LDMV-35K,160,0,,
TF-201A48L-S32W4000LDMV-40K,160,0,,
TF-201A48L-S32W4000LDMV-50K,160,0,,
TF-201A48L-S48W5700LDMV-30K,170,0,,
TF-201A48L-S48W5700LDMV-35K,170,0,,
TF-201A48L-S48W5700LDMV-40K,170,0,,
TF-201A48L-S48W5700LDMV-50K,170,0,,
TF-201A48L-H72W8700LDMV-30K,227.15,0,,
TF-201A48L-H72W8700LDMV-35K,227.15,0,,
TF-201A48L-H72W8700LDMV-40K,227.15,0,,
TF-201A48L-H72W8700LDMV-50K,227.15,0,,
TF-201A96L-S48W5600LDMV-30K,294.3,0,,
TF-201A96L-S48W5600LDMV-35K,294.3,0,,
TF-201A96L-S48W5600LDMV-40K,294.3,0,,
TF-201A96L-S48W5600LDMV-50K,294.3,0,,
TF-201A96L-S65W8000LDMV-30K,338.6,0,,
TF-201A96L-S65W8000LDMV-35K,338.6,0,,
TF-201A96L-S65W8000LDMV-40K,338.6,0,,
TF-201A96L-S65W8000LDMV-50K,338.6,0,,
TF-201A96L-S97W11400LDMV-30K,345.72,0,,
TF-201A96L-S97W11400LDMV-35K,345.72,0,,
TF-201A96L-S97W11400LDMV-40K,345.72,0,,
TF-201A96L-S97W11400LDMV-50K,345.72,0,,
TF-209A48L-F32W3450LDMV-30K,131.43,0,,
TF-209A48L-F32W3450LDMV-35K,131.43,0,,
TF-209A48L-F32W3450LDMV-40K,131.43,0,,
TF-209A48L-F32W3450LDMV-50K,131.43,0,,
TF-209A48L-F48W4800LDMV-30K,135.72,0,,
TF-209A48L-F48W4800LDMV-35K,135.72,0,,
TF-209A48L-F48W4800LDMV-40K,135.72,0,,
TF-209A48L-F48W4800LDMV-50K,135.72,0,,
TF-UCLL22L-J28W3150LDMV-30K,117.15,0,,
TF-UCLL22L-J28W3150LDMV-35K,117.15,0,,
TF-UCLL22L-J28W3150LDMV-40K,117.15,0,,
TF-UCLL22L-J28W3150LDMV-50K,117.15,0,,
TF-UCLL22L-J32W3600LDMV-30K,121.43,0,,
TF-UCLL22L-J32W3600LDMV-35K,121.43,0,,
TF-UCLL22L-J32W3600LDMV-40K,121.43,0,,
TF-UCLL22L-J32W3600LDMV-50K,121.43,0,,
TF-UCLL22L-J42W4300LDMV-30K,128.6,0,,
TF-UCLL22L-J42W4300LDMV-35K,128.6,0,,
TF-UCLL22L-J42W4300LDMV-40K,128.6,0,,
TF-UCLL22L-J42W4300LDMV-50K,128.6,0,,
TF-UCLL24L-J32W4350LDMV-30K,141.43,0,,
TF-UCLL24L-J32W4350LDMV-35K,141.43,0,,
TF-UCLL24L-J32W4350LDMV-40K,141.43,0,,
TF-UCLL24L-J32W4350LDMV-50K,141.43,0,,
TF-UCLL24L-J48W6100LDMV-30K,147.15,0,,
TF-UCLL24L-J48W6100LDMV-35K,147.15,0,,
TF-UCLL24L-J48W6100LDMV-40K,147.15,0,,
TF-UCLL24L-J48W6100LDMV-50K,147.15,0,,
TF-UCLL24L-J57W6800LDMV-30K,150,0,,
TF-UCLL24L-J57W6800LDMV-35K,150,0,,
TF-UCLL24L-J57W6800LDMV-40K,150,0,,
TF-UCLL24L-J57W6800LDMV-50K,150,0,,
TF-UCLL14L-J32W4300LDMV-30K,135.72,0,,
TF-UCLL14L-J32W4300LDMV-35K,135.72,0,,
TF-UCLL14L-J32W4300LDMV-40K,135.72,0,,
TF-UCLL14L-J32W4300LDMV-50K,135.72,0,,
TF-UCLL14L-J48W6000LDMV-30K,138.6,0,,
TF-UCLL14L-J48W6000LDMV-35K,138.6,0,,
TF-UCLL14L-J48W6000LDMV-40K,138.6,0,,
TF-UCLL14L-J48W6000LDMV-50K,138.6,0,,
TF-VLT24L-J48W5500LDMV-30K,180,0,,
TF-VLT24L-J48W5500LDMV-35K,180,0,,
TF-VLT24L-J48W5500LDMV-40K,180,0,,
TF-VLT24L-J48W5500LDMV-50K,180,0,,
TF-VLT24L-J52W6000LDMV-30K,185.72,0,,
TF-VLT24L-J52W6000LDMV-35K,185.72,0,,
TF-VLT24L-J52W6000LDMV-40K,185.72,0,,
TF-VLT24L-J52W6000LDMV-50K,185.72,0,,
TF-CRVRL24L-J32W4000LDMV-30K,221.43,0,,
TF-CRVRL24L-J32W4000LDMV-35K,221.43,0,,
TF-CRVRL24L-J32W4000LDMV-40K,221.43,0,,
TF-CRVRL24L-J32W4000LDMV-50K,221.43,0,,
TF-CRVRL24L-J48W6100LDMV-30K,225.72,0,,
TF-CRVRL24L-J48W6100LDMV-35K,225.72,0,,
TF-CRVRL24L-J48W6100LDMV-40K,225.72,0,,
