parent_sku,child_sku,"Color Temperature (CCT)",price,cost_price,Retail_price,sale_price
TF-LINMW3548MV,TF-LINMW3548MV-BKHC301WH,"5000K (Default)",882.86,0,,
TF-LINMW3548MV,TF-LINMW3548MV-SLHC301WH,"5000K (Default)",882.86,0,,
TF-LINMW3548MV,TF-LINMW3548MV-RDHC301WH,"5000K (Default)",882.86,0,,
TF-LINMW3548MV,TF-LINMW3548MV-INHC301WH,"5000K (Default)",882.86,0,,
TF-LINMW354MV,TF-LINMW354MV-WHHC301WH,"5000K (Default)",475.72,0,,
TF-LINMW354MV,TF-LINMW354MV-BKHC301WH,"5000K (Default)",521.43,0,,
TF-LINMW354MV,TF-LINMW354MV-SLHC301WH,"5000K (Default)",521.43,0,,
TF-LINMW354MV,TF-LINMW354MV-RDHC301WH,"5000K (Default)",521.43,0,,
TF-LINMW354MV,TF-LINMW354MV-INHC301WH,"5000K (Default)",521.43,0,,
TF-PLIN2328MV,TF-PLIN2328MV-WHHC401WH,"5000K (Default)",607.15,0,,
TF-PLIN2328MV,TF-PLIN2328MV-SLHC401WH,"5000K (Default)",675.72,0,,
TF-PLIN2328MV,TF-PLIN2328MV-RDHC401WH,"5000K (Default)",675.72,0,,
TF-PLIN2328MV,TF-PLIN2328MV-INHC401WH,"5000K (Default)",675.72,0,,
TF-PLIN232MV,TF-PLIN232MV-WHHC401WH,"5000K (Default)",350,0,,
TF-PLIN232MV,TF-PLIN232MV-SLHC401WH,"5000K (Default)",397.15,0,,
TF-PLIN232MV,TF-PLIN232MV-RDHC401WH,"5000K (Default)",397.15,0,,
TF-PLIN232MV,TF-PLIN232MV-INHC401WH,"5000K (Default)",397.15,0,,
TF-PLIN2548MV,TF-PLIN2548MV-WHHC401WH,"5000K (Default)",675.72,0,,
TF-PLIN2548MV,TF-PLIN2548MV-SLWHC401WH,"5000K (Default)",742.86,0,,
TF-PLIN254MV,TF-PLIN254MV-WHHC401WH,"5000K (Default)",397.15,0,,
TF-PLIN254MV,TF-PLIN254MV-SLHC401WH,"5000K (Default)",444.3,0,,
TF-PLIN3548MV,TF-PLIN3548MV-WHHC401WH,"5000K (Default)",744.3,0,,
TF-PLIN3548MV,TF-PLIN3548MV-SLHC401WH,"5000K (Default)",814.3,0,,
TF-CITLB254MV,TF-CITLB254MV-LI835-CS08,"5000K (Default)",116.3,0,,
TF-CITLB254MV,TF-CITLB254MV-LI835-CS,"5000K (Default)",117.8,0,,
TF-CITLB254MV,TF-CITLB254MV-LI835-CS10,"5000K (Default)",117,0,,
TF-CITLB254MV,TF-CITLB254MV-LI835-CS11,"5000K (Default)",120.55,0,,
TF-CITLB254MV,TF-CITLB254MV-LI835-CS12,"5000K (Default)",123.45,0,,
TF-CITLB254MV,TF-CITLB254MV-LI841-CS08,"5000K (Default)",116.3,0,,
TF-CITLB254MV,TF-CITLB254MV-LI841-CS,"5000K (Default)",117.8,0,,
TF-CITLB254MV,TF-CITLB254MV-LI841-CS10,"5000K (Default)",117,0,,
TF-CITLB254MV,TF-CITLB254MV-LI841-CS11,"5000K (Default)",120.55,0,,
TF-CITLB254MV,TF-CITLB254MV-LI841-CS12,"5000K (Default)",123.45,0,,
TF-CITLB254MV,TF-CITLB254MV-LI850-CS08,"5000K (Default)",116.3,0,,
TF-CITLB254MV,TF-CITLB254MV-LI850-CS,"5000K (Default)",117.8,0,,
TF-CITLB254MV,TF-CITLB254MV-LI850-CS10,"5000K (Default)",117,0,,
TF-CITLB254MV,TF-CITLB254MV-LI850-CS11,"5000K (Default)",120.55,0,,
TF-CITLB254MV,TF-CITLB254MV-LI850-CS12,"5000K (Default)",123.45,0,,
TF-CV8001,TF-CV8001-17MV,"5000K (Default)",305.72,0,,
TF-CV8001,TF-CV8001-32MV,"5000K (Default)",305.72,0,,
TF-CV8002,TF-CV8002-17MV,"5000K (Default)",311.43,0,,
TF-CV8002,TF-CV8002-32MV,"5000K (Default)",311.43,0,,
TF-ECLMW217S,TF-ECLMW217S-WH,"5000K (Default)",94.3,0,,
TF-ECLMW217S,TF-ECLMW217S-WM,"5000K (Default)",94.3,0,,
TF-ECLMW217S,TF-ECLMW217S-IM,"5000K (Default)",94.3,0,,
TF-ECLMW217S,TF-ECLMW217S-BM,"5000K (Default)",94.3,0,,
TF-ECLMW217S,TF-ECLMW217S-SI,"5000K (Default)",94.3,0,,
TF-ECLMW217S,TF-ECLMW217S-TO,"5000K (Default)",94.3,0,,
TF-ECLMW232S,TF-ECLMW232S-WH,"5000K (Default)",100,0,,
TF-ECLMW232S,TF-ECLMW232S-WM,"5000K (Default)",100,0,,
TF-ECLMW232S,TF-ECLMW232S-IM,"5000K (Default)",100,0,,
TF-ECLMW232S,TF-ECLMW232S-BM,"5000K (Default)",100,0,,
TF-ECLMW232S,TF-ECLMW232S-SL,"5000K (Default)",100,0,,
TF-ECLMW232S,TF-ECLMW232S-TO,"5000K (Default)",100,0,,
TF-ECLMW417S,TF-ECLMW417S-WH,"5000K (Default)",144.3,0,,
TF-ECLMW417S,TF-ECLMW417S-WM,"5000K (Default)",144.3,0,,
TF-ECLMW417S,TF-ECLMW417S-IM,"5000K (Default)",144.3,0,,
TF-ECLMW417S,TF-ECLMW417S-BM,"5000K (Default)",144.3,0,,
TF-ECLMW417S,TF-ECLMW417S-SI,"5000K (Default)",144.3,0,,
TF-ECLMW417S,TF-ECLMW417S-TO,"5000K (Default)",144.3,0,,
TF-ECLMW432S,TF-ECLMW432S-WH,"5000K (Default)",147.15,0,,
TF-ECLMW432S,TF-ECLMW432S-WM,"5000K (Default)",147.15,0,,
TF-ECLMW432S,TF-ECLMW432S-IM,"5000K (Default)",147.15,0,,
TF-ECLMW432S,TF-ECLMW432S-BM,"5000K (Default)",147.15,0,,
TF-ECLMW432S,TF-ECLMW432S-SL,"5000K (Default)",147.15,0,,
TF-ECLMW432S,TF-ECLMW432S-TO,"5000K (Default)",147.15,0,,
TF-ECLA217S,TF-ECLA217S-WH,"5000K (Default)",102.86,0,,
TF-ECLA217S,TF-ECLA217S-WM,"5000K (Default)",102.86,0,,
TF-ECLA217S,TF-ECLA217S-IM,"5000K (Default)",102.86,0,,
TF-ECLA217S,TF-ECLA217S-BM,"5000K (Default)",102.86,0,,
TF-ECLA217S,TF-ECLA217S-SI,"5000K (Default)",102.86,0,,
TF-ECLA217S,TF-ECLA217S-TO,"5000K (Default)",102.86,0,,
TF-ECLA232S,TF-ECLA232S-WH,"5000K (Default)",108.6,0,,
TF-ECLA232S,TF-ECLA232S-WM,"5000K (Default)",108.6,0,,
TF-ECLA232S,TF-ECLA232S-IM,"5000K (Default)",108.6,0,,
TF-ECLA232S,TF-ECLA232S-BM,"5000K (Default)",108.6,0,,
TF-ECLA232S,TF-ECLA232S-SL,"5000K (Default)",108.6,0,,
TF-ECLA232S,TF-ECLA232S-TO,"5000K (Default)",108.6,0,,
TF-ECLRE417S,TF-ECLRE417S-WH,"5000K (Default)",154.3,0,,
TF-ECLRE417S,TF-ECLRE417S-WM,"5000K (Default)",154.3,0,,
TF-ECLRE417S,TF-ECLRE417S-IM,"5000K (Default)",154.3,0,,
TF-ECLRE417S,TF-ECLRE417S-BM,"5000K (Default)",154.3,0,,
TF-ECLRE417S,TF-ECLRE417S-SL,"5000K (Default)",154.3,0,,
TF-ECLRE417S,TF-ECLRE417S-TO,"5000K (Default)",154.3,0,,
TF-ECLRE432S,TF-ECLRE432S-WH,"5000K (Default)",161.43,0,,
TF-ECLRE432S,TF-ECLRE432S-WM,"5000K (Default)",161.43,0,,
TF-ECLRE432S,TF-ECLRE432S-IM,"5000K (Default)",161.43,0,,
TF-ECLRE432S,TF-ECLRE432S-BM,"5000K (Default)",161.43,0,,
TF-ECLRE432S,TF-ECLRE432S-SL,"5000K (Default)",161.43,0,,
TF-ECLRE432S,TF-ECLRE432S-TO,"5000K (Default)",161.43,0,,
TF-WLINLV2328MV,TF-WLINLV2328MV-WH,"5000K (Default)",674.3,0,,
TF-WLINLV2328MV,TF-WLINLV2328MV-BK,"5000K (Default)",735.72,0,,
TF-WLINLV2328MV,TF-WLINLV2328MV-SL,"5000K (Default)",735.72,0,,
TF-WLINLV2328MV,TF-WLINLV2328MV-IN,"5000K (Default)",735.72,0,,
TF-WLINLV232MV,TF-WLINLV232MV-WH,"5000K (Default)",371.43,0,,
TF-WLINLV232MV,TF-WLINLV232MV-BK,"5000K (Default)",407.15,0,,
TF-WLINLV232MV,TF-WLINLV232MV-SL,"5000K (Default)",407.15,0,,
TF-WLINLV232MV,TF-WLINLV232MV-IN,"5000K (Default)",407.15,0,,
TF-BKRA117MV,TF-BKRA117MV-WH,"5000K (Default)",77.15,0,,
TF-BKRA117MV,TF-BKRA117MV-CHE,"5000K (Default)",77.15,0,,
TF-BKRA117MV,TF-BKRA117MV-CH,"5000K (Default)",77.15,0,,
TF-WLINLV2548MV,TF-WLINLV2548MV-WH,"5000K (Default)",747.15,0,,
TF-WLINLV2548MV,TF-WLINLV2548MV-BK,"5000K (Default)",807.15,0,,
TF-WLINLV2548MV,TF-WLINLV2548MV-SL,"5000K (Default)",807.15,0,,
TF-WLINLV2548MV,TF-WLINLV2548MV-IN,"5000K (Default)",807.15,0,,
TF-WLINLV254MV,TF-WLINLV254MV-WH,"5000K (Default)",404.3,0,,
TF-WLINLV254MV,TF-WLINLV254MV-BK,"5000K (Default)",438.6,0,,
TF-WLINLV254MV,TF-WLINLV254MV-SL,"5000K (Default)",438.6,0,,
TF-WLINLV254MV,TF-WLINLV254MV-IN,"5000K (Default)",438.6,0,,
TF-WLINMW2328MV,TF-WLINMW2328MV-WH,"5000K (Default)",478.6,0,,
TF-WLINMW2328MV,TF-WLINMW2328MV-BK,"5000K (Default)",602.86,0,,
TF-WLINMW2328MV,TF-WLINMW2328MV-SL,"5000K (Default)",602.86,0,,
TF-WLINMW2328MV,TF-WLINMW2328MV-IN,"5000K (Default)",602.86,0,,
TF-WLINMW232MV,TF-WLINMW232MV-WH,"5000K (Default)",270,0,,
TF-WLINMW232MV,TF-WLINMW232MV-BK,"5000K (Default)",354.3,0,,
TF-WLINMW232MV,TF-WLINMW232MV-SL,"5000K (Default)",354.3,0,,
TF-WLINMW232MV,TF-WLINMW232MV-IN,"5000K (Default)",354.3,0,,
TF-WLINMW2548MV,TF-WLINMW2548MV-WH,"5000K (Default)",548.6,0,,
TF-WLINMW2548MV,TF-WLINMW2548MV-BK,"5000K (Default)",622.86,0,,
TF-WLINMW2548MV,TF-WLINMW2548MV-SL,"5000K (Default)",622.86,0,,
TF-WLINMW2548MV,TF-WLINMW2548MV-IN,"5000K (Default)",622.86,0,,
TF-WLINMW254MV,TF-WLINMW254MV-WH,"5000K (Default)",301.43,0,,
TF-WLINMW254MV,TF-WLINMW254MV-BK,"5000K (Default)",337.15,0,,
TF-WLINMW254MV,TF-WLINMW254MV-SL,"5000K (Default)",337.15,0,,
TF-WLINMW254MV,TF-WLINMW254MV-IN,"5000K (Default)",337.15,0,,
TF-WLINPF2328MV,TF-WLINPF2328MV-WH,"5000K (Default)",454.3,0,,
TF-WLINPF2328MV,TF-WLINPF2328MV-BK,"5000K (Default)",514.3,0,,
TF-WLINPF2328MV,TF-WLINPF2328MV-SL,"5000K (Default)",514.3,0,,
TF-WLINPF2328MV,TF-WLINPF2328MV-IN,"5000K (Default)",514.3,0,,
TF-WLINPF232MV,TF-WLINPF232MV-WH,"5000K (Default)",242.86,0,,
TF-WLINPF232MV,TF-WLINPF232MV-BK,"5000K (Default)",257.15,0,,
TF-WLINPF232MV,TF-WLINPF232MV-SL,"5000K (Default)",257.15,0,,
TF-WLINPF232MV,TF-WLINPF232MV-IN,"5000K (Default)",257.15,0,,
TF-WLINPF254MV,TF-WLINPF254MV-WH,"5000K (Default)",277.15,0,,
TF-WLINPF254MV,TF-WLINPF254MV-BK,"5000K (Default)",314.3,0,,
TF-WLINPF254MV,TF-WLINPF254MV-SL,"5000K (Default)",314.3,0,,
TF-WLINPF254MV,TF-WLINPF254MV-IN,"5000K (Default)",314.3,0,,
TF-VAN,TF-VAN-217E120-AL,"5000K (Default)",110,0,,
TF-VAN,TF-VAN-217E120-SW,"5000K (Default)",110,0,,
TF-VAN,TF-VAN-225E120-AL,"5000K (Default)",118.6,0,,
TF-VAN,TF-VAN-225E120-SW,"5000K (Default)",118.6,0,,
TF-VAN,TF-VAN-232E120-AL,"5000K (Default)",128.6,0,,
TF-VAN,TF-VAN-232E120-SW,"5000K (Default)",128.6,0,,
TF-BKRA125MV,TF-BKRA125MV-WH,"5000K (Default)",91.43,0,,
TF-BKRA125MV,TF-BKRA125MV-CHE,"5000K (Default)",91.43,0,,
TF-BKRA125MV,TF-BKRA125MV-CH,"5000K (Default)",91.43,0,,
TF-BKRA132MV,TF-BKRA132MV-WH,"5000K (Default)",98.6,0,,
TF-BKRA132MV,TF-BKRA132MV-CHE,"5000K (Default)",98.6,0,,
TF-BKRA132MV,TF-BKRA132MV-CH,"5000K (Default)",98.6,0,,
TF-24C2,TF-24C2-M20BL10-X1,"5000K (Default)",27.6,0,,
TF-24C2,TF-24C2-M20BL10-MV,"5000K (Default)",37.85,0,,
TF-24C2,TF-24C2-M20BL10-WR,"5000K (Default)",41.1,0,,
TF-24C2,TF-24C2-W10BL10-X1,"5000K (Default)",19.3,0,,
TF-24C2,TF-24C2-W10BL10-MV,"5000K (Default)",29.55,0,,
TF-24C2,TF-24C2-W10BL10-WR,"5000K (Default)",32.8,0,,
BL-RELXTE1RCAEM-SDT,BL-RELXTE1RCAEM-SDT-R,"5000K (Default)",146.42,0,,
BL-RELXTE1RCAEM-SDT,BL-RELXTE1RCAEM-SDT-G,"5000K (Default)",149.65,0,,
BL-LEDCXTEU,BL-LEDCXTEU-1-R-W,"5000K (Default)",53.95,0,,
BL-LEDCXTEU,BL-LEDCXTEU-1-R-B,"5000K (Default)",58.95,0,,
BL-LEDCXTEU,BL-LEDCXTEU-1-G-W,"5000K (Default)",56.95,0,,
BL-LEDCXTEU,BL-LEDCXTEU-1-G-B,"5000K (Default)",61.95,0,,
BL-LEDCXTEU,BL-LEDCXTEU-2-R-W,"5000K (Default)",57.95,0,,
BL-LEDCXTEU,BL-LEDCXTEU-2-R-B,"5000K (Default)",62.95,0,,
BL-LEDCXTEU,BL-LEDCXTEU-2-G-W,"5000K (Default)",60.95,0,,
BL-LEDCXTEU,BL-LEDCXTEU-2-G-B,"5000K (Default)",65.95,0,,
AT-CPPG,AT-CPPG-40W4000LM-4000K,"5000K (Default)",205.95,0,,
AT-CPPG,AT-CPPG-40W4000LM-5000K,"5000K (Default)",205.95,0,,
AT-CPPG,AT-CPPG-60W6000LM-4000K,"5000K (Default)",309.95,0,,
AT-CPPG,AT-CPPG-60W6000LM-5000K,"5000K (Default)",309.95,0,,
AT-CPPG,AT-CPPG-90W8500LM-4000K,"5000K (Default)",359.95,0,,
AT-CPPG,AT-CPPG-90W8500LM-5000K,"5000K (Default)",359.95,0,,
NL-TP260,NL-TP260-W20-30K,"5000K (Default)",154.3,0,,
NL-TP260,NL-TP260-W20-40K,"5000K (Default)",154.3,0,,
NL-TP260,NL-TP260-W20-50K,"5000K (Default)",154.3,0,,
NL-TP260,NL-TP260-W35-30K,"5000K (Default)",164.3,0,,
NL-TP260,NL-TP260-W35-40K,"5000K (Default)",164.3,0,,
NL-TP260,NL-TP260-W35-50K,"5000K (Default)",164.3,0,,
ILP-SS8-12L-U,ILP-SS8-12L-U-35-FRL,3500K,128.6,0,,
ILP-SS8-12L-U,ILP-SS8-12L-U-40-FRL,4000K,128.6,0,,
ILP-SS8-12L-U,ILP-SS8-12L-U-50-FRL,5000K,128.6,0,,
TL-TECBTA-24,TL-TECBTA-24-30W-40K,5000K,,0,,
TL-TECBTA-24,TL-TECBTA-24-30W-50K-D1-W,5000K,95.92,0,,
TL-TECBTA-24,TL-TECBTA-24-40W-40K-D1-W,5000K,97.96,0,,
TL-TECBTA-24,TL-TECBTA-24-40W-50K,5000K,,0,,
TL-TECBTA-22,TL-TECBTA-22-20W-50KD1WJ,5000K,65.35,0,,
TL-TECBTA-22,TL-TECBTA-22-40W-50KD1WJ,5000K,69.4,0,,
NL-NBQL,NL-NBQL-75W-30K-V,5000K,194.3,0,,
NL-NBQL,NL-NBQL-75W-30K-HV,5000K,194.3,0,,
NL-NBQL,NL-NBQL-75W-40K-V,5000K,194.3,0,,
NL-NBQL,NL-NBQL-75W-40K-HV,5000K,194.3,0,,
NL-NBQL,NL-NBQL-75W-50K-V,5000K,194.3,0,,
NL-NBQL,NL-NBQL-75W-50K-HV,5000K,194.3,0,,
NL-NBQL,NL-NBQL-100W-30K-V,5000K,228.6,0,,
NL-NBQL,NL-NBQL-100W-30K-HV,5000K,228.6,0,,
NL-NBQL,NL-NBQL-100W-40K-V,5000K,228.6,0,,
NL-NBQL,NL-NBQL-100W-40K-HV,5000K,228.6,0,,
