parent_sku,child_sku,watteg_&_lumen_option,Color_Temperature
AT-CPPG,AT-CPPG-40W4000LM-4000K,"40 Watts / 4000 Lumens",4000K
AT-CPPG,AT-CPPG-40W4000LM-5000K,"40 Watts / 4000 Lumens","5000K (default)"
AT-CPPG,AT-CPPG-60W6000LM-4000K,"60 Watts / 6000 Lumens",4000K
AT-CPPG,AT-CPPG-60W6000LM-5000K,"60 Watts / 6000 Lumens","5000K (default)"
AT-CPPG,AT-CPPG-90W8500LM-4000K,"90 Watts / 8500 Lumens",4000K
AT-CPPG,AT-CPPG-90W8500LM-5000K,"90 Watts / 8500 Lumens","5000K (default)"
NL-TP260,NL-TP260-W20-30K,"20 Watts / 2\,400 Lumens",3000K
NL-TP260,NL-TP260-W20-40K,"20 Watts / 2\,400 Lumens",4000K
NL-TP260,NL-TP260-W20-50K,"20 Watts / 2\,400 Lumens",5000K
NL-TP260,NL-TP260-W35-30K,"35 Watts / 4\,200 Lumens",3000K
NL-TP260,NL-TP260-W35-40K,"35 Watts / 4\,200 Lumens",4000K
NL-TP260,NL-TP260-W35-50K,"35 Watts / 4\,200 Lumens",5000K
NL-NBQL,NL-NBQL-75W-30K-V,"75 Watts / 11\,250 Lumens",3000K
NL-NBQL,NL-NBQL-75W-30K-HV,"75 Watts / 11\,250 Lumens",3000K
NL-NBQL,NL-NBQL-75W-40K-V,"75 Watts / 11\,250 Lumens",4000K
NL-NBQL,NL-NBQL-75W-40K-HV,"75 Watts / 11\,250 Lumens",4000K
NL-NBQL,NL-NBQL-75W-50K-V,"75 Watts / 11\,250 Lumens",5000K
NL-NBQL,NL-NBQL-75W-50K-HV,"75 Watts / 11\,250 Lumens",5000K
NL-NBQL,NL-NBQL-100W-30K-V,"100 Watts / 15\,000 Lumens",3000K
NL-NBQL,NL-NBQL-100W-30K-HV,"100 Watts / 15\,000 Lumens",3000K
NL-NBQL,NL-NBQL-100W-40K-V,"100 Watts / 15\,000 Lumens",4000K
NL-NBQL,NL-NBQL-100W-40K-HV,"100 Watts / 15\,000 Lumens",4000K
NL-NBQL,NL-NBQL-100W-50K-V,"100 Watts / 15\,000 Lumens",5000K
NL-NBQL,NL-NBQL-100W-50K-HV,"100 Watts / 15\,000 Lumens",5000K
NL-NBQL,NL-NBQL-150W-30K-V,"150 Watts / 22\,500 Lumens",3000K
NL-NBQL,NL-NBQL-150W-30K-HV,"150 Watts / 22\,500 Lumens",3000K
NL-NBQL,NL-NBQL-150W-40K-V,"150 Watts / 22\,500 Lumens",4000K
NL-NBQL,NL-NBQL-150W-40K-HV,"150 Watts / 22\,500 Lumens",4000K
NL-NBQL,NL-NBQL-150W-50K-V,"150 Watts / 22\,500 Lumens",5000K
NL-NBQL,NL-NBQL-150W-50K-HV,"150 Watts / 22\,500 Lumens",5000K
NL-NBQL,NL-NBQL-200W-30K-V,"200 Watts / 26\,000 Lumens",3000K
NL-NBQL,NL-NBQL-200W-30K-HV,"200 Watts / 26\,000 Lumens",3000K
NL-NBQL,NL-NBQL-200W-40K-V,"200 Watts / 26\,000 Lumens",4000K
NL-NBQL,NL-NBQL-200W-40K-HV,"200 Watts / 26\,000 Lumens",4000K
NL-NBQL,NL-NBQL-200W-50K-V,"200 Watts / 26\,000 Lumens",5000K
NL-NBQL,NL-NBQL-200W-50K-HV,"200 Watts / 26\,000 Lumens",5000K
NL-NBQL,NL-NBQL-300W-30K-V,"300 Watts / 45\,000 Lumens",3000K
NL-NBQL,NL-NBQL-300W-30K-HV,"300 Watts / 45\,000 Lumens",3000K
NL-NBQL,NL-NBQL-300W-40K-V,"300 Watts / 45\,000 Lumens",4000K
NL-NBQL,NL-NBQL-300W-40K-HV,"300 Watts / 45\,000 Lumens",4000K
NL-NBQL,NL-NBQL-300W-50K-V,"300 Watts / 45\,000 Lumens",5000K
NL-NBQL,NL-NBQL-300W-50K-HV,"300 Watts / 45\,000 Lumens",5000K
PI-PT-HBL4,PI-PT-HBL4-105W-40K,"105W / 13\,906 Lumens",4000K
PI-PT-HBL4,PI-PT-HBL4-155W-40K,"155W / 20\,618 Lumens",4000K
PI-PT-HBL4,PI-PT-HBL4-170W-40K,"170W / 22\,950 Lumens",4000K
PI-PT-HBL4,PI-PT-HBL4-210W-40K,"210W / 28\,236 Lumens",4000K
PI-PT-HBL4,PI-PT-HBL4-300W-40K,"300W / 40\,470 Lumens",4000K
PI-PT-HBL4,PI-PT-HBL4-105W-50K,"105W / 13\,906 Lumens","5000K (Standard)"
PI-PT-HBL4,PI-PT-HBL4-155W-50K,"155W / 20\,618 Lumens","5000K (Standard)"
PI-PT-HBL4,PI-PT-HBL4-170W-50K,"170W / 22\,950 Lumens","5000K (Standard)"
PI-PT-HBL4,PI-PT-HBL4-210W-50K,"210W / 28\,236 Lumens","5000K (Standard)"
PI-PT-HBL4,PI-PT-HBL4-300W-50K,"300W / 40\,470 Lumens","5000K (Standard)"
TF-LVS648L,TF-LVS648L-J48W4000LDMV-30K-WH-HC301WH,"48 Watts / 3800 Lumens",3000K
TF-LVS648L,TF-LVS648L-J48W4000LDMV-30KBK-HC3015WWH,"48 Watts / 3800 Lumens",3000K
TF-LVS648L,TF-LVS648L-J48W4000LDMV-35KWH-HC3015WWH,"48 Watts / 3800 Lumens",3500K
TF-LVS648L,TF-LVS648L-J48W4000LDMV-35KBK-HC3015WWH,"48 Watts / 3800 Lumens",3500K
TF-LVS648L,TF-LVS648L-J48W4000LDMV-40KWH-HC3015WWH,"48 Watts / 3800 Lumens","4000K (recommended)"
TF-LVS648L,TF-LVS648L-J48W4000LDMV-40KBK-HC3015WWH,"48 Watts / 3800 Lumens","4000K (recommended)"
TF-LVS648L,TF-LVS648L-J48W4000LDMV-50KWH-HC3015WWH,"48 Watts / 3800 Lumens",5000K
TF-LVS648L,TF-LVS648L-J48W4000LDMV-50KBK-HC3015WWH,"48 Watts / 3800 Lumens",5000K
TF-LVS648L,TF-LVS648L-Z57W4800LDMV-30KWH-HC3015WWH,"57 Watts / 4800 Lumens",3000K
TF-LVS648L,TF-LVS648L-Z57W4800LDMV-30KBK-HC3015WWH,"57 Watts / 4800 Lumens",3000K
TF-LVS648L,TF-LVS648L-Z57W4800LDMV-35KWH-HC3015WWH,"57 Watts / 4800 Lumens",3500K
TF-LVS648L,TF-LVS648L-Z57W4800LDMV-35KBK-HC3015WWH,"57 Watts / 4800 Lumens",3500K
TF-LVS648L,TF-LVS648L-Z57W4800LDMV-40KWH-HC3015WWH,"57 Watts / 4800 Lumens","4000K (recommended)"
TF-LVS648L,TF-LVS648L-Z57W4800LDMV-40KBK-HC3015WWH,"57 Watts / 4800 Lumens","4000K (recommended)"
TF-LVS648L,TF-LVS648L-Z57W4800LDMV-50KWH-HC3015WWH,"57 Watts / 4800 Lumens",5000K
TF-LVS648L,TF-LVS648L-Z57W4800LDMV-50KBK-HC3015WWH,"57 Watts / 4800 Lumens",5000K
TF-LVS648L,TF-LVS648L-Z72W6000LDMV30KWH-HC3015WWH,"72 Watts / 6000 Lumens",3000K
TF-LVS648L,TF-LVS648L-Z72W6000LDMV30KBK-HC3015WWH,"72 Watts / 6000 Lumens",3000K
TF-LVS648L,TF-LVS648L-Z72W6000LDMV35KWH-HC3015WWH,"72 Watts / 6000 Lumens",3500K
TF-LVS648L,TF-LVS648L-Z72W6000LDMV35KBK-HC3015WWH,"72 Watts / 6000 Lumens",3500K
TF-LVS648L,TF-LVS648L-Z72W6000LDMV40KWH-HC3015WWH,"72 Watts / 6000 Lumens","4000K (recommended)"
TF-LVS648L,TF-LVS648L-Z72W6000LDMV40KBK-HC3015WWH,"72 Watts / 6000 Lumens","4000K (recommended)"
TF-LVS648L,TF-LVS648L-Z72W6000LDMV50KWH-HC3015WWH,"72 Watts / 6000 Lumens",5000K
TF-LVS648L,TF-LVS648L-Z72W6000LDMV50KBK-HC3015WWH,"72 Watts / 6000 Lumens",5000K
TF-IND96L,TF-IND96L-J57W7800LW30DMV-30K,"57 Watts / 7800 Lumens",3000K
TF-IND96L,TF-IND96L-J57W7800LW30DMV-35K,"57 Watts / 7800 Lumens",3500K
TF-IND96L,TF-IND96L-J57W7800LW30DMV-40K,"57 Watts / 7800 Lumens",4000K
TF-IND96L,TF-IND96L-J57W7800LW30DMV-50K,"57 Watts / 7800 Lumens",5000K
TF-IND96L,TF-IND96L-J97W12400LW30DMV-30K,"97 Watts / 12400 Lumens",3000K
TF-IND96L,TF-IND96L-J97W12400LW30DMV-35K,"97 Watts / 12400 Lumens",3500K
TF-IND96L,TF-IND96L-J97W12400LW30DMV-40K,"97 Watts / 12400 Lumens",4000K
TF-IND96L,TF-IND96L-J97W12400LW30DMV-50K,"97 Watts / 12400 Lumens",5000K
TF-IND96L,TF-IND96L-J114W14000LW30DMV-30K,"114 Watts / 14000 Lumens",3000K
TF-IND96L,TF-IND96L-J114W14000LW30DMV-35K,"114 Watts / 14000 Lumens",3500K
TF-IND96L,TF-IND96L-J114W14000LW30DMV-40K,"114 Watts / 14000 Lumens",4000K
TF-IND96L,TF-IND96L-J114W14000LW30DMV-50K,"114 Watts / 14000 Lumens",5000K
TF-PLIN96L,TF-PLIN96L-F97W11850LDMV-35K-WH-HC4015WH,"97 Watts / 11850 Lumens",3500K
TF-PLIN96L,TF-PLIN96L-F97W11850LDMV-35K-SL-HC4015WH,"97 Watts / 11850 Lumens",3500K
TF-PLIN96L,TF-PLIN96L-F97W11850LDMV-40k-WH-HC4015WH,"97 Watts / 11850 Lumens",4000K
TF-PLIN96L,TF-PLIN96L-F97W11850LDMV-40k-SL-HC4015WH,"97 Watts / 11850 Lumens",4000K
TF-PLIN96L,TF-PLIN96L-F114W12800LDMV-35K-WH-HC4015WH,"114 Watts / 12800 Lumens",3500K
TF-PLIN96L,TF-PLIN96L-F114W12800LDMV-35K-SL-HC4015WH,"114 Watts / 12800 Lumens",3500K
TF-PLIN96L,TF-PLIN96L-F114W12800LDMV-40k-WH-HC4015WH,"114 Watts / 12800 Lumens",4000K
TF-PLIN96L,TF-PLIN96L-F114W12800LDMV-40k-SL-HC4015WH,"114 Watts / 12800 Lumens",4000K
LT-LED-ARFK4-UTD,LT-LED-ARFK4-UTD-14W-2700K,"14 System Watts\, 950 Delivered Lumens",2700K
LT-LED-ARFK4-UTD,LT-LED-ARFK4-UTD-14W-3000K,"14 System Watts\, 950 Delivered Lumens",3000K
LT-LED-ARFK4-UTD,LT-LED-ARFK4-UTD-14W-3500K,"14 System Watts\, 950 Delivered Lumens",3500K
LT-LED-ARFK4-UTD,LT-LED-ARFK4-UTD-14W-4000K,"14 System Watts\, 950 Delivered Lumens",4000K
LT-LED-ARFK4-UTD,LT-LED-ARFK4-UTD-23W-2700K,"23 System Watts\, 1740 Delivered Lumens",2700K
LT-LED-ARFK4-UTD,LT-LED-ARFK4-UTD-23W-3000K,"23 System Watts\, 1740 Delivered Lumens",3000K
LT-LED-ARFK4-UTD,LT-LED-ARFK4-UTD-23W-3500K,"23 System Watts\, 1740 Delivered Lumens",3500K
LT-LED-ARFK4-UTD,LT-LED-ARFK4-UTD-23W-4000K,"23 System Watts\, 1740 Delivered Lumens",4000K
LT-LED-ARFK4-UZTD,LT-LED-ARFK4-UZTD-14W-2700K,"14 System Watts\, 950 Delivered Lumens",2700K
LT-LED-ARFK4-UZTD,LT-LED-ARFK4-UZTD-14W-3000K,"14 System Watts\, 950 Delivered Lumens",3000K
LT-LED-ARFK4-UZTD,LT-LED-ARFK4-UZTD-14W-3500K,"14 System Watts\, 950 Delivered Lumens",3500K
LT-LED-ARFK4-UZTD,LT-LED-ARFK4-UZTD-14W-4000K,"14 System Watts\, 950 Delivered Lumens",4000K
LT-LED-ARFK4-UZTD,LT-LED-ARFK4-UZTD-23W-2700K,"23 System Watts\, 1740 Delivered Lumens",2700K
LT-LED-ARFK4-UZTD,LT-LED-ARFK4-UZTD-23W-3000K,"23 System Watts\, 1740 Delivered Lumens",3000K
LT-LED-ARFK4-UZTD,LT-LED-ARFK4-UZTD-23W-3500K,"23 System Watts\, 1740 Delivered Lumens",3500K
LT-LED-ARFK4-UZTD,LT-LED-ARFK4-UZTD-23W-4000K,"23 System Watts\, 1740 Delivered Lumens",4000K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-14W-2700K,"14 System Watts\, 950 Delivered Lumens",2700K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-14W-3000K,"14 System Watts\, 950 Delivered Lumens",3000K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-14W-3500K,"14 System Watts\, 950 Delivered Lumens",3500K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-14W-4000K,"14 System Watts\, 950 Delivered Lumens",4000K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-23W-2700K,"23 System Watts\, 1790 Delivered Lumens",2700K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-23W-3000K,"23 System Watts\, 1790 Delivered Lumens",3000K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-23W-3500K,"23 System Watts\, 1790 Delivered Lumens",3500K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-23W-4000K,"23 System Watts\, 1790 Delivered Lumens",4000K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-30W-2700K,"30 System Watts\, 2235 Delivered Lumens",2700K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-30W-3000K,"30 System Watts\, 2235 Delivered Lumens",3000K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-30W-3500K,"30 System Watts\, 2235 Delivered Lumens",3500K
LT-LED-ARFK6-UTD,LT-LED-ARFK6-UTD-30W-4000K,"30 System Watts\, 2235 Delivered Lumens",4000K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-14W-2700K,"14 System Watts\, 935 Delivered Lumens",2700K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-14W-3000K,"14 System Watts\, 935 Delivered Lumens",3000K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-14W-3500K,"14 System Watts\, 935 Delivered Lumens",3500K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-14W-4000K,"14 System Watts\, 935 Delivered Lumens",4000K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-23W-2700K,"23 System Watts\, 1700 Delivered Lumens",2700K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-23W-3000K,"23 System Watts\, 1700 Delivered Lumens",3000K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-23W-3500K,"23 System Watts\, 1700 Delivered Lumens",3500K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-23W-4000K,"23 System Watts\, 1700 Delivered Lumens",4000K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-30W-2700K,"30 System Watts\, 2195 Delivered Lumens",2700K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-30W-3000K,"30 System Watts\, 2195 Delivered Lumens",3000K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-30W-3500K,"30 System Watts\, 2195 Delivered Lumens",3500K
LT-LED-ARFK9-UTD,LT-LED-ARFK9-UTD-30W-4000K,"30 System Watts\, 2195 Delivered Lumens",4000K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-14W-2700K,"14 System Watts\, 1090 Delivered Lumens",2700K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-14W-3000K,"14 System Watts\, 1090 Delivered Lumens",3000K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-14W-3500K,"14 System Watts\, 1090 Delivered Lumens",3500K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-14W-4000K,"14 System Watts\, 1090 Delivered Lumens",4000K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-23W-2700K,"23 System Watts\, 1850 Delivered Lumens",2700K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-23W-3000K,"23 System Watts\, 1850 Delivered Lumens",3000K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-23W-3500K,"23 System Watts\, 1850 Delivered Lumens",3500K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-23W-4000K,"23 System Watts\, 1850 Delivered Lumens",4000K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-30W-2700K,"30 System Watts\, 2305 Delivered Lumens",2700K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-30W-3000K,"30 System Watts\, 2305 Delivered Lumens",3000K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-30W-3500K,"30 System Watts\, 2305 Delivered Lumens",3500K
LT-LED-ARFK12-UTD,LT-LED-ARFK12-UTD-30W-4000K,"30 System Watts\, 2305 Delivered Lumens",4000K
LT-LEDH-CFK4-UTD,LT-LEDH-CFK4-UTD-14W-2700K,"14 System Watts\, 950 Delivered Lumens",2700K
LT-LEDH-CFK4-UTD,LT-LEDH-CFK4-UTD-14W-3000K,"14 System Watts\, 950 Delivered Lumens",3000K
LT-LEDH-CFK4-UTD,LT-LEDH-CFK4-UTD-14W-3500K,"14 System Watts\, 950 Delivered Lumens",3500K
LT-LEDH-CFK4-UTD,LT-LEDH-CFK4-UTD-14W-4000K,"14 System Watts\, 950 Delivered Lumens",4000K
LT-LEDH-CFK4-UTD,LT-LEDH-CFK4-UTD-23W-2700K,"23 System Watts\, 1740 Delivered Lumens",2700K
LT-LEDH-CFK4-UTD,LT-LEDH-CFK4-UTD-23W-3000K,"23 System Watts\, 1740 Delivered Lumens",3000K
LT-LEDH-CFK4-UTD,LT-LEDH-CFK4-UTD-23W-3500K,"23 System Watts\, 1740 Delivered Lumens",3500K
LT-LEDH-CFK4-UTD,LT-LEDH-CFK4-UTD-23W-4000K,"23 System Watts\, 1740 Delivered Lumens",4000K
LT-LEDH-CFK4-UZTD,LT-LEDH-CFK4-UZTD-14W-2700K,"14 System Watts\, 950 Delivered Lumens",2700K
LT-LEDH-CFK4-UZTD,LT-LEDH-CFK4-UZTD-14W-3000K,"14 System Watts\, 950 Delivered Lumens",3000K
LT-LEDH-CFK4-UZTD,LT-LEDH-CFK4-UZTD-14W-3500K,"14 System Watts\, 950 Delivered Lumens",3500K
LT-LEDH-CFK4-UZTD,LT-LEDH-CFK4-UZTD-14W-4000K,"14 System Watts\, 950 Delivered Lumens",4000K
LT-LEDH-CFK4-UZTD,LT-LEDH-CFK4-UZTD-23W-2700K,"23 System Watts\, 1740 Delivered Lumens",2700K
LT-LEDH-CFK4-UZTD,LT-LEDH-CFK4-UZTD-23W-3000K,"23 System Watts\, 1740 Delivered Lumens",3000K
LT-LEDH-CFK4-UZTD,LT-LEDH-CFK4-UZTD-23W-3500K,"23 System Watts\, 1740 Delivered Lumens",3500K
LT-LEDH-CFK4-UZTD,LT-LEDH-CFK4-UZTD-23W-4000K,"23 System Watts\, 1740 Delivered Lumens",4000K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-14W-2700K,"14 System Watts\, 1400 Delivered Lumens",2700K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-14W-3000K,"14 System Watts\, 1400 Delivered Lumens",3000K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-14W-3500K,"14 System Watts\, 1400 Delivered Lumens",3500K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-14W-4000K,"14 System Watts\, 1400 Delivered Lumens",4000K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-23W-2700K,"23 System Watts\, 2200 Delivered Lumens",2700K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-23W-3000K,"23 System Watts\, 2200 Delivered Lumens",3000K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-23W-3500K,"23 System Watts\, 2200 Delivered Lumens",3500K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-23W-4000K,"23 System Watts\, 2200 Delivered Lumens",4000K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-30W-2700K,"30 System Watts\, 3200 Delivered Lumens",2700K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-30W-3000K,"30 System Watts\, 3200 Delivered Lumens",3000K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-30W-3500K,"30 System Watts\, 3200 Delivered Lumens",3500K
LT-LEDH-CFK6-UTD,LT-LEDH-CFK6-UTD-30W-4000K,"30 System Watts\, 3200 Delivered Lumens",4000K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-14W-2700K,"14 System Watts\, 950 Delivered Lumens",2700K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-14W-3000K,"14 System Watts\, 950 Delivered Lumens",3000K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-14W-3500K,"14 System Watts\, 950 Delivered Lumens",3500K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-14W-4000K,"14 System Watts\, 950 Delivered Lumens",4000K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-23W-2700K,"23 System Watts\, 1790 Delivered Lumens",2700K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-23W-3000K,"23 System Watts\, 1790 Delivered Lumens",3000K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-23W-3500K,"23 System Watts\, 1790 Delivered Lumens",3500K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-23W-4000K,"23 System Watts\, 1790 Delivered Lumens",4000K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-30W-2700K,"30 System Watts\, 2235 Delivered Lumens",2700K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-30W-3000K,"30 System Watts\, 2235 Delivered Lumens",3000K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-30W-3500K,"30 System Watts\, 2235 Delivered Lumens",3500K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-30W-4000K,"30 System Watts\, 2235 Delivered Lumens",4000K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-45W-2700K,"45 System Watts\, 3220 Delivered Lumens",2700K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-45W-3000K,"45 System Watts\, 3220 Delivered Lumens",3000K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-45W-3500K,"45 System Watts\, 3220 Delivered Lumens",3500K
LT-LEDH-CFK6-UZTD,LT-LEDH-CFK6-UZTD-45W-4000K,"45 System Watts\, 3220 Delivered Lumens",4000K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-14W-2700K,"14 Watts\, 962 Lumens",2700K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-14W-3000K,"14 Watts\, 962 Lumens",3000K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-14W-3500K,"14 Watts\, 962 Lumens",3500K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-14W-4000K,"14 Watts\, 962 Lumens",4000K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-23W-2700K,"23 Watts\, 1760 Lumens",2700K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-23W-3000K,"23 Watts\, 1760 Lumens",3000K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-23W-3500K,"23 Watts\, 1760 Lumens",3500K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-23W-4000K,"23 Watts\, 1760 Lumens",4000K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-30W-2700K,"30 Watts\, 2280 Lumens",2700K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-30W-3000K,"30 Watts\, 2280 Lumens",3000K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-30W-3500K,"30 Watts\, 2280 Lumens",3500K
LT-LEDH-CFK8-UTD,LT-LEDH-CFK8-UTD-30W-4000K,"30 Watts\, 2280 Lumens",4000K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-14W-2700K,"14 System Watts\, 960 Delivered Lumens",2700K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-14W-3000K,"14 System Watts\, 960 Delivered Lumens",3000K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-14W-3500K,"14 System Watts\, 960 Delivered Lumens",3500K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-14W-4000K,"14 System Watts\, 960 Delivered Lumens",4000K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-23W-2700K,"23 System Watts\, 1760 Delivered Lumens",2700K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-23W-3000K,"23 System Watts\, 1760 Delivered Lumens",3000K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-23W-3500K,"23 System Watts\, 1760 Delivered Lumens",3500K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-23W-4000K,"23 System Watts\, 1760 Delivered Lumens",4000K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-30W-2700K,"30 System Watts\, 2280 Delivered Lumens",2700K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-30W-3000K,"30 System Watts\, 2280 Delivered Lumens",3000K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-30W-3500K,"30 System Watts\, 2280 Delivered Lumens",3500K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-30W-4000K,"30 System Watts\, 2280 Delivered Lumens",4000K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-45W-2700K,"45 System Watts\, 3340 Delivered Lumens",2700K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-45W-3000K,"45 System Watts\, 3340 Delivered Lumens",3000K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-45W-3500K,"45 System Watts\, 3340 Delivered Lumens",3500K
LT-LEDH-CFK8-UZTD,LT-LEDH-CFK8-UZTD-45W-4000K,"45 System Watts\, 3340 Delivered Lumens",4000K
LT-LEDH-CFK9-UTD,LT-LEDH-CFK9-UTD-14W-2700K,"14 System Watts\, 935 Delivered Lumens",2700K
LT-LEDH-CFK9-UTD,LT-LEDH-CFK9-UTD-14W-3000K,"14 System Watts\, 935 Delivered Lumens",3000K
LT-LEDH-CFK9-UTD,LT-LEDH-CFK9-UTD-14W-3500K,"14 System Watts\, 935 Delivered Lumens",3500K
LT-LEDH-CFK9-UTD,LT-LEDH-CFK9-UTD-14W-4000K,"14 System Watts\, 935 Delivered Lumens",4000K
LT-LEDH-CFK9-UTD,LT-LEDH-CFK9-UTD-23W-2700K,"23 System Watts\, 1700 Delivered Lumens",2700K
LT-LEDH-CFK9-UTD,LT-LEDH-CFK9-UTD-23W-3000K,"23 System Watts\, 1700 Delivered Lumens",3000K
LT-LEDH-CFK9-UTD,LT-LEDH-CFK9-UTD-23W-3500K,"23 System Watts\, 1700 Delivered Lumens",3500K
LT-LEDH-CFK9-UTD,LT-LEDH-CFK9-UTD-23W-4000K,"23 System Watts\, 1700 Delivered Lumens",4000K
LT-LEDH-CFK9-UTD,LT-LEDH-CFK9-UTD-30W-2700K,"30 System Watts\, 2195 Delivered Lumens",2700K
LT-LEDH-CFK9-UTD,LT-LEDH-CFK9-UTD-30W-3000K,"30 System Watts\, 2195 Delivered Lumens",3000K
