parent_sku,child_sku,Factory_Installed_Lamps
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-360-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-360-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-360-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-360-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-360-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-AISLE-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-AISLE-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-AISLE-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-AISLE-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-AISLE-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-360-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-360-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-360-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-360-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-360-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-AISLE-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-AISLE-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-AISLE-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-AISLE-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-AISLE-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT315-OCC-360-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT315-OCC-360-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT315-OCC-360-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT315-OCC-360-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT315-OCC-360-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT315-OCC-AISLE-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT315-OCC-AISLE-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT315-OCC-AISLE-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT315-OCC-AISLE-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT315-OCC-AISLE-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-5HBD-OCC-360-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-5HBD-OCC-360-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-5HBD-OCC-360-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-5HBD-OCC-360-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-5HBD-OCC-360-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-5HBD-OCC-AISLE-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-5HBD-OCC-AISLE-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-5HBD-OCC-AISLE-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-5HBD-OCC-AISLE-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-5HBD-OCC-AISLE-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-7HBD-OCC-360-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-7HBD-OCC-360-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-7HBD-OCC-360-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-7HBD-OCC-360-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-7HBD-OCC-360-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-7HBD-OCC-AISLE-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-7HBD-OCC-AISLE-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-7HBD-OCC-AISLE-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-7HBD-OCC-AISLE-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-7HBD-OCC-AISLE-CS12,"3500K 85 CRI"
