sku,price-USD,price-USD,mpn,price-USD,product_name,description,item_weight,item_weight-unit
LF3-HL-TYPEIII-100W,N/A,N/A,
LF3-HL-TYPEIII-150W/230W/300W,N/A,N/A,
LF3-HL-TYPEIV-100W,N/A,N/A,
LF3-HL-TYPEIV-150W/230W/300W,N/A,N/A,
LF3-HL-30W-40K-D-KN,30W,4000K,
LF3-HL-30W-50K-D-KN,30W,5000K,
LF3-HL-50W-30K-D-KN,50W,3000K,
LF3-HL-50W-40K-D-KN,50W,4000K,
LF3-15NW-KN,15W,4000K,
LF3-30NW-KN,30W,4000K,
LF3-50NW-KN,50W,4000K,
LF3-15CW-TR,15W,5000K,
LF3-15NW-TR,15W,4000K,
LF3-15WW-TR,15W,3000K,
LF3-30NW-TR,30W,4000K,
LF3-50NW-TR,50W,4000K,
LF3-50WW-TR,50W,3000K,
LF3-WH-15CW-KN,15W,5000K,
LF3-WH-15WW-KN,15W,3000K,
LF3-WH-30WW-KN,30W,3000K,
LF3-WH-50CW-KN,50W,5000K,
LF3-WH-50WW-KN,50W,3000K,
FLH-10W-30K-BR,10W,3000K,
FLH-10W-50K-BR,10W,5000K,
FLH-10W-30K-WH,10W,3000K,
FLH-10W-50K-WH,10W,5000K,
FLS-10W-30K-BR,10W,3000K,
FLS-10W-50K-BR,10W,5000K,
FLS-10W-30K-WH,10W,3000K,
FLS-10W-50K-WH,10W,5000K,
SFX-G5-600W-30D-50K,600W,5000K,
SFX-G5-1000W-30D-50K,1000W,5000K,
SFX-G5-SH1,N/A,N/A,
SFX-G5-SH2,N/A,N/A,
SFX-G5-SF,N/A,N/A,
SFX-G5-RB,N/A,N/A,
SFX-POINTER,N/A,N/A,
LF4-12CW-KN,12W,5000K,
LF4-30CW-KN,30W,5000K,
LF4-50CW-KN,50W,5000K,
LF4-50WW-KN,50W,3000K,
LF4-80CW-SF,80W,5000K,
LF4-80WW-SF,80W,3000K,
LF4-100CW-SF,100W,5000K,
LF4-100WW-SF,100W,3000K,
LF4-150CW-SF,150W,5000K,
LF4-150WW-SF,150W,3000K,
LF4-12CW-TR,12W,5000K,
LF4-30CW-TR,30W,5000K,
LF4-30WW-TR,30W,3000K,
LF4-50CW-TR,50W,5000K,
LF4-80CW-TR,80W,5000K,
LF4-80WW-TR,80W,3000K,
LF4-100CW-TR,100W,5000K,
LF4-100WW-TR,100W,3000K,
LF4-150CW-TR,150W,5000K,
LF4-150WW-TR,150W,3000K,
LF5-380CW-480V,380W,5000K,
LF-AD-SF,N/A,N/A,
LF5-EXTARM,N/A,N/A,
EXPF-30W-60K,30W,6000K,
EXPF-100W-60K,100W,6000K,
EXPF-180W-60K,180W,6000K,
LF-AD-SF-GY,N/A,N/A,
SOLF-17W-50K,17W,5000K,
SOLF-36W-50K,36W,5000K,
SOLF-54W-50K,54W,5000K,
SOLF-SFA,N/A,N/A,
SOLF-WM-17W,N/A,N/A,
SOLF-WM-36W/54W,N/A,N/A,
SOLF-PMR-17W,N/A,N/A,
SOLF-PMR-36W/54W,N/A,N/A,
SOLF-PMS-17W,N/A,N/A,
SOLF-PMS-36W/54W,N/A,N/A,
SOLF-RC,N/A,N/A,
STL2-30W-30K,30W,3000K,
STL2-30W-50K,30W,5000K,
STL2-50W-30K,50W,3000K,
STL3-50W-50K,50W,5000K,
STL2-80W-30K,80W,3000K,
STL2-80W-50K,80W,5000K,
STL2-100W-30K,100W,3000K,
STL2-100W-50K,100W,5000K,
STL2-150W-30K,150W,3000K,
STL3-150W-50K,150W,5000K,
STL2-200W-30K,200w,3000K,
STL3-200W-50K,200W,5000K,
STL2-90W-50K-480V,90W,5000K,
STL2-150W-50K-480V,150W,5000K,
STL2-200W-50K-480V,200W,5000K,
STL2-WMA,N/A,N/A,
GS-CANOPY-150W-50K,150W,5000K,
GS-CANOPY-SMB,N/A,N/A,
CDX-35W-35K-BR,35W,3500K,
CDX-35W-35K-WH,35W,3500K,
CDX-35W-40K-BR,35W,4000K,
CDX-35W-40K-WH,35W,4000K,
CDX-35W-50K-BR,35W,5000K,
CDX-35W-50K-WH,35W,5000K,
CDX-55W-35K-BR,55W,3500K,
CDX-55W-35K-WH,55W,3500K,
CDX-55W-40K-BR,55W,4000K,
CDX-55W-40K-WH,55W,4000K,
