sku,cost-USD,family,mpn,price-USD,product_name,description,item_weight,item_weight-unit
INLWA-12CW,845060001822,12W,WA-12CW,1207228574031.4
INLWA-12WW,845060001815,12W,WA-12WW,1207228574021.4
INLWA-20NW,845060025941,20W,WA-20NW,1207228608487.1
INLWA-80NW,845060025934,80W,WA-80NW,1207228608477.1
INLWA-80WW,845060001877,80W,WA-80WW,1207228574110
INLWA-120NW,845060025897,120W,WA-120NW,1207228608424.3
INLWA-120WW,845060001891,120W,WA-120WW,1207228574130
INLWA-12CW-WH,845060003925,12W,WA-12CW-WH,1207228577035.7
INLWA-12WW-WH,845060003932,12W,WA-12WW-WH,1207228577045.7
INLWA-20CW-WH,845060004359,20W,WA-20CW-WH,1207228577655.7
INLWA-20WW-WH,845060004366,20W,WA-20WW-WH,1207228577665.7
INLWA-30CW-WH,845060003949,30W,WA-30CW-WH,1207228577070
INLWA-30WW-WH,845060003956,30W,WA-30WW-WH,1207228577080
INLWA-50CW-WH,845060003963,50W,WA-50CW-WH,1207228577090
INLWA-50WW-WH,845060003970,50W,WA-50WW-WH,1207228577100
INLWA-SH1,845060015973,N/A,WA-SH1,1207228594247.1
INLWA-SH2,845060015980,N/A,WA-SH2,1207228594257.1
INLWA-SH3,845060015997,N/A,WA-SH3,1207228594281.4
INLWP2-80CW,845060002522,80W,WP2-80CW,1207228575031.4
INLWP2-80NW,845060029710,80W,WP2-80NW,1207228613871.4
INLW360-25W-30K,845060042467,25W,W360-25W-30K,1207228632095.7
INLW360-25W-50K,845060041699,25W,W360-25W-50K,1207228630998.6
INLW360-40W-30K,845060035025,40W,W360-40W-30K,1207228621464.3
INLW360-40W-50K,845060036961,40W,W360-40W-50K,1207228624230
INLW360-60W-30K,845060044799,60W,W360-60W-30K,1207228635427.1
INLW360-60W-40K,845060029673,60W,W360-60W-40K,1207228613818.6
INLW360-60W-50K,845060044782,60W,W360-60W-50K,1207228635402.9
INLW360-80W-30K,845060033915,80W,W360-80W-30K,1207228619878.6
INLW360-80W-40K,845060029680,80W,W360-80W-40K,1207228613828.6
INLW360-80W-50K,845060042368,80W,W360-80W-50K,1207228631954.3
INLW360-25W-30K-WH,845060015898,25W,W360-25W-30K-WH,1207228594140
INLW360-25W-50K-WH,845060015904,25W,W360-25W-50K-WH,1207228594148.6
INLW360-40W-30K-WH,845060015911,40W,W360-40W-30K-WH,1207228594158.6
INLW360-40W-50K-WH,845060015928,40W,W360-40W-50K-WH,1207228594182.9
INLW360-SH1,845060047172,N/A,W360-SH1,1207228638817.1
INWML2-28W-50K-HL-SM,845060010572,28W,ML2-28W-50K-HL-SM,1207228586531.4
INWML2-28W-40K-HL-SM,845060010589,28W,ML2-28W-40K-HL-SM,1207228586555.7
INWML2-28W-30K-HL-SM,845060010596,28W,ML2-28W-30K-HL-SM,1207228586565.7
