sku,mpn,price-USD,product_name,description,item_weight,item_weight-unit
INA19-8PK-9W-30K-D,845060037487,9W,700LM,,3000K,17.94,16.94,15.94,26.78,23.74,19-8PK-9W-30K-D
INA19-8PK-9W-40K-D,845060037470,9W,810LM,,4000K,17.94,16.94,15.94,26.78,23.74,19-8PK-9W-40K-D
INA19-8PK-9W-50K-D,845060037463,9W,810LM,,5000K,17.94,16.94,15.94,26.78,23.74,19-8PK-9W-50K-D
INA19-40PK-9W-30K-D,845060002157,9W,700LM,,3000K,83.98,76.94,69.90,122.78,105.74,19-40PK-9W-30K-D
INA19-40PK-9W-40K-D,845060002164,9W,810LM,,4000K,83.98,76.94,69.90,122.78,105.74,19-40PK-9W-40K-D
INA19-40PK-9W-50K-D,845060002171,9W,810LM,,5000K,83.98,76.94,69.90,122.78,105.74,19-40PK-9W-50K-D
INA-41-S,845060042481,N/A,N/A,,N/A,7.92,7.92,7.92,12.78,11.74,-41-S
INA-41-BR,845060042498,N/A,N/A,,N/A,3.39,3.39,3.39,5.38,4.87,-41-BR
INA-41-BK,845060042504,N/A,N/A,,N/A,3.39,3.39,3.39,5.38,4.87,-41-BK
