sku,cost-USD,mpn,mpn,price-USD,product_name,description,item_weight,item_weight-unit
INA19-40PK-9W-30K-D,845060002157,9W,700LM,19-40PK-9W-30K-D,1207228574510
INA19-40PK-9W-40K-D,845060002164,9W,810LM,19-40PK-9W-40K-D,1207228574520
INA-41-S,845060042481,N/A,N/A,-41-S,1207228632115.7
INA-41-BR,845060042498,N/A,N/A,-41-BR,1207228632140
INA-41-BK,845060042504,N/A,N/A,-41-BK,1207228632148.6
