parent_sku,child_sku,"Select Light Source"
TF-CV8002,TF-CV8002-17MV,"2 lamp 17W T8 2ft. fixture"
TF-CV8002,TF-CV8002-32MV,"2 lamp 32W T8 4 ft. fixture"
