parent_sku,child_sku,"Wattage Up / Down Options"
TF-SM302LU5WD,TF-SM302LU5WD-35WMV50KBZ,"5W / 35W"
TF-SM302LU5WD,TF-SM302LU5WD-70WMV50KBZ,"5W / 70W"
