sku,upc_ean,cost-USD,msrp-USD,imap-USD,mpn
WM-SCL-CSY1-6FT,845060058352,6.41,10.78,9.74,SCL-CSY1-6FT
WM-SCL-CSY1P-6FT,845060058369,16.18,25.78,22.74,SCL-CSY1P-6FT
WM-SCXR-4FT-40W-MCT4-D,845060057669,143.90,252.78,228.74,SCXR-4FT-40W-MCT4-D
WM-SCXR-8FT-80W-MCT4-D,845060057676,239.90,420.78,380.74,SCXR-8FT-80W-MCT4-D
WM-SCX-2FT-20W-MCT4-D,845060056808,80.90,142.78,129.74,SCX-2FT-20W-MCT4-D
WM-SCX-3FT-30W-MCT4-D,845060056815,107.90,188.78,171.74,SCX-3FT-30W-MCT4-D
WM-SCX-4FT-40W-MCT4-D,845060056822,111.90,196.78,178.74,SCX-4FT-40W-MCT4-D
WM-SCX-6FT-60W-MCT4-D,845060056839,165.90,290.78,263.74,SCX-6FT-60W-MCT4-D
WM-SCX-8FT-80W-MCT4-D,845060056846,219.90,385.78,349.74,SCX-8FT-80W-MCT4-D
WM-SCX2-2FT-20W-MCT4-D,845060056990,86.90,152.78,137.74,SCX2-2FT-20W-MCT4-D
WM-SCX2-3FT-30W-MCT4-D,845060057003,117.90,206.78,186.74,SCX2-3FT-30W-MCT4-D
WM-SCX2-4FT-40W-MCT4-D,845060057010,121.90,214.78,194.74,SCX2-4FT-40W-MCT4-D
WM-SCX2-6FT-60W-MCT4-D,845060057027,178.90,312.78,283.74,SCX2-6FT-60W-MCT4-D
WM-SCX2-8FT-80W-MCT4-D,845060057034,238.90,419.78,379.74,SCX2-8FT-80W-MCT4-D
WM-SCX4-2FT-20W-MCT4-D,845060057089,99.90,176.78,159.74,SCX4-2FT-20W-MCT4-D
WM-SCX4-3FT-30W-MCT4-D,845060057096,132.90,233.78,211.74,SCX4-3FT-30W-MCT4-D
WM-SCX4-4FT-40W-MCT4-D,845060057102,138.90,242.78,219.74,SCX4-4FT-40W-MCT4-D
WM-SCX4-6FT-60W-MCT4-D,845060057119,202.90,354.78,320.74,SCX4-6FT-60W-MCT4-D
