parent_sku,Child_sku,ProductId,Product Name,,,
AT-CPPG,AT-CPPG-90W8500LM-5000K,12605,[S]Wattage & Lumen Options,90 Watts / 8500 Lumens,[S]Color Temperature (CCT),5000K (default)
NL-TP260,NL-TP260-W20-30K,12626,[S]Wattage & Lumen Options,20 Watts / 2\400 Lumens,[S]Color Temperature (CCT),3000K
NL-TP260,NL-TP260-W20-40K,12627,[S]Wattage & Lumen Options,20 Watts / 2\400 Lumens,[S]Color Temperature (CCT),4000K
NL-TP260,NL-TP260-W20-50K,12628,[S]Wattage & Lumen Options,20 Watts / 2\400 Lumens,[S]Color Temperature (CCT),5000K
NL-TP260,NL-TP260-W35-30K,12629,[S]Wattage & Lumen Options,35 Watts / 4\200 Lumens,[S]Color Temperature (CCT),3000K
NL-TP260,NL-TP260-W35-40K,12630,[S]Wattage & Lumen Options,35 Watts / 4\200 Lumens,[S]Color Temperature (CCT),4000K
NL-TP260,NL-TP260-W35-50K,12631,[S]Wattage & Lumen Options,35 Watts / 4\200 Lumens,[S]Color Temperature (CCT),5000K
TL-TECBTA-24,TL-TECBTA-24-30W-40K,12662,[S]Wattage Options,30 Watts,[S]Color Temperature (CCT),4000K
TL-TECBTA-24,TL-TECBTA-24-30W-50K-D1-W,12663,[S]Wattage Options,30 Watts,[S]Color Temperature (CCT),5000K
TL-TECBTA-24,TL-TECBTA-24-40W-40K-D1-W,12665,[S]Wattage Options,40 Watts,[S]Color Temperature (CCT),4000K
TL-TECBTA-24,TL-TECBTA-24-40W-50K,12666,[S]Wattage Options,40 Watts,[S]Color Temperature (CCT),5000K
BL-DXR,BL-DXR-65,12835,[S]Output Voltage,6 Volts,[S]Fixture Wattage,50 Watts
BL-DXR,BL-DXR-610,12836,[S]Output Voltage,6 Volts,[S]Fixture Wattage,100 Watts
BL-DXR,BL-DXR-125,12837,[S]Output Voltage,12 Volts,[S]Fixture Wattage,50 Watts
BL-DXR,BL-DXR-1210,12839,[S]Output Voltage,12 Volts,[S]Fixture Wattage,100 Watts
PI-PT-HBL4,PI-PT-HBL4-105W-40K,12844,[S]Wattage & Lumen Options,105W / 13\906 Lumens,[S]Color Temperature (CCT),4000K
PI-PT-HBL4,PI-PT-HBL4-155W-40K,12845,[S]Wattage & Lumen Options,155W / 20\618 Lumens,[S]Color Temperature (CCT),4000K
PI-PT-HBL4,PI-PT-HBL4-170W-40K,12846,[S]Wattage & Lumen Options,170W / 22\950 Lumens,[S]Color Temperature (CCT),4000K
PI-PT-HBL4,PI-PT-HBL4-210W-40K,12847,[S]Wattage & Lumen Options,210W / 28\236 Lumens,[S]Color Temperature (CCT),4000K
PI-PT-HBL4,PI-PT-HBL4-300W-40K,12848,[S]Wattage & Lumen Options,300W / 40\470 Lumens,[S]Color Temperature (CCT),4000K
PI-PT-HBL4,PI-PT-HBL4-105W-50K,12849,[S]Wattage & Lumen Options,105W / 13\906 Lumens,[S]Color Temperature (CCT),5000K (Standard)
PI-PT-HBL4,PI-PT-HBL4-155W-50K,12850,[S]Wattage & Lumen Options,155W / 20\618 Lumens,[S]Color Temperature (CCT),5000K (Standard)
PI-PT-HBL4,PI-PT-HBL4-170W-50K,12851,[S]Wattage & Lumen Options,170W / 22\950 Lumens,[S]Color Temperature (CCT),5000K (Standard)
PI-PT-HBL4,PI-PT-HBL4-210W-50K,12852,[S]Wattage & Lumen Options,210W / 28\236 Lumens,[S]Color Temperature (CCT),5000K (Standard)
PI-PT-HBL4,PI-PT-HBL4-300W-50K,12853,[S]Wattage & Lumen Options,300W / 40\470 Lumens,[S]Color Temperature (CCT),5000K (Standard)
DG-DTRBQF1X15UHA,DG-DTRBQF1X15UHA-BR,74465,[S]Finish Options,Bronze,[S]Height Options,42 Standard Height
DG-DTRBQF1X15UHA,DG-DTRBQF1X15UHA-BR-36,74466,[S]Finish Options,Bronze,[S]Height Options,36 Height
DG-DTRBQF1X15UHA,DG-DTRBQF1X15UHA-BR-30,74467,[S]Finish Options,Bronze,[S]Height Options,30 Height
DG-DTRBQF1X15UHA,DG-DTRBQF1X15UHA-BL,74468,[S]Finish Options,Black,[S]Height Options,42 Standard Height
DG-DTRBQF1X15UHA,DG-DTRBQF1X15UHA-BL-36,74469,[S]Finish Options,Black,[S]Height Options,36 Height
DG-DTRBQF1X15UHA,DG-DTRBQF1X15UHA-BL-30,74470,[S]Finish Options,Black,[S]Height Options,30 Height
TF-131A14L,TF-131A14L-J35W4300LDMV-30K,13407,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),3000K
TF-131A14L,TF-131A14L-J35W4300LDMV-35K,13408,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),3500K
