parent_sku,Child_sku,ProductId,Product Name,Value
E-F17T8,F17T8-830,4789,[S]Color Temperature (CCT),3000K
E-F17T8,F17T8-835,4790,[S]Color Temperature (CCT),3500K
E-F17T8,F17T8-841,4791,[S]Color Temperature (CCT),4100K
E-F17T8,F17T8-850,4792,[S]Color Temperature (CCT),5000K (Default)
TF-LINPF2328MV,TF-LINPF2328MV-WHHC301WH,10363,[S]Finish Options,White
TF-LINPF2328MV,TF-LINPF2328MV-SLHC301WH,10364,[S]Finish Options,Silver
TF-LINPF2328MV,TF-LINPF2328MV-BKHC301WH,10365,[S]Finish Options,Black
TF-LINPF2328MV,TF-LINPF2328MV-RDHC301WH,10366,[S]Finish Options,Red
TF-LINPF2328MV,TF-LINPF2328MV-IRHC301WH,10367,[S]Finish Options,Iron
TF-LINPF232MV,TF-LINPF232MV-WHHC301WH,10368,[S]Finish Options,White
TF-LINPF232MV,TF-LINPF232MV-SLHC301WH,10369,[S]Finish Options,Silver
TF-LINPF232MV,TF-LINPF232MV-BKHC301WH,10370,[S]Finish Options,Black
TF-LINPF232MV,TF-LINPF232MV-RDHC301WH,10371,[S]Finish Options,Red
TF-LINPF232MV,TF-LINPF232MV-INHC301WH,10372,[S]Finish Options,Iron
TF-LINPF2548MV,TF-LINPF2548MV-WHHC301WH,10373,[S]Finish Options,White
TF-LINPF2548MV,TF-LINPF2548MV-SLHC301WH,10374,[S]Finish Options,Silver
TF-LINPF2548MV,TF-LINPF2548MV-BKHC301WH,10375,[S]Finish Options,Black
TF-LINPF2548MV,TF-LINPF2548MV-RDHC301WH,10376,[S]Finish Options,Red
TF-LINPF2548MV,TF-LINPF2548MV-INHC301WH,10377,[S]Finish Options,Iron
TF-LINPF3548MV,TF-LINPF3548MV-WHHC301WH,10378,[S]Finish Options,White
TF-LINPF3548MV,TF-LINPF3548MV-SLHC301WH,10379,[S]Finish Options,Silver
TF-LINPF3548MV,TF-LINPF3548MV-BKHC301WH,10380,[S]Finish Options,Black
TF-LINPF3548MV,TF-LINPF3548MV-RDHC301WH,10381,[S]Finish Options,Red
TF-LINPF3548MV,TF-LINPF3548MV-INHC301WH,10382,[S]Finish Options,Iron
TF-LINPF354MV,TF-LINPF354MV-WHHC301WH,10383,[S]Finish Options,White
TF-LINPF354MV,TF-LINPF354MV-SLHC301WH,10384,[S]Finish Options,Silver
TF-LINPF354MV,TF-LINPF354MV-BKHC301WH,10385,[S]Finish Options,Black
TF-LINPF354MV,TF-LINPF354MV-RDHC301WH,10386,[S]Finish Options,Red
TF-LINPF354MV,TF-LINPF354MV-INHC301WH,10387,[S]Finish Options,Iron
TF-LINLV2548MV,TF-LINLV2548MV-WHHC301WH,10388,[S]Finish Options,White
TF-LINLV2548MV,TF-LINLV2548MV-SLHC301WH,10389,[S]Finish Options,Silver
TF-LINLV2548MV,TF-LINLV2548MV-BKHC301WH,10390,[S]Finish Options,Black
TF-LINLV2548MV,TF-LINLV2548MV-RDHC301WH,10391,[S]Finish Options,Red
TF-LINLV2548MV,TF-LINLV2548MV-INHC301WH,10392,[S]Finish Options,Iron
TF-LINLV254MV,TF-LINLV254MV-WHHC301WH,10393,[S]Finish Options,White
TF-LINLV254MV,TF-LINLV254MV-SLHC301WH,10394,[S]Finish Options,Silver
TF-LINLV254MV,TF-LINLV254MV-BKHC301WH,10395,[S]Finish Options,Black
TF-LINLV254MV,TF-LINLV254MV-RDHC301WH,10396,[S]Finish Options,Red
TF-LINLV254MV,TF-LINLV254MV-INHC301WH,10397,[S]Finish Options,Iron
TF-LINLV3548MV,TF-LINLV3548MV-WHHC301WH,10398,[S]Finish Options,White
TF-LINLV3548MV,TF-LINLV3548MV-SLHC301WH,10399,[S]Finish Options,Silver
TF-LINLV3548MV,TF-LINLV3548MV-BKHC301WH,10400,[S]Finish Options,Black
TF-LINLV3548MV,TF-LINLV3548MV-RDHC301WH,10401,[S]Finish Options,Red
TF-LINLV3548MV,TF-LINLV3548MV-INHC301WH,10402,[S]Finish Options,Iron
TF-LINLV354MV,TF-LINLV354MV-WHHC301WH,10403,[S]Finish Options,White
TF-LINLV354MV,TF-LINLV354MV-BKHC301WH,10404,[S]Finish Options,Black
TF-LINLV354MV,TF-LINLV354MV-SLHC301WH,10405,[S]Finish Options,Silver
TF-LINLV354MV,TF-LINLV354MV-RDHC301WH,10406,[S]Finish Options,Red
TF-LINLV354MV,TF-LINLV354MV-INHC301WH,10407,[S]Finish Options,Iron
TF-LINMW2328MV,TF-LINMW2328MV-WHHC301WH,10408,[S]Finish Options,White
TF-LINMW2328MV,TF-LINMW2328MV-BKHC301WH,10409,[S]Finish Options,Black
TF-LINMW2328MV,TF-LINMW2328MV-SLHC301WH,10410,[S]Finish Options,Silver
TF-LINMW2328MV,TF-LINMW2328MV-RDHC301WH,10411,[S]Finish Options,Red
TF-LINMW2328MV,TF-LINMW2328MV-INHC301WH,10412,[S]Finish Options,Iron
TF-LINMW232MV,TF-LINMW232MV-WHHC301WH,10413,[S]Finish Options,White
TF-LINMW232MV,TF-LINMW232MV-BKHC301WH,10414,[S]Finish Options,Black
TF-LINMW232MV,TF-LINMW232MV-RDHC301WH,10415,[S]Finish Options,Red
TF-LINMW232MV,TF-LINMW232MV-INHC301WH,10416,[S]Finish Options,Iron
TF-LINMW2548MV,TF-LINMW2548MV-WHHC301WH,10417,[S]Finish Options,White
TF-LINMW2548MV,TF-LINMW2548MV-BKHC301WH,10418,[S]Finish Options,Black
TF-LINMW2548MV,TF-LINMW2548MV-SLHC301WH,10419,[S]Finish Options,Silver
TF-LINMW2548MV,TF-LINMW2548MV-RDHC301WH,10420,[S]Finish Options,Red
TF-LINMW2548MV,TF-LINMW2548MV-INHC301WH,10421,[S]Finish Options,Iron
TF-LINMW254MV,TF-LINMW254MV-WHHC301WH,10422,[S]Finish Options,White
TF-LINMW254MV,TF-LINMW254MV-BKHC301WH,10423,[S]Finish Options,Black
TF-LINMW254MV,TF-LINMW254MV-RDHC301WH,10424,[S]Finish Options,Red
TF-LINMW254MV,TF-LINMW254MV-INHC301WH,10425,[S]Finish Options,Iron
TF-LINMW3548MV,TF-LINMW3548MV-WHHC301WH,10426,[S]Finish Options,White
TF-LINMW3548MV,TF-LINMW3548MV-BKHC301WH,10427,[S]Finish Options,Black
TF-LINMW3548MV,TF-LINMW3548MV-SLHC301WH,10428,[S]Finish Options,Silver
TF-LINMW3548MV,TF-LINMW3548MV-RDHC301WH,10429,[S]Finish Options,Red
TF-LINMW3548MV,TF-LINMW3548MV-INHC301WH,10430,[S]Finish Options,Iron
TF-LINMW354MV,TF-LINMW354MV-WHHC301WH,10431,[S]Finish Options,White
TF-LINMW354MV,TF-LINMW354MV-BKHC301WH,10432,[S]Finish Options,Black
TF-LINMW354MV,TF-LINMW354MV-SLHC301WH,10433,[S]Finish Options,Silver
TF-LINMW354MV,TF-LINMW354MV-RDHC301WH,10434,[S]Finish Options,Red
TF-LINMW354MV,TF-LINMW354MV-INHC301WH,10435,[S]Finish Options,Iron
TF-PLIN2328MV,TF-PLIN2328MV-WHHC401WH,10463,[S]Finish Options,White
TF-PLIN2328MV,TF-PLIN2328MV-SLHC401WH,10464,[S]Finish Options,Metallic Silver
TF-PLIN2328MV,TF-PLIN2328MV-RDHC401WH,10465,[S]Finish Options,Red
TF-PLIN2328MV,TF-PLIN2328MV-INHC401WH,10466,[S]Finish Options,Iron
TF-PLIN232MV,TF-PLIN232MV-WHHC401WH,10467,[S]Finish Options,White
TF-PLIN232MV,TF-PLIN232MV-SLHC401WH,10468,[S]Finish Options,Metallic Silver
TF-PLIN232MV,TF-PLIN232MV-RDHC401WH,10469,[S]Finish Options,Red
TF-PLIN232MV,TF-PLIN232MV-INHC401WH,10470,[S]Finish Options,Iron
TF-PLIN2548MV,TF-PLIN2548MV-WHHC401WH,10471,[S]Finish Options,White
TF-PLIN2548MV,TF-PLIN2548MV-SLWHC401WH,10472,[S]Finish Options,Metallic Silver
TF-PLIN254MV,TF-PLIN254MV-WHHC401WH,10473,[S]Finish Options,White
TF-PLIN254MV,TF-PLIN254MV-SLHC401WH,10474,[S]Finish Options,Metallic Silver
TF-PLIN3548MV,TF-PLIN3548MV-WHHC401WH,10475,[S]Finish Options,White
TF-PLIN3548MV,TF-PLIN3548MV-SLHC401WH,10476,[S]Finish Options,Metallic Silver
TF-CV8001,TF-CV8001-17MV,10492,[S]Light Source Options,1 lamp 17W T8 2 ft. fixture
TF-CV8001,TF-CV8001-32MV,10493,[S]Light Source Options,1 lamp 32W T8 4 ft. fixture
TF-CV8002,TF-CV8002-17MV,10494,[S]Select Light Source,2 lamp 17W T8 2ft. fixture
TF-CV8002,TF-CV8002-32MV,10495,[S]Select Light Source,2 lamp 32W T8 4 ft. fixture
TF-ECLMW217S,TF-ECLMW217S-WH,10496,[S]End Cap Finish Options,White
TF-ECLMW217S,TF-ECLMW217S-WM,10497,[S]End Cap Finish Options,White Marble
TF-ECLMW217S,TF-ECLMW217S-IM,10498,[S]End Cap Finish Options,Ivory Marble
TF-ECLMW217S,TF-ECLMW217S-BM,10499,[S]End Cap Finish Options,Black Marble
TF-ECLMW217S,TF-ECLMW217S-SI,10500,[S]End Cap Finish Options,Silver
TF-ECLMW217S,TF-ECLMW217S-TO,10501,[S]End Cap Finish Options,Tortoise
TF-ECLMW232S,TF-ECLMW232S-WH,10502,[S]End Cap Finish Options,White
TF-ECLMW232S,TF-ECLMW232S-WM,10503,[S]End Cap Finish Options,White Marble
TF-ECLMW232S,TF-ECLMW232S-IM,10504,[S]End Cap Finish Options,Ivory Marble
TF-ECLMW232S,TF-ECLMW232S-BM,10505,[S]End Cap Finish Options,Black Marble
TF-ECLMW232S,TF-ECLMW232S-SL,10506,[S]End Cap Finish Options,Silver
TF-ECLMW232S,TF-ECLMW232S-TO,10507,[S]End Cap Finish Options,Tortoise
TF-ECLMW417S,TF-ECLMW417S-WH,10508,[S]End Cap Finish Options,White
TF-ECLMW417S,TF-ECLMW417S-WM,10509,[S]End Cap Finish Options,White Marble
TF-ECLMW417S,TF-ECLMW417S-IM,10510,[S]End Cap Finish Options,Ivory Marble
TF-ECLMW417S,TF-ECLMW417S-BM,10511,[S]End Cap Finish Options,Black Marble
TF-ECLMW417S,TF-ECLMW417S-SI,10512,[S]End Cap Finish Options,Silver
TF-ECLMW417S,TF-ECLMW417S-TO,10513,[S]End Cap Finish Options,Tortoise
TF-ECLMW432S,TF-ECLMW432S-WH,10514,[S]End Cap Finish Options,White
TF-ECLMW432S,TF-ECLMW432S-WM,10515,[S]End Cap Finish Options,White Marble
TF-ECLMW432S,TF-ECLMW432S-IM,10516,[S]End Cap Finish Options,Ivory Marble
TF-ECLMW432S,TF-ECLMW432S-BM,10517,[S]End Cap Finish Options,Black Marble
TF-ECLMW432S,TF-ECLMW432S-SL,10518,[S]End Cap Finish Options,Silver
TF-ECLMW432S,TF-ECLMW432S-TO,10519,[S]End Cap Finish Options,Tortoise
TF-ECLA217S,TF-ECLA217S-WH,10520,[S]End Cap Finish Options,White
TF-ECLA217S,TF-ECLA217S-WM,10521,[S]End Cap Finish Options,White Marble
TF-ECLA217S,TF-ECLA217S-IM,10522,[S]End Cap Finish Options,Ivory Marble
TF-ECLA217S,TF-ECLA217S-BM,10523,[S]End Cap Finish Options,Black Marble
TF-ECLA217S,TF-ECLA217S-SI,10524,[S]End Cap Finish Options,Silver
TF-ECLA217S,TF-ECLA217S-TO,10525,[S]End Cap Finish Options,Tortoise
TF-ECLA232S,TF-ECLA232S-WH,10526,[S]End Cap Finish Options,White
TF-ECLA232S,TF-ECLA232S-WM,10527,[S]End Cap Finish Options,White Marble
TF-ECLA232S,TF-ECLA232S-IM,10528,[S]End Cap Finish Options,Ivory Marble
TF-ECLA232S,TF-ECLA232S-BM,10529,[S]End Cap Finish Options,Black Marble
TF-ECLA232S,TF-ECLA232S-SL,10530,[S]End Cap Finish Options,Silver
TF-ECLA232S,TF-ECLA232S-TO,10531,[S]End Cap Finish Options,Tortoise
TF-ECLRE417S,TF-ECLRE417S-WH,10532,[S]End Cap Finish Options,White
TF-ECLRE417S,TF-ECLRE417S-WM,10533,[S]End Cap Finish Options,White Marble
TF-ECLRE417S,TF-ECLRE417S-IM,10534,[S]End Cap Finish Options,Ivory Marble
TF-ECLRE417S,TF-ECLRE417S-BM,10535,[S]End Cap Finish Options,Black Marble
TF-ECLRE417S,TF-ECLRE417S-SL,10536,[S]End Cap Finish Options,Silver
TF-ECLRE417S,TF-ECLRE417S-TO,10537,[S]End Cap Finish Options,Tortoise
TF-ECLRE432S,TF-ECLRE432S-WH,10538,[S]End Cap Finish Options,White
TF-ECLRE432S,TF-ECLRE432S-WM,10539,[S]End Cap Finish Options,White Marble
TF-ECLRE432S,TF-ECLRE432S-IM,10540,[S]End Cap Finish Options,Ivory Marble
TF-ECLRE432S,TF-ECLRE432S-BM,10541,[S]End Cap Finish Options,Black Marble
TF-ECLRE432S,TF-ECLRE432S-SL,10542,[S]End Cap Finish Options,Silver
TF-ECLRE432S,TF-ECLRE432S-TO,10543,[S]End Cap Finish Options,Tortoise
TF-WLINLV2328MV,TF-WLINLV2328MV-WH,10544,[S]Finish Options,White
TF-WLINLV2328MV,TF-WLINLV2328MV-BK,10545,[S]Finish Options,Black
TF-WLINLV2328MV,TF-WLINLV2328MV-SL,10546,[S]Finish Options,Silver
TF-WLINLV2328MV,TF-WLINLV2328MV-IN,10547,[S]Finish Options,Iron
TF-WLINLV232MV,TF-WLINLV232MV-WH,10548,[S]Finish Options,White
TF-WLINLV232MV,TF-WLINLV232MV-BK,10549,[S]Finish Options,Black
TF-WLINLV232MV,TF-WLINLV232MV-SL,10550,[S]Finish Options,Silver
TF-WLINLV232MV,TF-WLINLV232MV-IN,10551,[S]Finish Options,Iron
TF-BKRA117MV,TF-BKRA117MV-WH,10552,[S]Finish Options,White Back Plate and End Caps (standard)
TF-BKRA117MV,TF-BKRA117MV-CHE,10553,[S]Finish Options,White Back Plate and Chrome End Caps
TF-BKRA117MV,TF-BKRA117MV-CH,10554,[S]Finish Options,Chrome Back Plate and End Caps
TF-WLINLV2548MV,TF-WLINLV2548MV-WH,10555,[S]Finish Options,White
TF-WLINLV2548MV,TF-WLINLV2548MV-BK,10556,[S]Finish Options,Black
TF-WLINLV2548MV,TF-WLINLV2548MV-SL,10557,[S]Finish Options,Silver
TF-WLINLV2548MV,TF-WLINLV2548MV-IN,10558,[S]Finish Options,Iron
