sku,upc_ean,cost-USD,msrp-USD,imap-USD
WM-LFCO-SA,845060031560,30.98,49.78,43.74
WM-LFCO-SF,845060031553,33.98,53.78,47.74
WM-LFCO-TR1,845060031577,15.41,24.78,21.74
WM-LFCO-TR2,845060031584,18.30,29.78,25.74
WM-LFCO-YK,845060031591,15.41,24.78,21.74
WM-LF3-HL-100W-30K,845060017694,105.98,168.78,149.74
WM-LF3-HL-150W-30K,845060017724,113.98,181.78,160.74
WM-LF3-HL-150W-40K,845060025231,138.90,226.78,201.74
WM-LF3-HL-150W-50K,845060017717,138.90,226.78,201.74
WM-LF3-HL-100W-40K-480V,845060025217,161.98,257.78,228.74
WM-LF3-HL-150W-40K-480V,845060025248,256.90,444.78,394.74
WM-LF3-HL-230W-40K-480V,845060025279,204.98,325.78,288.74
WM-LF3-HL-80W-40K-TR,845060025330,134.90,215.78,191.74
WM-LF3-HL-SF,845060017786,30.98,49.78,43.74
WM-LF3-HL-RSF,845060022247,38.98,61.78,54.74
WM-LF3-HL-FSF,845060022230,31.98,50.78,45.74
WM-LF3-HL-YK-100W/150W/230W,845060017793,18.30,29.78,25.74
WM-LF3-HL-YK-300W,845060017809,18.30,29.78,25.74
WM-LF3-HL-RA,845060074673,38.98,61.78,54.74
WM-LF3-HL-EXTARM,845060017779,42.98,68.78,60.74
WM-LF3-HL-ASA,845060025385,42.98,68.78,60.74
WM-LF3-HL-PMR1,845060022278,23.98,38.78,33.74
WM-LF3-HL-PMR2,845060022285,35.98,57.78,50.74
WM-LF3-HL-PMS1,845060022254,23.98,38.78,33.74
WM-LF3-HL-PMS2,845060022261,47.98,76.78,67.74
WM-LF3-SH3,845060022698,28.98,46.78,40.74
WM-LF3-SH4,845060022711,34.98,55.78,49.74
WM-LF3-SH5,845060022735,37.98,60.78,53.74
WM-LF3-SH3FG,845060022681,36.98,58.78,52.74
WM-LF3-SH4FG,845060022704,42.98,68.78,60.74
WM-LF3-SH5FG,845060022728,47.98,76.78,67.74
WM-LF3-WG3,845060022742,18.17,28.78,25.74
WM-LF3-WG4,845060022759,20.31,32.78,28.74
WM-LF3-WG5,845060022766,22.98,36.78,32.74
WM-LF3-HL-TYPEII-100W,845060022179,18.17,28.78,25.74
WM-LF3-HL-TYPEII-150W/230W/300W,845060022186,18.17,28.78,25.74
WM-LF3-HL-TYPEIII-100W,845060022193,18.17,28.78,25.74
WM-LF3-HL-TYPEIII-150W/230W/300W,845060022209,18.17,28.78,25.74
WM-LF3-HL-TYPEIV-100W,845060022216,18.17,28.78,25.74
WM-LF3-HL-TYPEIV-150W/230W/300W,845060022223,18.17,28.78,25.74
WM-LF3-HL-30W-40K-D-KN,845060030617,33.98,53.78,47.74
WM-LF3-HL-30W-50K-D-KN,845060030624,33.98,53.78,47.74
WM-LF3-HL-50W-30K-D-KN,845060030631,48.98,77.78,68.74
WM-LF3-HL-50W-40K-D-KN,845060030648,48.98,77.78,68.74
WM-LF3-15NW-KN,845060025170,20.22,32.78,28.74
WM-LF3-30NW-KN,845060031621,30.98,49.78,43.74
WM-LF3-50NW-KN,845060031638,42.98,68.78,60.74
WM-LF3-15CW-TR,845060044904,21.98,34.78,30.74
WM-LF3-15NW-TR,845060025187,20.98,33.78,29.74
WM-LF3-15WW-TR,845060044911,21.98,34.78,30.74
WM-LF3-30NW-TR,845060031645,30.98,49.78,43.74
WM-LF3-50NW-TR,845060031652,42.98,68.78,60.74
WM-LF3-50WW-TR,845060044959,48.98,77.78,68.74
WM-LF3-WH-15CW-KN,845060047202,31.90,53.78,47.74
