sku
INA19-8PK-9W-30K-D,845060037487,9W,700LM
INA19-8PK-9W-40K-D,845060037470,9W,810LM
INA19-40PK-9W-30K-D,845060002157,9W,700LM
INA19-40PK-9W-40K-D,845060002164,9W,810LM
INA19-40PK-9W-50K-D,845060002171,9W,810LM
INA-41-S,845060042481,N/A,N/A
INA-41-BR,845060042498,N/A,N/A
INA-41-BK,845060042504,N/A,N/A
