parent_sku,child_sku,"Lens Options","Color Temperature (CCT)"
ILP-EDV-18L-U,ILP-EDV-18L-U-30-FRL,"Frosted Acrylic Lens",3000K
ILP-EDV-18L-U,ILP-EDV-18L-U-35,"No Lens",3500K
ILP-EDV-18L-U,ILP-EDV-18L-U-35-FRL,"Frosted Acrylic Lens",3500K
ILP-EDV-18L-U,ILP-EDV-18L-U-40,"No Lens",4000K
ILP-EDV-18L-U,ILP-EDV-18L-U-40-FRL,"Frosted Acrylic Lens",4000K
ILP-EDV-18L-U,ILP-EDV-18L-U-50,"No Lens",5000K
ILP-EDV-18L-U,ILP-EDV-18L-U-50-FRL,"Frosted Acrylic Lens",5000K
ILP-EDV-24L-U,ILP-EDV-24L-U-30,"No Lens",3000K
ILP-EDV-24L-U,ILP-EDV-24L-U-30-FRL,"Frosted Acrylic Lens",3000K
ILP-EDV-24L-U,ILP-EDV-24L-U-35,"No Lens",3500K
ILP-EDV-24L-U,ILP-EDV-24L-U-35-FRL,"Frosted Acrylic Lens",3500K
ILP-EDV-24L-U,ILP-EDV-24L-U-40,"No Lens",4000K
ILP-EDV-24L-U,ILP-EDV-24L-U-40-FRL,"Frosted Acrylic Lens",4000K
ILP-EDV-24L-U,ILP-EDV-24L-U-50,"No Lens",5000K
ILP-EDV-24L-U,ILP-EDV-24L-U-50-FRL,"Frosted Acrylic Lens",5000K
WM-T8-HL-4FT-DIM-18W,WM-T8-HL-4FT-DIM-18W-40K-C,Clear,4000K
WM-T8-HL-4FT-DIM-18W,WM-T8-HL-4FT-DIM-18W-40K-F,Frosted,4000K
WM-T8-HL-4FT-DIM-18W,WM-T8-HL-4FT-DIM-18W-50K-C,Clear,5000K
WM-T8-HL-4FT-DIM-18W,WM-T8-HL-4FT-DIM-18W-50K-F,Frosted,5000K
WM-T8-4FT-TYPB-2E-18W,WM-T8-4FT-TYPB-2E-18W-40K-C,Clear,4000K
WM-T8-4FT-TYPB-2E-18W,WM-T8-4FT-TYPB-2E-18W-40K-F,Frosted,4000K
WM-T8-4FT-TYPB-2E-18W,WM-T8-4FT-TYPB-2E-18W-50K-C,Clear,5000K
WM-T8-4FT-TYPB-2E-18W,WM-T8-4FT-TYPB-2E-18W--50K-F,Frosted,5000K
ILP-HZB2-12L-U,ILP-HZB2-12L-U-40-CAL,"Clear Acrylic Lens",4000K
ILP-HZB2-12L-U,ILP-HZB2-12L-U-40-FRAL,"Frosted Acrylic Lens",4000K
ILP-HZB2-12L-U,ILP-HZB2-12L-U-50-CAL,"Clear Acrylic Lens",5000K
ILP-HZB2-12L-U,ILP-HZB2-12L-U-50-FRAL,"Frosted Acrylic Lens",5000K
ILP-HZB2-12L-U,ILP-HZB2-12L-U-30-CAL,"Clear Acrylic Lens",3000K
ILP-HZB2-12L-U,ILP-HZB2-12L-U-30-FRAL,"Frosted Acrylic Lens",3000K
ILP-HZB2-12L-U,ILP-HZB2-12L-U-35-CAL,"Clear Acrylic Lens",3500K
ILP-HZB2-12L-U,ILP-HZB2-12L-U-35-FRAL,"Frosted Acrylic Lens",3500K
ILP-RZ4-20W-U,ILP-RZ4-20W-U-30,"No Lens",3000K
ILP-RZ4-20W-U,ILP-RZ4-20W-U-30-FRAL,"Frosted Acrylic Lens",3000K
ILP-RZ4-20W-U,ILP-RZ4-20W-U-35,"No Lens",3500K
ILP-RZ4-20W-U,ILP-RZ4-20W-U-35-FRAL,"Frosted Acrylic Lens",3500K
ILP-RZ4-20W-U,ILP-RZ4-20W-U-40,"No Lens",4000K
ILP-RZ4-20W-U,ILP-RZ4-20W-U-40-FRAL,"Frosted Acrylic Lens",4000K
ILP-RZ4-20W-U,ILP-RZ4-20W-U-50,"No Lens",5000K
ILP-RZ4-20W-U,ILP-RZ4-20W-U-50-FRAL,"Frosted Acrylic Lens",5000K
ILP-RZ8-40W-U,ILP-RZ8-40W-U-30,"No Lens",3000K
ILP-RZ8-40W-U,ILP-RZ8-40W-U-30-FRAL,"Frosted Acrylic Lens",3000K
ILP-RZ8-40W-U,ILP-RZ8-40W-U-35,"No Lens",3500K
ILP-RZ8-40W-U,ILP-RZ8-40W-U-35-FRAL,"Frosted Acrylic Lens",3500K
