parent_sku,child_sku,"Wattage Options","Color Temperature (CCT)"
TF-201A48L,TF-201A48L-S48W5700LDMV-40K,"48 Watts",4000K
TF-201A48L,TF-201A48L-S48W5700LDMV-50K,"48 Watts",5000K
TF-201A48L,TF-201A48L-H72W8700LDMV-30K,"72 Watts",3000K
TF-201A48L,TF-201A48L-H72W8700LDMV-35K,"72 Watts",3500K
TF-201A48L,TF-201A48L-H72W8700LDMV-40K,"72 Watts",4000K
TF-201A48L,TF-201A48L-H72W8700LDMV-50K,"72 Watts",5000K
TF-201A96L,TF-201A96L-S48W5600LDMV-30K,"48 Watts",3000K
TF-201A96L,TF-201A96L-S48W5600LDMV-35K,"48 Watts",3500K
TF-201A96L,TF-201A96L-S48W5600LDMV-40K,"48 Watts",4000K
TF-201A96L,TF-201A96L-S48W5600LDMV-50K,"48 Watts",5000K
TF-201A96L,TF-201A96L-S65W8000LDMV-30K,"65 Watts",3000K
TF-201A96L,TF-201A96L-S65W8000LDMV-35K,"65 Watts",3500K
TF-201A96L,TF-201A96L-S65W8000LDMV-40K,"65 Watts",4000K
TF-201A96L,TF-201A96L-S65W8000LDMV-50K,"65 Watts",5000K
TF-201A96L,TF-201A96L-S97W11400LDMV-30K,"97 Watts",3000K
TF-201A96L,TF-201A96L-S97W11400LDMV-35K,"97 Watts",3500K
TF-201A96L,TF-201A96L-S97W11400LDMV-40K,"97 Watts",4000K
TF-201A96L,TF-201A96L-S97W11400LDMV-50K,"97 Watts",5000K
TF-209A48L,TF-209A48L-F32W3450LDMV-30K,"32 Watts",3000K
TF-209A48L,TF-209A48L-F32W3450LDMV-35K,"32 Watts",3500K
TF-209A48L,TF-209A48L-F32W3450LDMV-40K,"32 Watts","4000K (recommended)"
TF-209A48L,TF-209A48L-F32W3450LDMV-50K,"32 Watts",5000K
TF-209A48L,TF-209A48L-F48W4800LDMV-30K,"48 Watts",3000K
TF-209A48L,TF-209A48L-F48W4800LDMV-35K,"48 Watts",3500K
TF-209A48L,TF-209A48L-F48W4800LDMV-40K,"48 Watts","4000K (recommended)"
TF-209A48L,TF-209A48L-F48W4800LDMV-50K,"48 Watts",5000K
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-30K,"28 Watts",3000K
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-35K,"28 Watts",3500K
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-40K,"28 Watts",4000K
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-50K,"28 Watts",5000K
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-30K,"32 Watts",3000K
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-35K,"32 Watts",3500K
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-40K,"32 Watts",4000K
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-50K,"32 Watts",5000K
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-30K,"42 Watts",3000K
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-35K,"42 Watts",3500K
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-40K,"42 Watts",4000K
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-50K,"42 Watts",5000K
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-30K,"32 Watts",3000K
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-35K,"32 Watts",3500K
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-40K,"32 Watts",4000K
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-50K,"32 Watts",5000K
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-30K,"48 Watts",3000K
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-35K,"48 Watts",3500K
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-40K,"48 Watts",4000K
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-50K,"48 Watts",5000K
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-30K,"57 Watts",3000K
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-35K,"57 Watts",3500K
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-40K,"57 Watts",4000K
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-50K,"57 Watts",5000K
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-30K,"30 Watts",3000K
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-35K,"30 Watts",3500K
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-40K,"30 Watts",4000K
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-50K,"30 Watts",5000K
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-30K,"48 Watts",3000K
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-35K,"48 Watts",3500K
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-40K,"48 Watts",4000K
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-50K,"48 Watts",5000K
TF-VLT24L,TF-VLT24L-J48W5500LDMV-30K,"48 Watts",3000K
TF-VLT24L,TF-VLT24L-J48W5500LDMV-35K,"48 Watts",3500K
TF-VLT24L,TF-VLT24L-J48W5500LDMV-40K,"48 Watts",4000K
TF-VLT24L,TF-VLT24L-J48W5500LDMV-50K,"48 Watts",5000K
TF-VLT24L,TF-VLT24L-J52W6000LDMV-30K,"52 Watts",3000K
TF-VLT24L,TF-VLT24L-J52W6000LDMV-35K,"52 Watts",3500K
TF-VLT24L,TF-VLT24L-J52W6000LDMV-40K,"52 Watts",4000K
TF-VLT24L,TF-VLT24L-J52W6000LDMV-50K,"52 Watts",5000K
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-30K,"32 Watts",3000K
