product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage & Lumen Options","Color Temperature (CCT)","Size Options","Size & Wattage Options","Finish Options","Wattage Options","End Cap Options","Voltage Rating	Options","Beam Angle Options","Fixture Options","Base Type Options","Voltage Options","Input Voltage Options","Connector Type Options","Lens Options","Main Cable Length","Wattage and Lumen Options","Wattage & Voltage Options","Finial & Globe Options","Select Options","Wattage Up/Down Options","Cable Options"
7577,E-LED40WPT/180,E-LED40WPT/180-40K-MOG-G7,97.52,97.52,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7577,E-LED40WPT/180,E-LED40WPT/180-40K-MOG-G7,97.52,97.52,,,,0,,,,,,,,,,,"Mogul Screw (E39)",,,,,,,,,,,
7577,E-LED40WPT/180,E-LED40WPT/180-50K-MED-G7,97.52,97.52,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7577,E-LED40WPT/180,E-LED40WPT/180-50K-MED-G7,97.52,97.52,,,,0,,,,,,,,,,,"Medium Screw (E26)",,,,,,,,,,,
7577,E-LED40WPT/180,E-LED40WPT/180-50K-MOG-G7,97.52,97.52,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7577,E-LED40WPT/180,E-LED40WPT/180-50K-MOG-G7,97.52,97.52,,,,0,,,,,,,,,,,"Mogul Screw (E39)",,,,,,,,,,,
7578,E-LED43WT8/96,E-LED43WT8/96-840-DBL-G7D-CASE10,316.9,316.9,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7578,E-LED43WT8/96,E-LED43WT8/96-850-DBL-G7D-CASE10,316.9,316.9,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7579,E-LED45WPT,E-LED45WPT-30K-MOG-G7,69.8,69.8,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7579,E-LED45WPT,E-LED45WPT-30K-MOG-G7,69.8,69.8,,,,0,,,,,,,,,,,"Mogul Screw with Long Prong (EX39)",,,,,,,,,,,
7579,E-LED45WPT,E-LED45WPT-40K-MOG-G7,69.8,69.8,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7579,E-LED45WPT,E-LED45WPT-40K-MOG-G7,69.8,69.8,,,,0,,,,,,,,,,,"Mogul Screw with Long Prong (EX39)",,,,,,,,,,,
7579,E-LED45WPT,E-LED45WPT-50K-MOG-G7,69.8,69.8,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7579,E-LED45WPT,E-LED45WPT-50K-MOG-G7,69.8,69.8,,,,0,,,,,,,,,,,"Mogul Screw with Long Prong (EX39)",,,,,,,,,,,
7581,E-LED4WB11E12/FIL,E-LED4WB11E12/FIL-822-DIM-G7,4.62,4.62,,,,0,,2200K,,,,,,,,,,,,,,,,,,,,
7581,E-LED4WB11E12/FIL,E-LED4WB11E12/FIL-827-DIM-G7,4.62,4.62,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,
7589,E-LED54WPT,E-LED54WPT-30K-MED-G7,73.1,73.1,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7589,E-LED54WPT,E-LED54WPT-30K-MED-G7,73.1,73.1,,,,0,,,,,,,,,,,"Medium Screw (E26)",,,,,,,,,,,
