product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Color Temperature (CCT)","Finish Options","Factory Installed Lamps","Wiring Options","Light Source Options","Select Light Source","End Cap Finish Options","Lamp Type Options","Select Reflector","Voltage Options","Letter Color Options","Number of Faces","Wattage & Lumen Options"
698,TF-LINMW2328MV,TF-LINMW2328MV-SLHC301WH,740,740,,,,0,,Silver,,,,,,,,,,,
698,TF-LINMW2328MV,TF-LINMW2328MV-RDHC301WH,740,740,,,,0,,Red,,,,,,,,,,,
698,TF-LINMW2328MV,TF-LINMW2328MV-INHC301WH,740,740,,,,0,,Iron,,,,,,,,,,,
700,TF-LINMW232MV,TF-LINMW232MV-WHHC301WH,401.43,401.43,,,,0,,White,,,,,,,,,,,
700,TF-LINMW232MV,TF-LINMW232MV-BKHC301WH,448.6,448.6,,,,0,,Black,,,,,,,,,,,
700,TF-LINMW232MV,TF-LINMW232MV-RDHC301WH,448.6,448.6,,,,0,,Red,,,,,,,,,,,
700,TF-LINMW232MV,TF-LINMW232MV-INHC301WH,448.6,448.6,,,,0,,Iron,,,,,,,,,,,
702,TF-LINMW2548MV,TF-LINMW2548MV-WHHC301WH,740,740,,,,0,,White,,,,,,,,,,,
702,TF-LINMW2548MV,TF-LINMW2548MV-BKHC301WH,810,810,,,,0,,Black,,,,,,,,,,,
702,TF-LINMW2548MV,TF-LINMW2548MV-SLHC301WH,810,810,,,,0,,Silver,,,,,,,,,,,
702,TF-LINMW2548MV,TF-LINMW2548MV-RDHC301WH,810,810,,,,0,,Red,,,,,,,,,,,
702,TF-LINMW2548MV,TF-LINMW2548MV-INHC301WH,810,810,,,,0,,Iron,,,,,,,,,,,
704,TF-LINMW254MV,TF-LINMW254MV-WHHC301WH,448.6,448.6,,,,0,,White,,,,,,,,,,,
704,TF-LINMW254MV,TF-LINMW254MV-BKHC301WH,497.15,497.15,,,,0,,Black,,,,,,,,,,,
704,TF-LINMW254MV,TF-LINMW254MV-RDHC301WH,497.15,497.15,,,,0,,Red,,,,,,,,,,,
704,TF-LINMW254MV,TF-LINMW254MV-INHC301WH,497.15,497.15,,,,0,,Iron,,,,,,,,,,,
706,TF-LINMW3548MV,TF-LINMW3548MV-WHHC301WH,810,810,,,,0,,White,,,,,,,,,,,
706,TF-LINMW3548MV,TF-LINMW3548MV-BKHC301WH,882.86,882.86,,,,0,,Black,,,,,,,,,,,
706,TF-LINMW3548MV,TF-LINMW3548MV-SLHC301WH,882.86,882.86,,,,0,,Silver,,,,,,,,,,,
706,TF-LINMW3548MV,TF-LINMW3548MV-RDHC301WH,882.86,882.86,,,,0,,Red,,,,,,,,,,,
706,TF-LINMW3548MV,TF-LINMW3548MV-INHC301WH,882.86,882.86,,,,0,,Iron,,,,,,,,,,,
707,TF-LINMW354MV,TF-LINMW354MV-WHHC301WH,475.72,475.72,,,,0,,White,,,,,,,,,,,
707,TF-LINMW354MV,TF-LINMW354MV-BKHC301WH,521.43,521.43,,,,0,,Black,,,,,,,,,,,
707,TF-LINMW354MV,TF-LINMW354MV-SLHC301WH,521.43,521.43,,,,0,,Silver,,,,,,,,,,,
707,TF-LINMW354MV,TF-LINMW354MV-RDHC301WH,521.43,521.43,,,,0,,Red,,,,,,,,,,,
707,TF-LINMW354MV,TF-LINMW354MV-INHC301WH,521.43,521.43,,,,0,,Iron,,,,,,,,,,,
712,TF-PLIN2328MV,TF-PLIN2328MV-WHHC401WH,607.15,607.15,,,,0,,White,,,,,,,,,,,
712,TF-PLIN2328MV,TF-PLIN2328MV-SLHC401WH,675.72,675.72,,,,0,,"Metallic Silver",,,,,,,,,,,
712,TF-PLIN2328MV,TF-PLIN2328MV-RDHC401WH,675.72,675.72,,,,0,,Red,,,,,,,,,,,
712,TF-PLIN2328MV,TF-PLIN2328MV-INHC401WH,675.72,675.72,,,,0,,Iron,,,,,,,,,,,
