product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Finish Options","Color Temperature (CCT)","Wattage & Lumen Options","Trim Shape Options","Beam Angle Options",Color,"Wattage and Lumen Options","Lens Options","Emergency Battery Options","Letter Color Options","Voltage Options","Fixture Options","Color Te,mperature (CCT)","Reflector Options",Reflector,"Color Temperature","Reflector Finish",Testing,"Trim Ring Options","Finish Option","Dimming Options","Wattage Options","Frosted Lens"
12038,WM-ELN4X-12-36W,WM-ELN4X-12-36W-B,508.43,508.43,,,,322.88,Black,,,,,,,,,,,,,,,,,,,,
12038,WM-ELN4X-12-36W,WM-ELN4X-12-36W-W,508.43,508.43,,,,322.88,White,,,,,,,,,,,,,,,,,,,,
12039,WM-ELN4X-12-54W,WM-ELN4X-12-54W-B,539.86,539.86,,,,343.36,Black,,,,,,,,,,,,,,,,,,,,
12039,WM-ELN4X-12-54W,WM-ELN4X-12-54W-W,539.86,539.86,,,,343.36,White,,,,,,,,,,,,,,,,,,,,
12040,WM-ELN4X-6-15W,WM-ELN4X-6-15W-B,489.86,489.86,,,,311.68,Black,,,,,,,,,,,,,,,,,,,,
12040,WM-ELN4X-6-15W,WM-ELN4X-6-15W-W,489.86,489.86,,,,311.68,White,,,,,,,,,,,,,,,,,,,,
12041,WM-ELN4X-6-36W,WM-ELN4X-6-36W-B,601.3,601.3,,,,382.64,Black,,,,,,,,,,,,,,,,,,,,
12041,WM-ELN4X-6-36W,WM-ELN4X-6-36W-W,601.3,601.3,,,,382.64,White,,,,,,,,,,,,,,,,,,,,
12042,WM-ELN4X-6-54W,WM-ELN4X-6-54W-B,554.15,554.15,,,,352.72,Black,,,,,,,,,,,,,,,,,,,,
12042,WM-ELN4X-6-54W,WM-ELN4X-6-54W-W,554.15,554.15,,,,352.72,White,,,,,,,,,,,,,,,,,,,,
12046,WM-LLHB4-100W-MP,WM-LLHB4-100W-MP-40K-D,127.74,127.74,,,,74.9,,4000K,,,,,,,,,,,,,,,,,,,
12046,WM-LLHB4-100W-MP,WM-LLHB4-100W-MP-50K-D,127.74,127.74,,,,74.9,,5000K,,,,,,,,,,,,,,,,,,,
12057,WM-LDSXL-MCT-DD,WM-LDSXL-MCT-DD-ORB,164.74,164.74,,,,95.9,"Oil-Rubbed Bronze",,,,,,,,,,,,,,,,,,,,
12057,WM-LDSXL-MCT-DD,WM-LDSXL-MCT-DD-SIL,164.74,164.74,,,,95.9,Silver,,,,,,,,,,,,,,,,,,,,
12058,WM-LLHB4-150W-MP,WM-LLHB4-150W-MP-40K-D,178.74,178.74,,,,105.9,,4000K,,,,,,,,,,,,,,,,,,,
12058,WM-LLHB4-150W-MP,WM-LLHB4-150W-MP-50K-D,178.74,178.74,,,,105.9,,5000K,,,,,,,,,,,,,,,,,,,
12059,WM-LLHB4-300W-MP,WM-LLHB4-300W-MP-40K-D,401.74,401.74,,,,237.9,,4000K,,,,,,,,,,,,,,,,,,,
12059,WM-LLHB4-300W-MP,WM-LLHB4-300W-MP-50K-D,401.74,401.74,,,,237.9,,5000K,,,,,,,,,,,,,,,,,,,
12152,TF-CLFRF-96L60W5600LDMV,TF-CLFRF-96L60W5600LDMV30KSA,,414.3,,,,0,,3000K,,,,,,,,,,,,,,,,,,,
12152,TF-CLFRF-96L60W5600LDMV,TF-CLFRF-96L60W5600LDMV40KSA,,414.3,,,,0,,4000K,,,,,,,,,,,,,,,,,,,
12159,EE-SLTRK22-23W,EE-SLTRK22-23W-840,,78.66,,,,0,,4000K,,,,,,,,,,,,,,,,,,,
12159,EE-SLTRK22-23W,EE-SLTRK22-23W-850,,78.66,,,,0,,5000K,,,,,,,,,,,,,,,,,,,
12180,TF-LLLRB99L96W4976L,TF-LLLRB99L96W4976L-30KSA,,470,,,,0,,3000K,,,,,,,,,,,,,,,,,,,
12180,TF-LLLRB99L96W4976L,TF-LLLRB99L96W4976L-40KSA,,470,,,,0,,4000K,,,,,,,,,,,,,,,,,,,
12188,ATG-FPEL-22,ATG-FPEL-22-20W-40,74.3,74.3,,,,0,,,"20 Watts / 2,600 Lumens",,,,,,,,,,,,,,,,,,
12188,ATG-FPEL-22,ATG-FPEL-22-30W-40,74.3,74.3,,,,0,,,"30 Watts / 3,900 Lumens",,,,,,,,,,,,,,,,,,
12189,ATG-FPEL-24,ATG-FPEL-24-30W-40,122.9,122.9,,,,0,,,"30 Watts / 3,810 Lumens",,,,,,,,,,,,,,,,,,
12189,ATG-FPEL-24,ATG-FPEL-24-40W-40,122.9,122.9,,,,0,,,"40 Watts / 5,080 Lumens",,,,,,,,,,,,,,,,,,
12205,EE-TLP-2x4-34W,EE-TLP-2x4-34W-840,,81.7,,,,0,,"4000K (Standard)",,,,,,,,,,,,,,,,,,,
12205,EE-TLP-2x4-34W,EE-TLP-2x4-34W-850,,81.7,,,,0,,5000K,,,,,,,,,,,,,,,,,,,
12232,TL-LHB-2-111W,TL-LHB-2-111W-40K,,110,,,,0,,4000K,,,,,,,,,,,,,,,,,,,
12232,TL-LHB-2-111W,TL-LHB-2-111W-50K,,110,,,,0,,5000K,,,,,,,,,,,,,,,,,,,
12239,NL-NBXL-150W,NL-NBXL-150W-30K,,265.72,,,,0,,3000K,,,,,,,,,,,,,,,,,,,
12239,NL-NBXL-150W,NL-NBXL-150W-35K,,265.72,,,,0,,3500K,,,,,,,,,,,,,,,,,,,
12239,NL-NBXL-150W,NL-NBXL-150W-40K,,265.72,,,,0,,4000K,,,,,,,,,,,,,,,,,,,
