sku,product_name,description,item_weight,item_weight-unit,mpn
INA19-8PK-9W-30K-D,845060037487,9W,700LM,19-8PK-9W-30K-D
INA19-8PK-9W-40K-D,845060037470,9W,810LM,19-8PK-9W-40K-D
INA19-40PK-9W-30K-D,845060002157,9W,700LM,19-40PK-9W-30K-D
INA19-40PK-9W-40K-D,845060002164,9W,810LM,19-40PK-9W-40K-D
INA19-40PK-9W-50K-D,845060002171,9W,810LM,19-40PK-9W-50K-D
INA-41-S,845060042481,N/A,N/A,-41-S
INA-41-BR,845060042498,N/A,N/A,-41-BR
INA-41-BK,845060042504,N/A,N/A,-41-BK
