parent_sku,child_sku,"Beam Angle Options","Color Temperature (CCT)"
GC-5GU10DIM,GC-5GU10DIM-930-FL35,"Flood - 35 Deg.",3000K
GC-5GU10DIM,GC-5GU10DIM-940-NF25,"Narrow Flood - 25 Deg.",4000K
GC-5GU10DIM,GC-5GU10DIM-40-FL,"Flood - 35 Deg.",4000K
GC-19.5PAR38HODIM,GC-19.5PAR38HODIM-927-NF25,"Narrow Flood - 25 Deg.",2700K
GC-19.5PAR38HODIM,GC-19.5PAR38HODIM-927-FL40,"Flood - 40 Deg.",2700K
GC-19.5PAR38HODIM,GC-19.5PAR38HODIM-930-NF25,"Narrow Flood - 25 Deg.",3000K
GC-19.5PAR38HODIM,GC-19.5PAR38HODIM-930-FL40,"Flood - 40 Deg.",3000K
GC-19.5PAR38HODIM,GC-19.5PAR38HODIM-935-NF25,"Narrow Flood - 25 Deg.",3500K
GC-19.5PAR38HODIM,GC-19.5PAR38HODIM-935-FL40,"Flood - 40 Deg.",3500K
GC-19.5PAR38HODIM,GC-19.5PAR38HODIM-940-NF25,"Narrow Flood - 25 Deg.",4000K
GC-19.5PAR38HODIM,GC-19.5PAR38HODIM-940-FL40,"Flood - 40 Deg.",4000K
