parent_sku,child_sku,"Size & Wattage Options","Color Temperature (CCT)"
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U112D192DMVWH-40KRD,"58""W x 58""L - Uplight 112W & 11200 Lumens\, Downlight 192W & 19200 Lumens",4000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U112D192DMVWH-50KRD,"58""W x 58""L - Uplight 112W & 11200 Lumens\, Downlight 192W & 19200 Lumens",5000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U168D288DMVWH-30KRD,"82""W x 82""L - Uplight 168W & 16800 Lumens\, Downlight 288W & 28800 Lumens",3000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U168D288DMVWH-35KRD,"82""W x 82""L - Uplight 168W & 16800 Lumens\, Downlight 288W & 28800 Lumens",3500K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U168D288DMVWH-40KRD,"82""W x 82""L - Uplight 168W & 16800 Lumens\, Downlight 288W & 28800 Lumens",4000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U168D288DMVWH-50KRD,"82""W x 82""L - Uplight 168W & 16800 Lumens\, Downlight 288W & 28800 Lumens",5000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U224D384DMVWH-30KRD,"108""W x 108""L - Uplight 224W & 22400 Lumens\, Downlight 384W & 38400 Lumens",3000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U224D384DMVWH-35KRD,"108""W x 108""L - Uplight 224W & 22400 Lumens\, Downlight 384W & 38400 Lumens",3500K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U224D384DMVWH-40KRD,"108""W x 108""L - Uplight 224W & 22400 Lumens\, Downlight 384W & 38400 Lumens",4000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U224D384DMVWH-50KRD,"108""W x 108""L - Uplight 224W & 22400 Lumens\, Downlight 384W & 38400 Lumens",5000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D160DMVWH-30KRD,"108""W x 108""L - Downlight Only 160W & 18400 Lumens",3000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D160DMVWH-35KRD,"108""W x 108""L - Downlight Only 160W & 18400 Lumens",3500K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D160DMVWH-40KRD,"108""W x 108""L - Downlight Only 160W & 18400 Lumens",4000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D160DMVWH-50KRD,"108""W x 108""L - Downlight Only 160W & 18400 Lumens",5000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D240DMVWH-30KRD,"156""W x 156""L - Downlight Only 240W & 27600 Lumens",3000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D240DMVWH-35KRD,"156""W x 156""L - Downlight Only 240W & 27600 Lumens",3500K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D240DMVWH-40KRD,"156""W x 156""L - Downlight Only 240W & 27600 Lumens",4000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D240DMVWH-50KRD,"156""W x 156""L - Downlight Only 240W & 27600 Lumens",5000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D320DMVWH-30KRD,"204""W x 204""L - Downlight Only 320W & 36800 Lumens",3000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D320DMVWH-35KRD,"204""W x 204""L - Downlight Only 320W & 36800 Lumens",3500K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D320DMVWH-40KRD,"204""W x 204""L - Downlight Only 320W & 36800 Lumens",4000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-D320DMVWH-50KRD,"204""W x 204""L - Downlight Only 320W & 36800 Lumens",5000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U96D160DMVWH-30KRD,"108""W x 108""L - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",3000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U96D160DMVWH-35KRD,"108""W x 108""L - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",3500K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U96D160DMVWH-40KRD,"108""W x 108""L - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",4000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U96D160DMVWH-50KRD,"108""W x 108""L - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",5000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U144D240DMVWH-30KRD,"156""W x 156""L - Uplight 144W & 16560 Lumens\, Downlight 240W & 27600 Lumens",3000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U144D240DMVWH-35KRD,"156""W x 156""L - Uplight 144W & 16560 Lumens\, Downlight 240W & 27600 Lumens",3500K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U144D240DMVWH-40KRD,"156""W x 156""L - Uplight 144W & 16560 Lumens\, Downlight 240W & 27600 Lumens",4000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U144D240DMVWH-50KRD,"156""W x 156""L - Uplight 144W & 16560 Lumens\, Downlight 240W & 27600 Lumens",5000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U192D320DMVWH-30KRD,"204""W x 204""L - Uplight 192W & 22080 Lumens\, Downlight 320W & 36800 Lumens",3000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U192D320DMVWH-35KRD,"204""W x 204""L - Uplight 192W & 22080 Lumens\, Downlight 320W & 36800 Lumens",3500K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U192D320DMVWH-40KRD,"204""W x 204""L - Uplight 192W & 22080 Lumens\, Downlight 320W & 36800 Lumens",4000K
TF-PLY23PFR-CR,TF-PLY23PFR-CR-U192D320DMVWH-50KRD,"204""W x 204""L - Uplight 192W & 22080 Lumens\, Downlight 320W & 36800 Lumens",5000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X29LTD40DMVWH-30KRD,"9""W x 29""L - Downlight Only 40W & 4600 Lumens",3000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X29LTD40DMVWH-35KRD,"9""W x 29""L - Downlight Only 40W & 4600 Lumens",3500K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X29LTD40DMVWH-40KRD,"9""W x 29""L - Downlight Only 40W & 4600 Lumens","4000K (Standard)"
TF-PLY23PFR-P,TF-PLY23PFR-P-9X29LTD40DMVWH-50KRD,"9""W x 29""L - Downlight Only 40W & 4600 Lumens",5000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X53LTD80DMVWH-30KRD,"9""W x 53""L - Downlight Only 80W & 9200 Lumens",3000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X53LTD80DMVWH-35KRD,"9""W x 53""L - Downlight Only 80W & 9200 Lumens",3500K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X53LTD80DMVWH-40KRD,"9""W x 53""L - Downlight Only 80W & 9200 Lumens","4000K (Standard)"
TF-PLY23PFR-P,TF-PLY23PFR-P-9X53LTD80DMVWH-50KRD,"9""W x 53""L - Downlight Only 80W & 9200 Lumens",5000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X77LTD120DMVWH-30KRD,"9""W x 77""L - Downlight Only 120W & 13800 Lumens",3000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X77LTD120DMVWH-35KRD,"9""W x 77""L - Downlight Only 120W & 13800 Lumens",3500K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X77LTD120DMVWH-40KRD,"9""W x 77""L - Downlight Only 120W & 13800 Lumens","4000K (Standard)"
TF-PLY23PFR-P,TF-PLY23PFR-P-9X77LTD120DMVWH-50KRD,"9""W x 77""L - Downlight Only 120W & 13800 Lumens",5000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X101LTD160DMVWH-30KRD,"9""W x 101""L - Downlight Only 160W & 18400 Lumens",3000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X101LTD160DMVWH-35KRD,"9""W x 101""L - Downlight Only 160W & 18400 Lumens",3500K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X101LTD160DMVWH-40KRD,"9""W x 101""L - Downlight Only 160W & 18400 Lumens","4000K (Standard)"
TF-PLY23PFR-P,TF-PLY23PFR-P-9X101LTD160DMVWH-50KRD,"9""W x 101""L - Downlight Only 160W & 18400 Lumens",5000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X29LTU24D40DMVWH-30KRD,"9""W x 29""L - Uplight 24W & 2760 Lumens\, Downlight 40W & 4600 Lumens",3000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X29LTU24D40DMVWH-35KRD,"9""W x 29""L - Uplight 24W & 2760 Lumens\, Downlight 40W & 4600 Lumens",3500K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X29LTU24D40DMVWH-40KRD,"9""W x 29""L - Uplight 24W & 2760 Lumens\, Downlight 40W & 4600 Lumens","4000K (Standard)"
TF-PLY23PFR-P,TF-PLY23PFR-P-9X29LTU24D40DMVWH-50KRD,"9""W x 29""L - Uplight 24W & 2760 Lumens\, Downlight 40W & 4600 Lumens",5000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X53LTU48D80DMVWH-30KRD,"9""W x 53""L - Uplight 48W & 5520 Lumens\, Downlight 80W & 9200 Lumens",3000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X53LTU48D80DMVWH-35KRD,"9""W x 53""L - Uplight 48W & 5520 Lumens\, Downlight 80W & 9200 Lumens",3500K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X53LTU48D80DMVWH-40KRD,"9""W x 53""L - Uplight 48W & 5520 Lumens\, Downlight 80W & 9200 Lumens","4000K (Standard)"
TF-PLY23PFR-P,TF-PLY23PFR-P-9X53LTU48D80DMVWH-50KRD,"9""W x 53""L - Uplight 48W & 5520 Lumens\, Downlight 80W & 9200 Lumens",5000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X77LTU72D120DMVWH-30KRD,"9""W x 77""L - Uplight 72W & 8280 Lumens\, Downlight 120W & 13800 Lumens",3000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X77LTU72D120DMVWH-35KRD,"9""W x 77""L - Uplight 72W & 8280 Lumens\, Downlight 120W & 13800 Lumens",3500K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X77LTU72D120DMVWH-40KRD,"9""W x 77""L - Uplight 72W & 8280 Lumens\, Downlight 120W & 13800 Lumens","4000K (Standard)"
TF-PLY23PFR-P,TF-PLY23PFR-P-9X77LTU72D120DMVWH-50KRD,"9""W x 77""L - Uplight 72W & 8280 Lumens\, Downlight 120W & 13800 Lumens",5000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X101LTU96D160DMVWH-30KRD,"9""W x 101""L - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",3000K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X101LTU96D160DMVWH-35KRD,"9""W x 101""L - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",3500K
TF-PLY23PFR-P,TF-PLY23PFR-P-9X101LTU96D160DMVWH-40KRD,"9""W x 101""L - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens","4000K (Standard)"
TF-PLY23PFR-P,TF-PLY23PFR-P-9X101LTU96D160DMVWH-50KRD,"9""W x 101""L - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",5000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-77LTD160DMVWH-30KRD,"77"" Diameter - Downlight Only 160W & 18400 Lumens",3000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-77LTD160DMVWH-35KRD,"77"" Diameter - Downlight Only 160W & 18400 Lumens",3500K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-77LTD160DMVWH-40KRD,"77"" Diameter - Downlight Only 160W & 18400 Lumens","4000K (Standard)"
TF-PLY23PFR-OT,TF-PLY23PFR-OT-77LTD160DMVWH-50KRD,"77"" Diameter - Downlight Only 160W & 18400 Lumens",5000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-202LTD320DMVWH-30KRD,"202"" Diameter - Downlight Only 320W & 36800 Lumens",3000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-202LTD320DMVWH-35KRD,"202"" Diameter - Downlight Only 320W & 36800 Lumens",3500K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-202LTD320DMVWH-40KRD,"202"" Diameter - Downlight Only 320W & 36800 Lumens","4000K (Standard)"
TF-PLY23PFR-OT,TF-PLY23PFR-OT-202LTD320DMVWH-50KRD,"202"" Diameter - Downlight Only 320W & 36800 Lumens",5000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-223LTD480DMVWH-30KRD,"223"" Diameter - Downlight Only 480W & 55200 Lumens",3000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-223LTD480DMVWH-35KRD,"223"" Diameter - Downlight Only 480W & 55200 Lumens",3500K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-223LTD480DMVWH-40KRD,"223"" Diameter - Downlight Only 480W & 55200 Lumens","4000K (Standard)"
TF-PLY23PFR-OT,TF-PLY23PFR-OT-223LTD480DMVWH-50KRD,"223"" Diameter - Downlight Only 480W & 55200 Lumens",5000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-265LTD640DMVWH-30KRD,"265"" Diameter - Downlight Only 640W & 73600 Lumens",3000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-265LTD640DMVWH-35KRD,"265"" Diameter - Downlight Only 640W & 73600 Lumens",3500K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-265LTD640DMVWH-40KRD,"265"" Diameter - Downlight Only 640W & 73600 Lumens","4000K (Standard)"
TF-PLY23PFR-OT,TF-PLY23PFR-OT-265LTD640DMVWH-50KRD,"265"" Diameter - Downlight Only 640W & 73600 Lumens",5000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-77LTU96D160DMVWH-30KRD,"77"" Diameter - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",3000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-77LTU96D160DMVWH-35KRD,"77"" Diameter - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",3500K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-77LTU96D160DMVWH-40KRD,"77"" Diameter - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens","4000K (Standard)"
TF-PLY23PFR-OT,TF-PLY23PFR-OT-77LTU96D160DMVWH-50KRD,"77"" Diameter - Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",5000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-202LTU192D320DMVWH-30KRD,"203"" Diameter - Uplight 192W & 22080 Lumens\, Downlight 320W & 36800 Lumens",3000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-202LTU192D320DMVWH-35KRD,"203"" Diameter - Uplight 192W & 22080 Lumens\, Downlight 320W & 36800 Lumens",3500K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-202LTU192D320DMVWH-40KRD,"203"" Diameter - Uplight 192W & 22080 Lumens\, Downlight 320W & 36800 Lumens","4000K (Standard)"
TF-PLY23PFR-OT,TF-PLY23PFR-OT-202LTU192D320DMVWH-50KRD,"203"" Diameter - Uplight 192W & 22080 Lumens\, Downlight 320W & 36800 Lumens",5000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-202LTU288D480DMVWH-30KRD,"223"" Diameter - Uplight 288W & 33120 Lumens\, Downlight 480W & 55200 Lumens",3000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-223LTU288D480DMVWH-35KRD,"223"" Diameter - Uplight 288W & 33120 Lumens\, Downlight 480W & 55200 Lumens",3500K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-223LTU288D480DMVWH-40KRD,"223"" Diameter - Uplight 288W & 33120 Lumens\, Downlight 480W & 55200 Lumens","4000K (Standard)"
TF-PLY23PFR-OT,TF-PLY23PFR-OT-233LTU288D480DMVWH-50KRD,"223"" Diameter - Uplight 288W & 33120 Lumens\, Downlight 480W & 55200 Lumens",5000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-265LTU384D640DMVWH-30KRD,"265"" Diameter - Uplight 384W & 44160 Lumens\, Downlight 640W & 73600 Lumens",3000K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-265LTU384D640DMVWH-35KRD,"265"" Diameter - Uplight 384W & 44160 Lumens\, Downlight 640W & 73600 Lumens",3500K
TF-PLY23PFR-OT,TF-PLY23PFR-OT-265LTU384D640DMVWH-40KRD,"265"" Diameter - Uplight 384W & 44160 Lumens\, Downlight 640W & 73600 Lumens","4000K (Standard)"
TF-PLY23PFR-OT,TF-PLY23PFR-OT-265LTU384D640DMVWH-50KRD,"265"" Diameter - Uplight 384W & 44160 Lumens\, Downlight 640W & 73600 Lumens",5000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTD120DMVWH-30KRD,"69"" Diameter - Downlight 120W & 13800 Lumens",3000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTD120DMVWH-35KRD,"69"" Diameter - Downlight 120W & 13800 Lumens",3500K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTD120DMVWH-40KRD,"69"" Diameter - Downlight 120W & 13800 Lumens",4000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTD120DMVWH-50KRD,"69"" Diameter - Downlight 120W & 13800 Lumens",5000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTD240DMVWH-30KRD,"109"" Diameter - Downlight 240W & 27600 Lumens",3000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTD240DMVWH-35KRD,"109"" Diameter - Downlight 240W & 27600 Lumens",3500K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTD240DMVWH-40KRD,"109"" Diameter - Downlight 240W & 27600 Lumens",4000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTD240DMVWH-50KRD,"109"" Diameter - Downlight 240W & 27600 Lumens",5000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTU72D120DMVWH-30KRD,"69"" Diameter - Uplight 72W & 8280 Lumens\, Downlight 120W & 13800 Lumens",3000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTU72D120DMVWH-35KRD,"69"" Diameter - Uplight 72W & 8280 Lumens\, Downlight 120W & 13800 Lumens",3500K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTU72D120DMVWH-40KRD,"69"" Diameter - Uplight 72W & 8280 Lumens\, Downlight 120W & 13800 Lumens",4000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTU72D120DMVWH-50KRD,"69"" Diameter - Uplight 72W & 8280 Lumens\, Downlight 120W & 13800 Lumens",5000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTU144D240DMVWH-30KRD,"109"" Diameter - Uplight 144W & 16560 Lumens\, Downlight 240W & 27600 Lumens",3000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTU144D240DMVWH-35KRD,"109"" Diameter - Uplight 144W & 16560 Lumens\, Downlight 240W & 27600 Lumens",3500K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTU144D240DMVWH-40KRD,"109"" Diameter - Uplight 144W & 16560 Lumens\, Downlight 240W & 27600 Lumens",4000K
TF-PLY23PFR-HX,TF-PLY23PFR-HX-LTU144D240DMVWH-50KRD,"109"" Diameter - Uplight 144W & 16560 Lumens\, Downlight 240W & 27600 Lumens",5000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-57LTUD100DMVWH-30KRD,"57"" Diameter - Downlight Only 100W & 11500 Lumens",3000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-57LTUD100DMVWH-35KRD,"57"" Diameter - Downlight Only 100W & 11500 Lumens",3500K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-57LTUD100DMVWH-40KRD,"57"" Diameter - Downlight Only 100W & 11500 Lumens",4000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-57LTUD100DMVWH-50KRD,"57"" Diameter - Downlight Only 100W & 11500 Lumens",5000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-92LTD200DMVWH-30KRD,"92"" Diameter - Downlight Only 200W & 23000 Lumens",3000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-92LTD200DMVWH-35KRD,"92"" Diameter - Downlight Only 200W & 23000 Lumens",3500K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-92LTD200DMVWH-40KRD,"92"" Diameter - Downlight Only 200W & 23000 Lumens",4000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-92LTD200DMVWH-50KRD,"92"" Diameter - Downlight Only 200W & 23000 Lumens",5000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-133LTD300DMVWH-30KRD,"133"" Diameter - Downlight Only 300W & 34500 Lumens",3000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-133LTD300DMVWH-35KRD,"133"" Diameter - Downlight Only 300W & 34500 Lumens",3500K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-133LTD300DMVWH-40KRD,"133"" Diameter - Downlight Only 300W & 34500 Lumens",4000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-133LTD300DMVWH-50KRD,"133"" Diameter - Downlight Only 300W & 34500 Lumens",5000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-57LTU60D100DMVWH-30KRD,"57"" Diameter - Uplight 60W & 6900 Lumens\, Downlight 100W & 11500 Lumens",3000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-57LTU60D100DMVWH-35KRD,"57"" Diameter - Uplight 60W & 6900 Lumens\, Downlight 100W & 11500 Lumens",3500K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-57LTU60D100DMVWH-40KRD,"57"" Diameter - Uplight 60W & 6900 Lumens\, Downlight 100W & 11500 Lumens",4000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-57LTU60D100DMVWH-50KRD,"57"" Diameter - Uplight 60W & 6900 Lumens\, Downlight 100W & 11500 Lumens",5000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-92LTU120D200DMVWH-30KRD,"92"" Diameter - Uplight 120W & 13800 Lumens\, Downlight 200W & 23000 Lumens",3000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-92LTU120D200DMVWH-35KRD,"92"" Diameter - Uplight 120W & 13800 Lumens\, Downlight 200W & 23000 Lumens",3500K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-92LTU120D200DMVWH-40KRD,"92"" Diameter - Uplight 120W & 13800 Lumens\, Downlight 200W & 23000 Lumens",4000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-92LTU120D200DMVWH-50KRD,"92"" Diameter - Uplight 120W & 13800 Lumens\, Downlight 200W & 23000 Lumens",5000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-133LTU180D300DMVWH-30KRD,"133"" Diameter - Uplight 180W & 20700 Lumens\, Downlight 300W & 34500 Lumens",3000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-133LTU180D300DMVWH-35KRD,"133"" Diameter - Uplight 180W & 20700 Lumens\, Downlight 300W & 34500 Lumens",3500K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-133LTU180D300DMVWH-40KRD,"133"" Diameter - Uplight 180W & 20700 Lumens\, Downlight 300W & 34500 Lumens",4000K
TF-PLY23PFR-PT,TF-PLY23PFR-PT-133LTU180D300DMVWH-50KRD,"133"" Diameter - Uplight 180W & 20700 Lumens\, Downlight 300W & 34500 Lumens",5000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-32X32LTD80DMVWH-30KRD,"32""W x 32""L / Downlight Only 80W & 9200 Lumens",3000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-32X32LTD80DMVWH-35KRD,"32""W x 32""L / Downlight Only 80W & 9200 Lumens",3500K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-32X32LTD80DMVWH-40KRD,"32""W x 32""L / Downlight Only 80W & 9200 Lumens",4000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-32X32LTD80DMVWH-50KRD,"32""W x 32""L / Downlight Only 80W & 9200 Lumens",5000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-56X56LTD160DMVWH-30KRD,"56""W x 56""L / Downlight Only 160W & 18400 Lumens",3000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-56X56LTD160DMVWH-35KRD,"56""W x 56""L / Downlight Only 160W & 18400 Lumens",3500K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-56X56LTD160DMVWH-40KRD,"56""W x 56""L / Downlight Only 160W & 18400 Lumens",4000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-56X56LTD160DMVWH-50KRD,"56""W x 56""L / Downlight Only 160W & 18400 Lumens",5000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-80X80LTD240DMVWH-30KRD,"80""W x 80""L / Downlight Only 240W & 27600 Lumens",3000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-80X80LTD240DMVWH-35KRD,"80""W x 80""L / Downlight Only 240W & 27600 Lumens",3500K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-80X80LTD240DMVWH-40KRD,"80""W x 80""L / Downlight Only 240W & 27600 Lumens",4000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-80X80LTD240DMVWH-50KRD,"80""W x 80""L / Downlight Only 240W & 27600 Lumens",5000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-104X104LTD320DMVWH-30KRD,"104""W x 104""L / Downlight Only 320W & 36800 Lumens",3000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-104X104LTD320DMVWH-35KRD,"104""W x 104""L / Downlight Only 320W & 36800 Lumens",3500K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-104X104LTD320DMVWH-40KRD,"104""W x 104""L / Downlight Only 320W & 36800 Lumens",4000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-104X104LTD320DMVWH-50KRD,"104""W x 104""L / Downlight Only 320W & 36800 Lumens",5000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-32X32LTU48D80DMVWH-30KRD,"32""W x 32""L / Uplight 48W & 5520 Lumens\, Downlight 80W & 9200 Lumens",3000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-32X32LTU48D80DMVWH-35KRD,"32""W x 32""L / Uplight 48W & 5520 Lumens\, Downlight 80W & 9200 Lumens",3500K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-32X32LTU48D80DMVWH-40KRD,"32""W x 32""L / Uplight 48W & 5520 Lumens\, Downlight 80W & 9200 Lumens",4000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-32X32LTU48D80DMVWH-50KRD,"32""W x 32""L / Uplight 48W & 5520 Lumens\, Downlight 80W & 9200 Lumens",5000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-56X56LTU96D160DMVWH-30KRD,"56""W x 56""L / Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",3000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-56X56LTU96D160DMVWH-35KRD,"56""W x 56""L / Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",3500K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-56X56LTU96D160DMVWH-40KRD,"56""W x 56""L / Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",4000K
TF-PLY23PFR-SQ,TF-PLY23PFR-SQ-56X56LTU96D160DMVWH-50KRD,"56""W x 56""L / Uplight 96W & 11040 Lumens\, Downlight 160W & 18400 Lumens",5000K
