Product_sku,Light_Source,Fixture_Size,"Listings and Ratings","Ballast and Voltage","Color Rendering Index (CRI)","Driver Type","Lumen Output","L70 Expected Life (hours)","L90 Expected Life (hours)","Color Temperature","Total Input Watt","Total Input Watts","Pack Size","Luminaire Efficacy Rating (LER)","Color Temperature (CCT)","Max Ambient Temp","Lamp Count",Lens,Socket,Application,"Insulation Rating",__alsobought,"Rated Life","Max Ambient"
"Custom Quote",,,,,,,,,,,,,,,,,,,,,,,,
"4 Lamp Vapor Tight T8 High Bay",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F14T5830 Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F14T5835 Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F14T5841 Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F14T5865 Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F21T5830 Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 25 F21T5835 Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 25 F21T5841 Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 25 F21T5850 Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 25 F21T5865 Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F24T5830HO Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F24T5835HO Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F24T5841HO Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F24T5865HO Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F39T5830HO Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F39T5835HO Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F39T5841HO Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"Case of 50 F39T5865HO Lamps",,,,,,,,,,,,,,,,,,,,,,,,
"6 Lamp T8 Fluorescent High Bay Grid Mount, Hinged & Latched Door Frame",,,,,,,,,,,,,,,,,,,,,,,,
"6 Lamp T5HO Fluorescent High Bay Grid Mount, Hinged & Latched Door Frame",,,,,,,,,,,,,,,,,,,,,,,,
"12 Lamp T8-8ft. Tandem Enhanced White Aluminum Reflector-SmartSense",,,,,,,,,,,,,,,,,,,,,,,,
"6 Lamp T8 Enhanced White Aluminum Reflector-SmartSense",,,,,,,,,,,,,,,,,,,,,,,,
"12 Lamp T5HO-8ft. Tandem SmartSense",,,,,,,,,,,,,,,,,,,,,,,,
"12 Lamp T5HO-8ft. Enhanced White Aluminum-SmartSense",,,,,,,,,,,,,,,,,,,,,,,,
"6 Lamp T5HO SmartSense",,,,,,,,,,,,,,,,,,,,,,,,
"6 Lamp T5HO Enhanced White Aluminum Reflector-SmartSense",,,,,,,,,,,,,,,,,,,,,,,,
"4 Lamp T8 Enhanced White Reflector-Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"4 Lamp T5HO Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"4 Lamp T5HO Enhanced White Reflector-Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"6 Lamp T8 Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"6 Lamp T8 Enhanced White Reflector-Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"6 Lamp T5HO Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"6 Lamp T5HO Enhanced White Reflector-Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"8 Lamp T8 Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"8 Lamp T8 Enhanced White Reflector-Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"8 Lamp T5HO Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"8 Lamp T5HO Enhanced White Reflector-Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"10 Lamp T8 Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
"10 Lamp T8 Enhanced White Reflector-Industrial Fluorescent High Bay Open Frame",,,,,,,,,,,,,,,,,,,,,,,,
