product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage & Optics Options","Voltage Options","Color Temperature (CCT)","Lens Options","Finish Options"
2711,DG-AFS30Q,DG-AFS30QF1X65-U-3K-LZ,1105.75,1105.75,,,,0,,,"3000K (37w, 65w Only)",,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-3K-LZ,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-U-3K-LZ,1105.75,1105.75,,,,0,,,,,Bronze
2711,DG-AFS30Q,DG-AFS30QF1X65-U-3K-LB,1105.75,1105.75,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-3K-LB,1105.75,1105.75,,,,0,,120-277v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-3K-LB,1105.75,1105.75,,,,0,,,"3000K (37w, 65w Only)",,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-3K-LB,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-U-3K-LB,1105.75,1105.75,,,,0,,,,,Black
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-CZ,1032.85,1032.85,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-CZ,1032.85,1032.85,,,,0,,120-277v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-CZ,1032.85,1032.85,,,,0,,,4000K,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-CZ,1032.85,1032.85,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-CZ,1032.85,1032.85,,,,0,,,,,Bronze
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-CB,1032.85,1032.85,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-CB,1032.85,1032.85,,,,0,,120-277v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-CB,1032.85,1032.85,,,,0,,,4000K,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-CB,1032.85,1032.85,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-CB,1032.85,1032.85,,,,0,,,,,Black
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-LZ,1105.75,1105.75,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-LZ,1105.75,1105.75,,,,0,,120-277v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-LZ,1105.75,1105.75,,,,0,,,4000K,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-LZ,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-LZ,1105.75,1105.75,,,,0,,,,,Bronze
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-LB,1105.75,1105.75,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-LB,1105.75,1105.75,,,,0,,120-277v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-LB,1105.75,1105.75,,,,0,,,4000K,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-LB,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-U-4K-LB,1105.75,1105.75,,,,0,,,,,Black
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-CZ,1032.85,1032.85,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-CZ,1032.85,1032.85,,,,0,,120-277v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-CZ,1032.85,1032.85,,,,0,,,5000K,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-CZ,1032.85,1032.85,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-CZ,1032.85,1032.85,,,,0,,,,,Bronze
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-CB,1032.85,1032.85,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-CB,1032.85,1032.85,,,,0,,120-277v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-CB,1032.85,1032.85,,,,0,,,5000K,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-CB,1032.85,1032.85,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-CB,1032.85,1032.85,,,,0,,,,,Black
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-LZ,1105.75,1105.75,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-LZ,1105.75,1105.75,,,,0,,120-277v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-LZ,1105.75,1105.75,,,,0,,,5000K,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-LZ,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-LZ,1105.75,1105.75,,,,0,,,,,Bronze
