product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage & Optic Options","Voltage Options","Color Temperature (CCT)","Lens Options","Driver Option","Finish Options","Height Options","Wattage  Options","End Cap Options","Wattage Options","Pendant Mounting Kit","Fixture Options","Wattage & Lumen Options","Pendant Mount Kit","Mounting Options","Beam Angle Options","Connector Type Options","Trim Type Options","Wattage & Optics/Beams Options","Factory Installed Lamps","Mounting Kit","Occupancy Sensor","Wiring Options","Control Options"
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-3K-CB,1368.6,1368.6,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-3K-CB,1368.6,1368.6,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-3K-CB,1368.6,1368.6,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-3K-LB,1441.45,1441.45,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-3K-LB,1441.45,1441.45,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-3K-LB,1441.45,1441.45,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-3K-LB,1441.45,1441.45,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-4K-CB,1368.6,1368.6,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-4K-CB,1368.6,1368.6,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-4K-CB,1368.6,1368.6,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-4K-CB,1368.6,1368.6,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-4K-LB,1441.45,1441.45,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-4K-LB,1441.45,1441.45,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-4K-LB,1441.45,1441.45,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-4K-LB,1441.45,1441.45,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-5K-CB,1368.6,1368.6,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-5K-CB,1368.6,1368.6,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-5K-CB,1368.6,1368.6,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-5K-CB,1368.6,1368.6,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-5K-LB,1441.45,1441.45,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-5K-LB,1441.45,1441.45,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-5K-LB,1441.45,1441.45,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-U-5K-LB,1441.45,1441.45,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-3K-CB,1501.45,1501.45,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-3K-CB,1501.45,1501.45,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-3K-CB,1501.45,1501.45,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-3K-CB,1501.45,1501.45,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-3K-LB,1574.3,1574.3,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-3K-LB,1574.3,1574.3,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-3K-LB,1574.3,1574.3,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-3K-LB,1574.3,1574.3,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-4K-CB,1501.45,1501.45,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-4K-CB,1501.45,1501.45,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-4K-CB,1501.45,1501.45,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-4K-CB,1501.45,1501.45,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-4K-LB,1574.3,1574.3,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-4K-LB,1574.3,1574.3,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-4K-LB,1574.3,1574.3,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-4K-LB,1574.3,1574.3,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-5K-CB,1501.45,1501.45,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-5K-CB,1501.45,1501.45,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-5K-CB,1501.45,1501.45,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-5K-CB,1501.45,1501.45,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-5K-LB,1574.3,1574.3,,,,0,"65 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-5K-LB,1574.3,1574.3,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-5K-LB,1574.3,1574.3,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X65-H-5K-LB,1574.3,1574.3,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-3K-CB,1398.6,1398.6,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-3K-CB,1398.6,1398.6,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-3K-CB,1398.6,1398.6,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-3K-CB,1398.6,1398.6,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-3K-LB,1471.45,1471.45,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-3K-LB,1471.45,1471.45,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-3K-LB,1471.45,1471.45,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-3K-LB,1471.45,1471.45,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-4K-CB,1398.6,1398.6,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-4K-CB,1398.6,1398.6,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-4K-CB,1398.6,1398.6,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-4K-CB,1398.6,1398.6,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-4K-LB,1471.45,1471.45,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-4K-LB,1471.45,1471.45,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-4K-LB,1471.45,1471.45,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-4K-LB,1471.45,1471.45,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-5K-CB,1398.6,1398.6,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-5K-CB,1398.6,1398.6,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-5K-CB,1398.6,1398.6,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-5K-CB,1398.6,1398.6,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-5K-LB,1471.45,1471.45,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-5K-LB,1471.45,1471.45,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-5K-LB,1471.45,1471.45,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-U-5K-LB,1471.45,1471.45,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-3K-CB,1531.45,1531.45,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-3K-CB,1531.45,1531.45,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-3K-CB,1531.45,1531.45,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-3K-CB,1531.45,1531.45,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-3K-LB,1604.3,1604.3,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-3K-LB,1604.3,1604.3,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-3K-LB,1604.3,1604.3,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-3K-LB,1604.3,1604.3,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-4K-CB,1531.45,1531.45,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-4K-CB,1531.45,1531.45,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-4K-CB,1531.45,1531.45,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-4K-CB,1531.45,1531.45,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-4K-LB,1604.3,1604.3,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-4K-LB,1604.3,1604.3,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-4K-LB,1604.3,1604.3,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-4K-LB,1604.3,1604.3,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-5K-CB,1531.45,1531.45,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-5K-CB,1531.45,1531.45,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-5K-CB,1531.45,1531.45,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-5K-CB,1531.45,1531.45,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-5K-LB,1604.3,1604.3,,,,0,"100 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-5K-LB,1604.3,1604.3,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-5K-LB,1604.3,1604.3,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X100-H-5K-LB,1604.3,1604.3,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-3K-CB,1510,1510,,,,0,"140 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-3K-CB,1510,1510,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-3K-CB,1510,1510,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-3K-CB,1510,1510,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-3K-LB,1582.85,1582.85,,,,0,"140 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-3K-LB,1582.85,1582.85,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-3K-LB,1582.85,1582.85,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-3K-LB,1582.85,1582.85,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-4K-CB,1510,1510,,,,0,"140 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-4K-CB,1510,1510,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-4K-CB,1510,1510,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-4K-CB,1510,1510,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-4K-LB,1582.85,1582.85,,,,0,"140 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-4K-LB,1582.85,1582.85,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-4K-LB,1582.85,1582.85,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-4K-LB,1582.85,1582.85,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-5K-CB,1510,1510,,,,0,"140 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-5K-CB,1510,1510,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-5K-CB,1510,1510,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-5K-CB,1510,1510,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-5K-LB,1582.85,1582.85,,,,0,"140 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-5K-LB,1582.85,1582.85,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-5K-LB,1582.85,1582.85,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X140-U-5K-LB,1582.85,1582.85,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
