product_id,parent_sku,child_sku
2711,DG-AFS30Q,"DG-AFS30QD1X100-H-3K-LZ,DG-AFS30QD1X100-H-3K-LB,DG-AFS30QD1X100-H-4K-CZ,DG-AFS30QD1X100-H-4K-CB,DG-AFS30QD1X100-H-4K-LZ,DG-AFS30QD1X100-H-4K-LB,DG-AFS30QD1X100-H-5K-CZ,DG-AFS30QD1X100-H-5K-CB,DG-AFS30QD1X100-H-5K-LZ,DG-AFS30QD1X100-H-5K-LB,DG-AFS30QD1X140-U-3K-CZ,DG-AFS30QD1X140-U-3K-CB,DG-AFS30QD1X140-U-3K-LZ,DG-AFS30QD1X140-U-3K-LB,DG-AFS30QD1X140-U-4K-CZ,DG-AFS30QD1X140-U-4K-CB,DG-AFS30QD1X140-U-4K-LZ,DG-AFS30QD1X140-U-4K-LB,DG-AFS30QD1X140-U-5K-CZ,DG-AFS30QD1X140-U-5K-CB,DG-AFS30QD1X140-U-5K-LZ,DG-AFS30QD1X140-U-5K-LB,DG-AFS30QD1X140-H-3K-CZ,DG-AFS30QD1X140-H-3K-CB,DG-AFS30QD1X140-H-3K-LZ,DG-AFS30QD1X140-H-3K-LB,DG-AFS30QD1X140-H-4K-CZ,DG-AFS30QD1X140-H-4K-CB,DG-AFS30QD1X140-H-4K-LZ,DG-AFS30QD1X140-H-4K-LB,DG-AFS30QD1X140-H-5K-CZ,DG-AFS30QD1X140-H-5K-CB,DG-AFS30QD1X140-H-5K-LZ,DG-AFS30QD1X140-H-5K-LB,DG-AFS30QF1X37-U-3K-CZ,DG-AFS30QF1X37-U-3K-CB,DG-AFS30QF1X37-U-3K-LZ,DG-AFS30QF1X37-U-3K-LB,DG-AFS30QF1X37-U-4K-CZ,DG-AFS30QF1X37-U-4K-CB,DG-AFS30QF1X37-U-4K-LZ,DG-AFS30QF1X37-U-4K-LB,DG-AFS30QF1X37-U-5K-CZ,DG-AFS30QF1X37-U-5K-CB,DG-AFS30QF1X37-U-5K-LZ,DG-AFS30QF1X37-U-5K-LB,DG-AFS30QF1X37-H-3K-CZ,DG-AFS30QF1X37-H-3K-CB,DG-AFS30QF1X37-H-3K-LZ,DG-AFS30QF1X37-H-3K-LB"
3206,LT-LEDH-SR8P-UZTD,"LT-LEDH-SR8P-G2-18-44-840-UZTD-BR,LT-LEDH-SR8P-G2-18-44-840-UZTD-SI,LT-LEDH-SR8P-G2-24-44-827-UZTD-WH,LT-LEDH-SR8P-G2-24-44-827-UZTD-BL,LT-LEDH-SR8P-G2-24-44-827-UZTD-BR,LT-LEDH-SR8P-G2-24-44-827-UZTD-SI,LT-LEDH-SR8P-G2-24-44-830-UZTD-WH,LT-LEDH-SR8P-G2-24-44-830-UZTD-BL,LT-LEDH-SR8P-G2-24-44-830-UZTD-BR,LT-LEDH-SR8P-G2-24-44-830-UZTD-SI,LT-LEDH-SR8P-G2-24-44-835-UZTD-WH,LT-LEDH-SR8P-G2-24-44-835-UZTD-BL,LT-LEDH-SR8P-G2-24-44-835-UZTD-BR,LT-LEDH-SR8P-G2-24-44-835-UZTD-SI,LT-LEDH-SR8P-G2-24-44-840-UZTD-WH,LT-LEDH-SR8P-G2-24-44-840-UZTD-BL,LT-LEDH-SR8P-G2-24-44-840-UZTD-BR,LT-LEDH-SR8P-G2-24-44-840-UZTD-SI,LT-LEDH-SR8P-G2-36-44-827-UZTD-WH,LT-LEDH-SR8P-G2-36-44-827-UZTD-BL,LT-LEDH-SR8P-G2-36-44-827-UZTD-BR,LT-LEDH-SR8P-G2-36-44-827-UZTD-SI,LT-LEDH-SR8P-G2-36-44-830-UZTD-WH,LT-LEDH-SR8P-G2-36-44-830-UZTD-BL,LT-LEDH-SR8P-G2-36-44-830-UZTD-BR,LT-LEDH-SR8P-G2-36-44-830-UZTD-SI,LT-LEDH-SR8P-G2-36-44-835-UZTD-WH,LT-LEDH-SR8P-G2-36-44-835-UZTD-BL,LT-LEDH-SR8P-G2-36-44-835-UZTD-BR,LT-LEDH-SR8P-G2-36-44-835-UZTD-SI,LT-LEDH-SR8P-G2-36-44-840-UZTD-WH,LT-LEDH-SR8P-G2-36-44-840-UZTD-BL,LT-LEDH-SR8P-G2-36-44-840-UZTD-BR,LT-LEDH-SR8P-G2-36-44-840-UZTD-SI,LT-LEDH-SR8P-G2-48-44-827-UZTD-WH,LT-LEDH-SR8P-G2-48-44-827-UZTD-BL,LT-LEDH-SR8P-G2-48-44-827-UZTD-BR,LT-LEDH-SR8P-G2-48-44-827-UZTD-SI,LT-LEDH-SR8P-G2-48-44-830-UZTD-WH,LT-LEDH-SR8P-G2-48-44-830-UZTD-BL,LT-LEDH-SR8P-G2-48-44-830-UZTD-BR,LT-LEDH-SR8P-G2-48-44-830-UZTD-SI,LT-LEDH-SR8P-G2-48-44-835-UZTD-WH,LT-LEDH-SR8P-G2-48-44-835-UZTD-BL,LT-LEDH-SR8P-G2-48-44-835-UZTD-BR,LT-LEDH-SR8P-G2-48-44-835-UZTD-SI,LT-LEDH-SR8P-G2-48-44-840-UZTD-WH,LT-LEDH-SR8P-G2-48-44-840-UZTD-BL,LT-LEDH-SR8P-G2-48-44-840-UZTD-BR,LT-LEDH-SR8P-G2-48-44-840-UZTD-SI"
5983,LT-LEDH-SR8P-S-UZTD,"LT-LEDH-SR8P-G2-S18-44-840-UZTD-BR,LT-LEDH-SR8P-G2-S18-44-840-UZTD-SI,LT-LEDH-SR8P-G2-S24-44-827-UZTD-WH,LT-LEDH-SR8P-G2-S24-44-827-UZTD-BL,LT-LEDH-SR8P-G2-S24-44-827-UZTD-BR,LT-LEDH-SR8P-G2-S24-44-827-UZTD-SI,LT-LEDH-SR8P-G2-S24-44-830-UZTD-WH,LT-LEDH-SR8P-G2-S24-44-830-UZTD-BL,LT-LEDH-SR8P-G2-S24-44-830-UZTD-BR,LT-LEDH-SR8P-G2-S24-44-830-UZTD-SI,LT-LEDH-SR8P-G2-S24-44-835-UZTD-WH,LT-LEDH-SR8P-G2-S24-44-835-UZTD-BL,LT-LEDH-SR8P-G2-S24-44-835-UZTD-BR,LT-LEDH-SR8P-G2-S24-44-835-UZTD-SI,LT-LEDH-SR8P-G2-S24-44-840-UZTD-WH,LT-LEDH-SR8P-G2-S24-44-840-UZTD-BL,LT-LEDH-SR8P-G2-S24-44-840-UZTD-BR,LT-LEDH-SR8P-G2-S24-44-840-UZTD-SI,LT-LEDH-SR8P-G2-S36-44-827-UZTD-WH,LT-LEDH-SR8P-G2-S36-44-827-UZTD-BL,LT-LEDH-SR8P-G2-S36-44-827-UZTD-BR,LT-LEDH-SR8P-G2-S36-44-827-UZTD-SI,LT-LEDH-SR8P-G2-S36-44-830-UZTD-WH,LT-LEDH-SR8P-G2-S36-44-830-UZTD-BL,LT-LEDH-SR8P-G2-S36-44-830-UZTD-BR,LT-LEDH-SR8P-G2-S36-44-830-UZTD-SI,LT-LEDH-SR8P-G2-S36-44-835-UZTD-WH,LT-LEDH-SR8P-G2-S36-44-835-UZTD-BL,LT-LEDH-SR8P-G2-S36-44-835-UZTD-BR,LT-LEDH-SR8P-G2-S36-44-835-UZTD-SI,LT-LEDH-SR8P-G2-S36-44-840-UZTD-WH,LT-LEDH-SR8P-G2-S36-44-840-UZTD-BL,LT-LEDH-SR8P-G2-S36-44-840-UZTD-BR,LT-LEDH-SR8P-G2-S36-44-840-UZTD-SI,LT-LEDH-SR8P-G2-S48-44-827-UZTD-WH,LT-LEDH-SR8P-G2-S48-44-827-UZTD-BL,LT-LEDH-SR8P-G2-S48-44-827-UZTD-BR,LT-LEDH-SR8P-G2-S48-44-827-UZTD-SI,LT-LEDH-SR8P-G2-S48-44-830-UZTD-WH,LT-LEDH-SR8P-G2-S48-44-830-UZTD-BL,LT-LEDH-SR8P-G2-S48-44-830-UZTD-BR,LT-LEDH-SR8P-G2-S48-44-830-UZTD-SI,LT-LEDH-SR8P-G2-S48-44-835-UZTD-WH,LT-LEDH-SR8P-G2-S48-44-835-UZTD-BL,LT-LEDH-SR8P-G2-S48-44-835-UZTD-BR,LT-LEDH-SR8P-G2-S48-44-835-UZTD-SI,LT-LEDH-SR8P-G2-S48-44-840-UZTD-WH,LT-LEDH-SR8P-G2-S48-44-840-UZTD-BL,LT-LEDH-SR8P-G2-S48-44-840-UZTD-BR,LT-LEDH-SR8P-G2-S48-44-840-UZTD-SI"
